codigo_ocorrencia 1,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_recomendacoes,ocorrencia_saida_pista,ocorrencia_tipo,aeronave_registro_categoria,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_ano_fabricacao,aeronave_fase_operacao,aeronave_assentos
39115,ACIDENTE,BA,2/7/2010,17:40:00,2,NÃO,PANE SECA,AVIÃO,PRIVADA,SUBSTANCIAL,1979,DECOLAGEM,4
39155,INCIDENTE,MG,2/5/2010,12:55:00,0,NÃO,VAZAMENTO DE COMBUSTÍVEL,AVIÃO,PRIVADA,NENHUM,1979,DECOLAGEM,8
39156,INCIDENTE GRAVE,PR,1/10/2010,23:15:00,2,NÃO,FOGO EM VOO,AVIÃO,REGULAR,LEVE,2008,ARREMETIDA NO AR,73
39158,INCIDENTE,PA,1/28/2010,16:00:00,0,NÃO,SUPERAQUECIMENTO,AVIÃO,REGULAR,NENHUM,1984,SUBIDA,5
39176,INCIDENTE,MA,2/5/2010,9:30:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,REGULAR,NENHUM,2001,SUBIDA,184
39178,INCIDENTE,SP,2/8/2010,12:33:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,REGULAR,NENHUM,2001,SUBIDA,184
39235,ACIDENTE,GO,2/6/2010,17:20:00,3,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,AGRÍCOLA,DESTRUÍDA,1976,DECOLAGEM,1
39275,ACIDENTE,SP,2/10/2010,9:03:00,3,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,HELICÓPTERO,PRIVADA,DESTRUÍDA,1994,CRUZEIRO,6
39295,ACIDENTE,RJ,2/6/2010,21:09:00,0,NÃO,PERDA DE CONTROLE EM VOO,ULTRALEVE,EXPERIMENTAL,SUBSTANCIAL,2004,APROXIMAÇÃO FINAL,2
39315,ACIDENTE,AM,1/15/2010,21:22:00,0,NÃO,OUTROS,HELICÓPTERO,TÁXI AÉREO,***,1981,CRUZEIRO,6
39316,ACIDENTE,SC,2/4/2010,17:55:00,2,NÃO,POUSO ANTES DA PISTA,AVIÃO,INSTRUÇÃO,SUBSTANCIAL,1992,POUSO,2
39317,ACIDENTE,GO,2/24/2010,13:00:00,0,NÃO,POUSO BRUSCO,AVIÃO,INSTRUÇÃO,SUBSTANCIAL,1993,POUSO,1
39318,ACIDENTE,PA,1/25/2010,16:20:00,5,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,TÁXI AÉREO,SUBSTANCIAL,1976,DESCIDA,6
39319,ACIDENTE,SP,1/27/2010,11:25:00,3,NÃO,PANE SECA,AVIÃO,PRIVADA,DESTRUÍDA,1981,SUBIDA,1
39320,ACIDENTE,PR,1/19/2010,18:30:00,4,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,AGRÍCOLA,SUBSTANCIAL,1977,DECOLAGEM,6
39321,ACIDENTE,MT,1/23/2010,13:00:00,2,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,PRIVADA,DESTRUÍDA,1981,POUSO,4
39322,ACIDENTE,SP,1/26/2010,13:50:00,2,NÃO,PERDA DE CONTROLE EM VOO,HELICÓPTERO,ESPECIALIZADA,SUBSTANCIAL,1997,DECOLAGEM,2
39323,ACIDENTE,RJ,1/24/2010,16:15:00,0,NÃO,PERDA DE CONTROLE EM VOO,ULTRALEVE,EXPERIMENTAL,SUBSTANCIAL,2000,SUBIDA,184
39365,INCIDENTE,GO,2/12/2010,16:48:00,0,NÃO,COLISÃO COM AVE,AVIÃO,REGULAR,***,2001,DECOLAGEM,3
39367,INCIDENTE,SP,2/7/2010,22:59:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,LEVE,1992,CORRIDA APÓS POUSO,4
39385,INCIDENTE GRAVE,DF,2/21/2010,17:00:00,1,NÃO,POUSO SEM TREM,AVIÃO,PRIVADA,SUBSTANCIAL,1976,POUSO,50
39386,INCIDENTE,SP,2/18/2010,10:10:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,REGULAR,NENHUM,1987,CRUZEIRO,1
39405,ACIDENTE,MT,2/7/2010,11:30:00,1,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,AGRÍCOLA,SUBSTANCIAL,2000,ESPECIALIZADA,4
39487,INCIDENTE GRAVE,TO,1/26/2010,16:50:00,0,NÃO,POUSO SEM TREM,AVIÃO,PRIVADA,SUBSTANCIAL,1994,POUSO,1
39507,ACIDENTE,MT,1/11/2010,17:00:00,2,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,AGRÍCOLA,SUBSTANCIAL,2005,OUTRA FASE,1
39527,ACIDENTE,MT,1/4/2010,17:30:00,0,NÃO,OPERAÇÃO A BAIXA ALTITUDE,AVIÃO,AGRÍCOLA,SUBSTANCIAL,2004,VOO A BAIXA ALTURA,184
39627,INCIDENTE,SC,1/27/2010,16:15:00,0,NÃO,F.O.D.,AVIÃO,REGULAR,LEVE,2009,TÁXI,1
39687,INCIDENTE GRAVE,SC,1/28/2010,10:30:00,1,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,ESPECIALIZADA,NENHUM,2003,ESPECIALIZADA,7
39707,INCIDENTE GRAVE,AM,1/9/2010,12:30:00,3,NÃO,COM TREM DE POUSO,AVIÃO,PRIVADA,LEVE,1979,CRUZEIRO,7
39709,INCIDENTE GRAVE,PR,1/23/2010,16:36:00,2,SIM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,PRIVADA,NENHUM,1980,CORRIDA APÓS POUSO,4
39711,INCIDENTE GRAVE,MG,1/10/2010,20:00:00,0,NÃO,COM TREM DE POUSO,AVIÃO,EXPERIMENTAL,SUBSTANCIAL,2009,POUSO,20
39727,INCIDENTE GRAVE,MT,2/23/2010,19:42:00,0,SIM,COM TREM DE POUSO,AVIÃO,TÁXI AÉREO,LEVE,1991,POUSO,10
39747,INCIDENTE,BA,1/31/2010,19:47:00,4,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,AVIÃO,TÁXI AÉREO,LEVE,1976,DECOLAGEM,1
39748,INCIDENTE,PR,2/3/2010,14:30:00,0,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,AVIÃO,ESPECIALIZADA,NENHUM,1975,ESPECIALIZADA,9
39768,INCIDENTE,SP,1/21/2010,20:45:00,0,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,AVIÃO,POLICIAL,LEVE,2008,MANOBRA,10
39772,INCIDENTE,MG,1/20/2010,18:58:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,PRIVADA,NENHUM,2006,CORRIDA APÓS POUSO,2
39787,INCIDENTE,GO,1/31/2010,21:00:00,0,SIM,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,LEVE,1990,CORRIDA APÓS POUSO,1
39789,INCIDENTE,RS,1/10/2010,21:30:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,ESPECIALIZADA,LEVE,1977,CHEQUE DE MOTOR OU ROTOR,2
39807,INCIDENTE,BA,1/6/2010,17:53:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,INSTRUÇÃO,LEVE,1965,CORRIDA APÓS POUSO,4
39809,INCIDENTE,SP,1/15/2010,15:00:00,0,NÃO,COLISÃO COM AVE,AVIÃO,PRIVADA,LEVE,1989,DECOLAGEM,10
39810,INCIDENTE,BA,1/15/2010,18:23:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,TÁXI AÉREO,NENHUM,1979,DECOLAGEM,6
39828,INCIDENTE,SP,1/15/2010,17:45:00,0,NÃO,COLISÃO COM AVE,HELICÓPTERO,POLICIAL,LEVE,1992,MANOBRA,4
39847,INCIDENTE,SP,1/20/2010,13:10:00,0,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,AVIÃO,PRIVADA,LEVE,2006,TÁXI,232
39848,INCIDENTE,SP,1/25/2010,17:05:00,0,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,AVIÃO,REGULAR,NENHUM,2007,OUTRA FASE,184
39849,INCIDENTE,RJ,1/23/2010,3:30:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,REGULAR,NENHUM,2008,SUBIDA,2
39850,INCIDENTE,PA,1/26/2010,14:30:00,0,NÃO,COM TREM DE POUSO,AVIÃO,INSTRUÇÃO,LEVE,2006,POUSO,107
39851,INCIDENTE,RS,1/19/2010,3:00:00,0,NÃO,OUTROS,AVIÃO,REGULAR,NENHUM,1993,TÁXI,4
39887,ACIDENTE,MG,3/9/2010,17:45:00,1,SIM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,INSTRUÇÃO,SUBSTANCIAL,1982,SUBIDA,184
39910,INCIDENTE,SP,3/8/2010,0:49:00,0,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,AVIÃO,REGULAR,LEVE,1999,DECOLAGEM,11
39913,INCIDENTE GRAVE,AC,3/10/2010,6:17:00,3,SIM,COM PARA-BRISAS / JANELA / PORTA,AVIÃO,TÁXI AÉREO,NENHUM,1993,DECOLAGEM,2
39914,INCIDENTE,PR,3/9/2010,21:00:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,INSTRUÇÃO,NENHUM,1992,CIRCUITO DE TRÁFEGO,10
39916,INCIDENTE GRAVE,AM,3/7/2010,19:35:00,2,SIM,ESTOURO DE PNEU,AVIÃO,TÁXI AÉREO,LEVE,1981,DECOLAGEM,7
