PRODUTOS,VALOR VENDA ,CUSTO PRODUTO,MÊS,RECEITA,LUCRO ,NÚMERO DE PRODUTOS VENDIDOS,CATEGORIA
 REFLETOR LED 50W SLIM 6500K PRETO,140,63.9, JANEIRO,1400,761,10,REFLETOR
 LAMPADA LED TKL60 12W 3000K 1018LM,16,7.99, JANEIRO,2496,1249.56,156,LAMPADA
 PAINEL DE LED LUX 62X62 36W SOBREPOR 4000K,350,191, JANEIRO,4200,1908,12,PAINEL
 PAINEL DE LED LUX 62X62 36W SOBREPOR 3000K,350,191, JANEIRO,3500,1590,10,PAINEL
 PAINEL LED LUX 62X62 36W EMBUTIR 4000K 2520LM,315,174.99, JANEIRO,2520,1120.08,8,PAINEL
 PAINEL LED LUX 40X40 SPBREPOR 4000K,260,157.5, JANEIRO,2080,820,8,PAINEL
 PAINEL LED LUX 40X40 32W 4000K EMBUTIT,220,110.64, JANEIRO,1320,656.16,6,PAINEL
 PLAFON LED 24w QUADRADO SOBREPOR 4000K,90,41.49, JANEIRO,2340,1261.26,26,PLAFON
 PAINEL LED 18W LUX QUADRADO SOBREPOR 4000K,55,28.32, JANEIRO,1320,640.32,24,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,22.66, JANEIRO,320,138.72,8,PAINEL
 PAINEL LED 18W LUX REDONDO QUADRADO SOBREPOR 4000K,50,24.24, JANEIRO,1100,566.72,22,PAINEL
 PLAFON 18W QUADRADO EMBUTIE 4000K,55,25.2, JANEIRO,1210,655.6,22,PLAFON
 PAINEL LED 12W REDONDO EMBUTIR 4000K,35,20.22, JANEIRO,210,88.68,6,PAINEL
 PENDENTE TASCHIBRA TEARS 5XE27 PRETA,250,134.56, JANEIRO,500,230.88,2,PENDENTE
 DRIVE PARA PAINEL LED 24W AUTOVOLT,25,11.33, JANEIRO,300,164.04,12,DRIVE
 DRIVE PARA PAINEL LED 18W LUX AUTOVOLT,20,9.24, JANEIRO,160,86.08,8,DRIVE
 PAINEL LED 24W QUADRADO SOBREPOR 3000K,80,38.95, JANEIRO,2080,1067.3,26,PAINEL
 PAINEL DE LED 18W QUADRADO SOBREPOR 3000K,65,32.79, JANEIRO,1560,773.04,24,PAINEL
 PAINEL LED 12W LUX QUADRADO SOBREPOR 3000K,50,24.4, JANEIRO,650,332.8,13,PAINEL
 PAINEL LED 18W LUX QUADRADO EMBUTIR - 3000K,55,27.99, JANEIRO,1210,594.22,22,PAINEL
 PENDENTE BALOON 1xE27 BRANCA,140,81, JANEIRO,140,59,1,PENDENTE
 PENDENTE BALOON 1xE27 PRETO,140,83.58, JANEIRO,280,112.84,2,PENDENTE
 REFLETOR LED 50W 6500K PRETO,180,91.4, JANEIRO,1440,708.8,8,REFLETOR
 LAMPADA MINI DICROICA 3.5W 3000K 210LM,25,13.73, JANEIRO,450,202.86,18,LAMPADA
 REFLETOR LED 30W 3000K PRETO,120,66.78, JANEIRO,1680,745.08,14,REFLETOR
 REFLETOR TR LRD 10W SLIM 6500K PRETO,60,34.09, JANEIRO,1200,518.2,20,REFLETOR
 REFLETOR TR LED 10W SLIM 3000K PRETO,55,27.3, JANEIRO,1210,609.4,22,REFLETOR
 LAMPADA LED FIREWORKS VINTAGE D95,100,57.29, JANEIRO,1200,512.52,12,LAMPADA
 LAMPADA LED FIREWORKS VINTAGE G125,120,65.68, JANEIRO,960,434.56,8,LAMPADA
 LAMP LED AR111 24° 12W 2700K,100,59.19, JANEIRO,2800,1142.68,28,LAMP
 LAMPADA LED AR70 4.8W 2700K DIMERIZAVEL GU10,90,51.25, JANEIRO,3240,1395,36,LAMPADA
 LAMPADA MINI DICROICA DIMERIZAVEL 3.5W 3000K 210LM,60,33.2, JANEIRO,360,160.8,6,LAMPADA
 LUMINARIA DE EMERGENCIA LED PRATIC,40,23.98, JANEIRO,1680,672.84,42,LUMINARIA
 PENDENTE TASCHIBRA DOT METAL E COBRE,80,48.02, JANEIRO,80,31.98,1,PENDENTE
 TARTARUGA FORCE LED 12W 3000K,70,40.08, JANEIRO,0,0,0,TARTARUGA
 LAM.LED FILAMENTO VINTAGE DIM. ST64 127V AMBAR,50,28.76, JANEIRO,500,212.4,10,LAM.LED
 LAMPADA LED FILAMENTO VINTAGE GLOBO G80 AMBAR,45,24.44, JANEIRO,585,267.28,13,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE ST64 AMBAR,40,22.6, JANEIRO,480,208.8,12,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE 4W ST AMBAR,40,19.9, JANEIRO,640,321.6,16,LAMPADA
 PENDENTE TASCHIBRA AISHA BOREAL CONHAQUE 1xE27,120,70.33, JANEIRO,0,0,0,PENDENTE
 PENDENTE TASCHIBRA SARAH BOREAL CONHAQUE 1xE27,120,74.37, JANEIRO,0,0,0,PENDENTE
 PENDENTE TASCHIBRA YASMIN BOREAL CONHAQUE 1xE27,110,66.73, JANEIRO,220,86.54,2,PENDENTE
