Ano,Região,UF,estado,Município,VAB total,Impostos,PIB,PIB per capita
2017,Norte,RO,Rondônia,Alta Floresta D'Oeste,470071.67,28792.52,498864.19,19611.75
2017,Norte,RO,Rondônia,Ariquemes,2064061.69,232012.01,2296073.71,21389.67
2017,Norte,RO,Rondônia,Cabixi,133399.27,5494.28,138893.55,22315.80
2017,Norte,RO,Rondônia,Cacoal,1909688.75,217834.51,2127523.25,24037.91
2017,Norte,RO,Rondônia,Cerejeiras,384811.23,63712.94,448524.17,25009.71
2017,Norte,RO,Rondônia,Colorado do Oeste,317271.73,22774.78,340046.50,18413.74
2017,Norte,RO,Rondônia,Corumbiara,321002.88,9390.33,330393.21,38156.05
2017,Norte,RO,Rondônia,Costa Marques,207957.89,8034.37,215992.26,12413.35
2017,Norte,RO,Rondônia,Espigão D'Oeste,530647.79,47334.51,577982.30,17498.71
2017,Norte,RO,Rondônia,Guajará-Mirim,692569.10,112000.50,804569.61,16955.80
2017,Norte,RO,Rondônia,Jaru,1257167.27,156461.03,1413628.30,25301.65
2017,Norte,RO,Rondônia,Ji-Paraná,2626957.94,399800.84,3026758.78,22814.71
2017,Norte,RO,Rondônia,Machadinho D'Oeste,572960.49,34150.72,607111.21,15724.60
2017,Norte,RO,Rondônia,Nova Brasilândia D'Oeste,337975.26,22990.49,360965.75,16598.42
2017,Norte,RO,Rondônia,Ouro Preto do Oeste,718879.78,58833.70,777713.47,19560.69
2017,Norte,RO,Rondônia,Pimenta Bueno,907415.35,168995.46,1076410.81,28288.63
2017,Norte,RO,Rondônia,Porto Velho,14700097.94,1814437.26,16514535.20,31793.20
2017,Norte,RO,Rondônia,Presidente Médici,379612.67,35437.46,415050.13,18760.18
2017,Norte,RO,Rondônia,Rio Crespo,102904.24,3416.24,106320.48,27767.17
2017,Norte,RO,Rondônia,Rolim de Moura,1194899.80,102625.00,1297524.80,22734.08
2017,Norte,RO,Rondônia,Santa Luzia D'Oeste,151814.78,6797.68,158612.46,19347.70
2017,Norte,RO,Rondônia,Vilhena,2225120.77,330461.22,2555581.99,26723.64
2017,Norte,RO,Rondônia,São Miguel do Guaporé,612316.93,37587.19,649904.11,26876.64
2017,Norte,RO,Rondônia,Nova Mamoré,452725.16,20301.31,473026.47,16372.80
2017,Norte,RO,Rondônia,Alvorada D'Oeste,250728.67,11962.87,262691.54,15685.89
2017,Norte,RO,Rondônia,Alto Alegre dos Parecis,322620.38,12820.01,335440.38,23883.26
2017,Norte,RO,Rondônia,Alto Paraíso,300909.91,18874.48,319784.39,15288.98
2017,Norte,RO,Rondônia,Buritis,620139.20,46093.94,666233.14,17063.65
2017,Norte,RO,Rondônia,Novo Horizonte do Oeste,161392.64,6910.68,168303.31,16744.93
2017,Norte,RO,Rondônia,Cacaulândia,136851.70,3936.75,140788.45,21793.88
2017,Norte,RO,Rondônia,Campo Novo de Rondônia,267406.36,9125.49,276531.85,19092.23
2017,Norte,RO,Rondônia,Candeias do Jamari,505670.78,32484.28,538155.05,21299.57
2017,Norte,RO,Rondônia,Castanheiras,108966.10,2516.97,111483.07,31403.68
2017,Norte,RO,Rondônia,Chupinguaia,268093.32,12669.76,280763.08,26504.59
2017,Norte,RO,Rondônia,Cujubim,309483.02,14539.95,324022.96,14437.60
2017,Norte,RO,Rondônia,Governador Jorge Teixeira,176873.22,5756.13,182629.35,18740.83
2017,Norte,RO,Rondônia,Itapuã do Oeste,153134.55,7692.96,160827.51,15599.18
2017,Norte,RO,Rondônia,Ministro Andreazza,205780.61,12318.89,218099.50,20286.44
2017,Norte,RO,Rondônia,Mirante da Serra,201668.06,10728.78,212396.84,17327.20
2017,Norte,RO,Rondônia,Monte Negro,256781.61,11476.53,268258.14,16573.47
2017,Norte,RO,Rondônia,Nova União,117775.25,3719.48,121494.73,15638.40
2017,Norte,RO,Rondônia,Parecis,98992.59,3400.89,102393.48,17343.07
2017,Norte,RO,Rondônia,Pimenteiras do Oeste,96280.55,2745.80,99026.35,41089.77
2017,Norte,RO,Rondônia,Primavera de Rondônia,61388.75,1967.11,63355.85,18573.98
2017,Norte,RO,Rondônia,São Felipe D'Oeste,87131.99,4005.55,91137.54,15204.80
2017,Norte,RO,Rondônia,São Francisco do Guaporé,324278.19,17134.45,341412.64,17335.87
2017,Norte,RO,Rondônia,Seringueiras,225896.01,14640.66,240536.67,19010.25
2017,Norte,RO,Rondônia,Teixeirópolis,80539.80,2874.78,83414.57,16916.36
2017,Norte,RO,Rondônia,Theobroma,179985.13,4831.66,184816.78,16283.42
2017,Norte,RO,Rondônia,Urupá,199355.10,9634.36,208989.47,15946.09
2017,Norte,RO,Rondônia,Vale do Anari,144289.15,6487.95,150777.11,13523.82
2017,Norte,RO,Rondônia,Vale do Paraíso,136660.60,4067.81,140728.41,17488.31
2017,Norte,AC,Acre,Acrelândia,218948.51,10678.92,229627.43,15984.09
2017,Norte,AC,Acre,Assis Brasil,88938.40,2802.20,91740.59,13132.06
2017,Norte,AC,Acre,Brasiléia,359474.23,28436.55,387910.78,15663.67
2017,Norte,AC,Acre,Bujari,155829.53,2468.78,158298.31,16380.21
2017,Norte,AC,Acre,Capixaba,166185.96,4800.31,170986.27,15354.37
2017,Norte,AC,Acre,Cruzeiro do Sul,1160196.54,127525.56,1287722.10,15585.70
2017,Norte,AC,Acre,Epitaciolândia,363854.57,72056.31,435910.88,25139.04
2017,Norte,AC,Acre,Feijó,338648.92,12221.35,350870.27,10842.72
2017,Norte,AC,Acre,Jordão,77144.31,1483.87,78628.17,10006.13
2017,Norte,AC,Acre,Mâncio Lima,190411.91,4006.14,194418.05,10855.28
2017,Norte,AC,Acre,Manoel Urbano,129917.51,5681.17,135598.67,15259.81
2017,Norte,AC,Acre,Marechal Thaumaturgo,191679.26,3664.05,195343.30,10914.86
