Ano,mes,Empresa (nome),Empresa (sigla),Empresa (pais),Natureza,Passageiros,carga e correio (kg)
2019,1,AIGLE AZUR,AAF,FRANÃ‡A,INTERNACIONAL,7169,126460
2019,1,"AMERICAN AIRLINES,INC.",AAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,132819,3254526
2019,1,AIR CANADA,ACA,CANADÃ,INTERNACIONAL,25586,460667
2019,1,AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA,AEA,ESPANHA,INTERNACIONAL,25011,594884
2019,1,SOCIÃ‰TÃ‰ AIR FRANCE,AFR,FRANÃ‡A,INTERNACIONAL,64770,1676283
2019,1,AMERISTAR AIR CARGO,AJI,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,23,0
2019,1,AEROVÃAS DE MÃ‰XICO S.A DE C.V - AEROMÃ‰XICO,AMX,MÃ‰XICO,INTERNACIONAL,20210,934735
2019,1,ANDES LINEAS AEREAS,ANS,ARGENTINA,INTERNACIONAL,13058,0
2019,1,AEROLINEAS ARGENTINAS S/A,ARG,ARGENTINA,INTERNACIONAL,115596,16614
2019,1,AUSTRAL LINEAS AÃ‰REAS - CIELOS DEL SUR,AUT,ARGENTINA,INTERNACIONAL,12555,3040
2019,1,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,AVA,COLÃ”MBIA,INTERNACIONAL,27661,333900
2019,1,ALITALIA SOCIETA AEREA ITALIANA S.P.A.,AZA,ITÃLIA,INTERNACIONAL,44162,384134
2019,1,COMPAÃ‘IA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY),AZP,PARAGUAI,INTERNACIONAL,3337,0
2019,1,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,DOMÃ‰STICA,2051290,5168115
2019,1,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,INTERNACIONAL,136966,1917119
2019,1,BRITISH AIRWAYS PLC,BAW,INGLATERRA,INTERNACIONAL,29676,1415453
2019,1,TRANSPORTES AEREOS BOLIVIANOS,BOL,BOLÃVIA,INTERNACIONAL,0,60138
2019,1,BOA BOLIVIANA DE AVIACIÃ“N,BOV,BOLÃVIA,INTERNACIONAL,12425,18808
2019,1,AIR CHINA,CCA,CHINA,INTERNACIONAL,5068,205188
2019,1,CONDOR FLUGDIENST GMBH,CFG,ALEMANHA,INTERNACIONAL,5306,63059
2019,1,CARGOLUX AIRLINES INTERNATIONAL S/A,CLX,LUXEMBURGO,INTERNACIONAL,0,3628227
2019,1,COMPAÃ‘IA PANAMEÃ‘A DE AVIACION S.A. (COPA AIRLINES),CMP,PANAMÃ,INTERNACIONAL,93019,71277
2019,1,DELTA AIR LINES INC.,DAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,67805,808502
2019,1,DEUTSCHE LUFTHANSA A.G.,DLH,ALEMANHA,INTERNACIONAL,41961,1100604
2019,1,LAN ARGENTINA S.A.,DSM,ARGENTINA,INTERNACIONAL,19092,0
2019,1,TAAG LINHAS AÃ‰REAS DA ANGOLA (ANGOLA AIRLINES),DTA,ANGOLA,INTERNACIONAL,12298,126755
2019,1,DIVI DIVI AIR,DVR,CURAÃ‡AO,INTERNACIONAL,213,0
2019,1,EDELWEISS AIR AG,EDW,SUÃÃ‡A,INTERNACIONAL,4900,26074
2019,1,ETHIOPIAN AIRLINES GROUP,ETH,ETIÃ“PIA,INTERNACIONAL,21141,603219
2019,1,FEDEX - FEDERAL EXPRESS CORPORATION,FDX,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,1037784
2019,1,LUFTHANSA CARGO AG,GEC,ALEMANHA,INTERNACIONAL,0,2281860
2019,1,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,DOMÃ‰STICA,3265539,6557385
2019,1,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,INTERNACIONAL,212952,114628
2019,1,ATLAS AIR INC,GTI,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,5472771
2019,1,HI FLY TRANSPORTES AEREOS,HFY,PORTUGAL,INTERNACIONAL,2030,0
2019,1,IBÃ‰RIA LINEAS AEREAS DE ESPAÃ‘A SOCIEDAD ANONIMA OPERADORA,IBE,ESPANHA,INTERNACIONAL,30210,564053
2019,1,KOREAN AIR LINES CO. LTD.,KAL,COREIA DO SUL,INTERNACIONAL,0,1637080
2019,1,KLM CIA. REAL HOLANDESA DE AVIAÃ‡ÃƒO,KLM,HOLANDA,INTERNACIONAL,43173,1400571
2019,1,"SKY LEASE I,INC",KYE,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,39270
2019,1,LÃNEA AÃ‰REA CARGUEIRA DE COLOMBIA S.A - LANCO,LAE,COLÃ”MBIA,INTERNACIONAL,0,497127
2019,1,LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A),LAN,CHILE,INTERNACIONAL,78054,1201032
2019,1,TRANSPORTE AÃ‰REOS DEL MERCOSUR S.A. (TAM MERCOSUR),LAP,PARAGUAI,INTERNACIONAL,51654,51346
2019,1,LAN CARGO S.A.,LCO,CHILE,INTERNACIONAL,0,1326318
2019,1,LAN PERU S.A.,LPE,PERU,INTERNACIONAL,15716,12381
2019,1,ABSA - AEROLINHAS BRASILEIRAS S.A.,LTG,BRASIL,DOMÃ‰STICA,0,2051992
2019,1,ABSA - AEROLINHAS BRASILEIRAS S.A.,LTG,BRASIL,INTERNACIONAL,0,5967550
2019,1,MARTINAIR HOLLAND N.V.,MPH,PAÃSES BAIXOS,INTERNACIONAL,0,775010
2019,1,MODERN TRANSPORTE AEREO DE CARGA S.A,MWM,BRASIL,DOMÃ‰STICA,0,147816
2019,1,OCEANAIR LINHAS AÃ‰REAS S.A. (AVIANCA),ONE,BRASIL,INTERNACIONAL,62208,2494093
2019,1,OCEANAIR LINHAS AÃ‰REAS S.A. (AVIANCA),ONE,BRASIL,DOMÃ‰STICA,928837,5024446
2019,1,TWO TÃXI AÃ‰REO LTDA.,OWT,BRASIL,DOMÃ‰STICA,1126,96256
2019,1,MAP TRANSPORTES AÃ‰REOS LTDA.,PAM,BRASIL,DOMÃ‰STICA,9575,27
2019,1,PASSAREDO TRANSPORTES AÃ‰REOS S.A.,PTB,BRASIL,DOMÃ‰STICA,28681,30
2019,1,PRIVILEGE STYLE S.A.,PVG,ESPANHA,INTERNACIONAL,469,0
2019,1,QATAR AIRWAYS GROUP,QTR,QATAR,INTERNACIONAL,23254,1223785
2019,1,COMPAGNIE NATIONALE ROYAL AIR MAROC,RAM,MARROCOS,INTERNACIONAL,15321,187803
2019,1,AVIOR AIRLINES BRASIL C.A.,ROI,VENEZUELA,INTERNACIONAL,941,0
2019,1,ACT AIRLINES,RUN,TURQUIA,INTERNACIONAL,0,305
