Mês Ano,Área de atuação (Função),Subfunção,Programa Orçamentário,Plano Orçamentário,Grupo de Despesa,Elemento de Despesa,Modalidade de Despesa,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
Jan-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0001 - COORDENACAO E GESTAO DO ABASTECIMENTO AGROALIMENTAR,3 - Outras Despesas Correntes,39 - Outros Serviços de Terceiros - Pessoa Jurídica,90 - Reserva de Contingência,45925.41,45050.41,90042.85,132146.55
Jan-18,20 - Agricultura,605 - Abastecimento,2077 - AGROPECUARIA SUSTENTAVEL,"0004 - PESQUISA, ACOMPANHAMENTO E AVALIACAO DE SAFRAS",3 - Outras Despesas Correntes,33 - Passagens e Despesas com Locomoção,90 - Reserva de Contingência,100.00,100.00,100.00,1743.72
Jan-18,20 - Agricultura,605 - Abastecimento,2077 - AGROPECUARIA SUSTENTAVEL,"0004 - PESQUISA, ACOMPANHAMENTO E AVALIACAO DE SAFRAS",3 - Outras Despesas Correntes,14 - Diárias - Civil,90 - Reserva de Contingência,6655.00,6655.00,6655.00,0.00
Jan-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0001 - COORDENACAO E GESTAO DO ABASTECIMENTO AGROALIMENTAR,3 - Outras Despesas Correntes,30 - Material de Consumo,90 - Reserva de Contingência,6078.42,6272.98,5503.31,826.60
Jan-18,20 - Agricultura,605 - Abastecimento,2077 - AGROPECUARIA SUSTENTAVEL,0001 - RECUPERACAO E MODERNIZACAO DE UNIDADES ARMAZENADORAS NAO ATENDIDAS PELO CONTRATO COM O BANCO DO BRASIL,3 - Outras Despesas Correntes,39 - Outros Serviços de Terceiros - Pessoa Jurídica,90 - Reserva de Contingência,0.00,0.00,0.00,740.00
Jan-18,08 - Assistência social,244 - Assistência comunitária,2069 - SEGURANCA ALIMENTAR E NUTRICIONAL,0001 - DISTRIBUICAO DE ALIMENTOS A GRUPOS POPULACIONAIS ESPECIFICOS - BRASIL SEM MISERIA,3 - Outras Despesas Correntes,"32 - Material, Bem ou Serviço para Distribuição Gratuita",90 - Reserva de Contingência,0.00,0.00,0.00,356997.60
Jan-18,08 - Assistência social,306 - Alimentação e nutrição,2069 - SEGURANCA ALIMENTAR E NUTRICIONAL,0002 - AQUISICAO DE ALIMENTOS DA AGRICULTURA FAMILIAR,3 - Outras Despesas Correntes,"32 - Material, Bem ou Serviço para Distribuição Gratuita",90 - Reserva de Contingência,0.00,0.00,0.00,188216.68
Jan-18,20 - Agricultura,605 - Abastecimento,2077 - AGROPECUARIA SUSTENTAVEL,0001 - RECUPERACAO E MODERNIZACAO DE UNIDADES ARMAZENADORAS NAO ATENDIDAS PELO CONTRATO COM O BANCO DO BRASIL,3 - Outras Despesas Correntes,14 - Diárias - Civil,90 - Reserva de Contingência,2057.00,2057.00,2057.00,0.00
Jan-18,28 - Encargos especiais,846 - Outros encargos especiais,0901 - OPERACOES ESPECIAIS: CUMPRIMENTO DE SENTENCAS JUDICIAIS,0002 - DEPOSITOS RECURSAIS DEVIDOS POR EMPRESAS ESTATAIS DEPENDENTES,1 - Pessoal e Encargos Sociais,91 - Sentenças Judiciais,90 - Reserva de Contingência,9189.00,9189.00,9189.00,0.00
Jan-18,28 - Encargos especiais,846 - Outros encargos especiais,0901 - OPERACOES ESPECIAIS: CUMPRIMENTO DE SENTENCAS JUDICIAIS,0001 - SENTENCAS JUDICIAIS DE EMPRESAS ESTATAIS DEPENDENTES,1 - Pessoal e Encargos Sociais,91 - Sentenças Judiciais,90 - Reserva de Contingência,109112.35,109112.35,109112.35,0.00
Jan-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0000 - ATIVOS CIVIS DA UNIAO,1 - Pessoal e Encargos Sociais,07 - Contribuição a Entidades Fechadas de Previdência,90 - Reserva de Contingência,26848.32,26848.32,26848.32,0.00
Jan-18,28 - Encargos especiais,846 - Outros encargos especiais,0901 - OPERACOES ESPECIAIS: CUMPRIMENTO DE SENTENCAS JUDICIAIS,0001 - SENTENCAS JUDICIAIS DE EMPRESAS ESTATAIS DEPENDENTES,3 - Outras Despesas Correntes,91 - Sentenças Judiciais,90 - Reserva de Contingência,1378.14,1378.14,0.00,0.00
Jan-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0001 - COORDENACAO E GESTAO DO ABASTECIMENTO AGROALIMENTAR,3 - Outras Despesas Correntes,47 - Obrigações Tributárias e Contributivas,90 - Reserva de Contingência,9891.51,9891.51,33697.45,0.00
