data,temp_media,temp_min,temp_max,chuva,fds,consumo
1/1/2015,27.3,23.9,32.5,0,0,25461
1/2/2015,27.02,24.5,33.5,0,0,28972
1/3/2015,24.82,22.4,29.9,0,1,30814
1/4/2015,23.98,21.5,28.6,1.2,1,29799
1/5/2015,23.82,21,28.3,0,0,28900
1/6/2015,23.78,20.1,30.5,12.2,0,28218
1/7/2015,24,19.5,33.7,0,0,29732
1/8/2015,24.9,19.5,32.8,48.6,0,28397
1/9/2015,28.2,21.9,34,4.4,0,24886
1/10/2015,26.76,22.1,34.2,0,1,37937
1/11/2015,27.62,22.2,34.8,3.4,1,36254
1/12/2015,25.96,21.4,35.4,0,0,25743
1/13/2015,25.52,21.2,34.8,0.8,0,26990
1/14/2015,25.96,21.3,34,1.6,0,31825
1/15/2015,25.86,21.5,32.8,3,0,25724
1/16/2015,26.5,22.3,32.7,2,0,29938
1/17/2015,28.86,22,35.8,0,1,37690
1/18/2015,28.26,23.4,35.6,0,1,30524
1/19/2015,28.22,22.7,36.5,3.7,0,29265
1/20/2015,27.68,23.3,35.6,0.6,0,35127
1/21/2015,25.32,22.7,30.9,0,0,29130
1/22/2015,21.74,19.2,26.1,31,0,25795
1/23/2015,21.04,18.5,26.1,3.6,0,21784
1/24/2015,23.12,19,29.4,13,1,28348
1/25/2015,24.4,18.1,30,0,1,31088
1/26/2015,22.4,18.9,28.7,20.8,0,21520
1/27/2015,23.6,20.5,28.7,1.2,0,29972
1/28/2015,25.68,20.1,29.9,4.9,0,22603
1/29/2015,25,21.5,29.2,0,0,22696
1/30/2015,22.8,20.9,26.9,0,0,26845
1/31/2015,21.64,18.5,24.3,0.2,1,27030
2/1/2015,24.16,20.6,28,0,1,32057
2/2/2015,22.48,20.7,26.5,4.5,0,24097
2/3/2015,23.16,18,31.1,1.6,0,31655
2/4/2015,22.12,19.9,23.7,3.2,0,24738
2/5/2015,20.28,19.1,22.9,5.6,0,19950
2/6/2015,21.06,17.9,25.4,18.4,0,22821
2/7/2015,21.86,17.3,28.7,16.7,1,28893
2/8/2015,22.76,17.1,29.5,10.4,1,29926
2/9/2015,24,19.3,30.7,0,0,24062
2/10/2015,23.92,20.1,29,32.2,0,21137
2/11/2015,25.38,19.9,30.4,2.2,0,26805
2/12/2015,27.66,23.1,32.7,0,0,26389
2/13/2015,25.54,22.5,32.1,0,0,24219
2/14/2015,24.32,21.1,31.6,0,1,30231
2/15/2015,22.9,20,27.6,17.4,1,24968
2/16/2015,21.6,18.8,27.3,22.7,0,25343
2/17/2015,22.76,19.7,28,85.3,0,17399
2/18/2015,22.22,19.9,26.4,13.4,0,21392
2/19/2015,23.92,19.9,28.5,2.4,0,22922
2/20/2015,24.72,21.7,28.2,0,0,24567
2/21/2015,25.2,21.4,31.1,0,1,30943
2/22/2015,24.44,20.4,30.8,0,1,30825
2/23/2015,25.4,20.7,31.4,0,0,25692
2/24/2015,24.3,20.5,31.9,0,0,26959
2/25/2015,22.24,19.3,29.3,2,0,25366
2/26/2015,24.1,19.2,30.3,34.4,0,22784
2/27/2015,24.64,20.4,31.4,0.6,0,26241
2/28/2015,22.4,19.7,27.7,0,1,26467
3/1/2015,21.26,18.2,26.3,3,1,27475
3/2/2015,22.16,17.2,29.2,0,0,28749
3/3/2015,23.16,19.5,29.5,0,0,24146
3/4/2015,23.68,18.9,30.5,0,0,22988
3/5/2015,24.42,19.7,31.6,0,0,30300
3/6/2015,22.6,19.4,28.5,0,0,22654
3/7/2015,21.92,19.4,26.6,38.2,1,29090
3/8/2015,22.2,19.7,24.4,69.2,1,24619
3/9/2015,21.36,19.7,23.3,77,0,20016
3/10/2015,23.12,21.2,26.9,9.7,0,23042
3/11/2015,22.88,20.1,28.1,9.5,0,22933
3/12/2015,22.26,19.2,26.9,1.2,0,22409
3/13/2015,22.34,20,26.6,0,0,21281
3/14/2015,22.88,19.9,27.9,12.2,1,28844
3/15/2015,22.08,19.1,26.8,0.3,1,32872
3/16/2015,21.92,18.6,29.4,22.4,0,20903
3/17/2015,21.92,18.6,25.6,24.2,0,26275
3/18/2015,21.24,19.7,24.1,0,0,20167
3/19/2015,21.78,19.2,27.1,3.2,0,23628
3/20/2015,21.64,18.9,28.2,7.4,0,24213
3/21/2015,20.88,18.5,25.3,14.7,1,28631
3/22/2015,19.7,18.1,22.8,1.7,1,25855
3/23/2015,19.88,17.1,23.3,19.2,0,21406
3/24/2015,20.98,17.4,26.3,0,0,21617
3/25/2015,21.56,17.1,27.9,0,0,22401
3/26/2015,22.98,18.3,29.8,0,0,27989
3/27/2015,23.32,18,30.8,0,0,24974
3/28/2015,23.28,19.1,29.5,0,1,29760
3/29/2015,22.14,20.5,26.6,0,1,26116
3/30/2015,22.5,19,25.9,18.6,0,25850
3/31/2015,23.14,20.1,29,1,0,24925
4/1/2015,22.52,19.2,27.5,0,0,21979
4/2/2015,20.92,18.2,26.2,0,0,22116
4/3/2015,21.02,16.3,27.2,0,0,24867
4/4/2015,22.36,17.9,29.4,0,1,33450
4/5/2015,22.82,20.1,26.4,0,1,32713
4/6/2015,21.36,18.5,27.7,0,0,22356
4/7/2015,17.38,16.1,20,7.1,0,21004
4/8/2015,18.68,14.7,24.3,0.4,0,23362
4/9/2015,19.4,15.9,25.6,0,0,20298
4/10/2015,20.46,17,25.5,0,0,24862
4/11/2015,21.74,17.2,28.4,0,1,30505
4/12/2015,19.92,16.8,25.7,0,1,25070
4/13/2015,20.88,18.1,25.7,0,0,22620
4/14/2015,21.7,18.4,28.8,0,0,22001
4/15/2015,21.94,18.5,27.4,0,0,23469
4/16/2015,21.26,18.6,26.7,25.4,0,21735
4/17/2015,21.42,18.4,27,37.2,0,21593
4/18/2015,23.36,18.2,29.3,0,1,33822
4/19/2015,22.5,20.3,27.2,0,1,28028
4/20/2015,24,19.3,29.2,20.2,0,24304
4/21/2015,22.52,19.3,29,0,0,31108
4/22/2015,20.06,18.9,21.6,2.4,0,19113
