Ano,Órgão Superior,Órgão,Unidade Gestora,Origem,Categoria,Espécie,Detalhamento,Orçamento Atualizado (Valor Previsto),Receita Realizada (Valor Arrecadado),% Previsto/Realizado,Valor Lançado
2022,53000 - Ministério do Desenvolvimento Regional,53903 - Fundo Constitucional de Financiamento do Nordeste,537001 - FUNDO CONSTITUCIONAL DE FINANCIAM.DO NORDESTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11130317 - IRRF-TRABALHO-MULTAS DA DIVIDA ATIVA,1304924.00,0.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53903 - Fundo Constitucional de Financiamento do Nordeste,537001 - FUNDO CONSTITUCIONAL DE FINANCIAM.DO NORDESTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11130108 - IRPF-JUROS DA DIVIDA ATIVA,10965941.00,0.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53901 - Fundo Constitucional de Financiamento do Norte,537002 - FUNDO CONSTITUCIONAL FINANCIAMENTO NORTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11130202 - IRPJ-LIQUIDA DE INCENTIVOS-MULTAS E JUROS,15933735.00,0.00,0.00%,0.00
2022,"22000 - Ministério da Agricultura, Pecuária e Abastecimento",44208 - Serviço Florestal Brasileiro,440088 - SETORIAL PROG.ORCAMENTARIA E FINANCEIRA-SFB,24 - Transferências de Capital,2 - Receitas de Capital,244 - Transferências de Instituições Privadas,24410101 - TRANSF.INST.PRIV.PARA ORGAOS ENT.UNIAO-PRINC.,30000.00,0.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53901 - Fundo Constitucional de Financiamento do Norte,537002 - FUNDO CONSTITUCIONAL FINANCIAMENTO NORTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11140141 - IPI-VINCULADOS A IMPORTACAO-PRINCIPAL,215456082.00,0.00,0.00%,0.00
2022,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,158125 - INSTITUTO FEDERAL CATARINENSE - REITORIA,16 - Receita de Serviços ,1 - Receitas Correntes,169 - Outros serviços,16999901 - OUTROS SERVICOS-PRINCIPAL,0.00,20.00,0.00%,0.00
2022,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,"158147 - INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS",16 - Receita de Serviços ,1 - Receitas Correntes,161 - Serviços Administrativos e Comerciais Gerais,16110101 - SERV.ADMINISTRAT.E COMERCIAIS GERAIS-PRINC.,61200.00,0.00,0.00%,0.00
2022,32000 - Ministério de Minas e Energia,"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",323030 - AG. NAC.DO PETROLEO GAS NAT.E BIOCOM,13 - Receita Patrimonial ,1 - Receitas Correntes,134 - Exploração de recursos naturais,13410221 - ROY.PETRO.PLAT-COM.ANTES 3/12/12-P.SAL-PRINC.,4900500274.00,0.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53902 - Fundo Constitucional de Financiamento do Centro-Oeste,537003 - FUNDO CONSTITUCIONL DO CENTRO OESTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11130311 - IRRF-TRABALHO-PRINCIPAL,876496474.00,0.00,0.00%,0.00
2022,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto",240102 - COORDENACAO-GERAL DE ORCAMENTO E FINANCAS,19 - Outras Receitas Correntes,1 - Receitas Correntes,"191 - Multas administrativas, contratuais e judiciais ",19110901 - MULTAS E JUROS PREVISTOS EM CONTRATOS-PRINC.,16106.00,0.00,0.00%,0.00
2022,36000 - Ministério da Saúde,36211 - Fundação Nacional de Saúde ,255000 - FUNDACAO NACIONAL DE SAUDE - DF,22 - Alienação de Bens,2 - Receitas de Capital,221 - Alienação de bens móveis,22130101 - ALIENACAO DE BENS MOVEIS E SEMOVENTES-PRINC.,272364.00,0.00,0.00%,0.00
2022,"22000 - Ministério da Agricultura, Pecuária e Abastecimento",22202 - Empresa Brasileira de Pesquisa Agropecuária,135037 - EMBRAPA-SETORIAL,19 - Outras Receitas Correntes,1 - Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19220111 - RESTITUICAO DE CONVENIOS-PRIMARIAS-PRINCIPAL,0.00,44.09,0.00%,0.00
2022,54000 - Ministério do Turismo,34902 - Fundo Nacional de Cultura,540030 - FUNDO NACIONAL DA CULTURA - FNC,16 - Receita de Serviços ,1 - Receitas Correntes,161 - Serviços Administrativos e Comerciais Gerais,16110501 - SERVS.TECNICOS.APROV.LAUDOS.TELCOM/PRC,0.00,10.00,0.00%,0.00
2022,26000 - Ministério da Educação,26238 - Universidade Federal de Minas Gerais,153062 - UNIVERSIDADE FEDERAL DE MINAS GERAIS,17 - Transferências Correntes,1 - Receitas Correntes,173 - Transferências dos Municípios e de suas Entidades,17320101 - TRANSF.REC.ORG.UNIAO CONV.MUN./ENTID.-PRINC.,0.00,536000.00,0.00%,0.00
2022,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,"158122 - INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS",22 - Alienação de Bens,2 - Receitas de Capital,222 - Alienação de bens imóveis,22210101 - ALIENACAO DE BENS IMOVEIS EM GERAL-PRINC.,14350000.00,0.00,0.00%,0.00
2022,26000 - Ministério da Educação,26415 - Instituto Federal do Mato Grosso do Sul,"158132 - INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL",19 - Outras Receitas Correntes,1 - Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19220631 - RESTIT.DESP.PRIMARIAS EX.ANTERIORES-PRINC.,0.00,200.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53901 - Fundo Constitucional de Financiamento do Norte,537002 - FUNDO CONSTITUCIONAL FINANCIAMENTO NORTE,"71 - Impostos, Taxas e Contribuições de Melhoria",7 - Receitas Correntes - intra-orçamentárias,711 - Impostos,71130312 - IRRF-TRABALHO-MULTAS E JUROS-INTRA,5567.00,0.00,0.00%,0.00
2022,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações",24901 - Fundo Nacional de Desenvolvimento Científico e Tecnológico,240901 - FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO,12 - Contribuições,1 - Receitas Correntes,122 - Contribuições econômicas,12210701 - CIDE-REMESSAS AO EXTERIOR-PRINCIPAL,5645715114.00,0.00,0.00%,0.00
2022,26000 - Ministério da Educação,26443 - Empresa Brasileira de Serviços Hospitalares,155007 - EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,17 - Transferências Correntes,1 - Receitas Correntes,171 - Transferências da União e de suas Entidades,17179901 - OUTRAS TRANSF.CONV.UNIAO E SUAS ENTID.-PRINC.,0.00,20922.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53901 - Fundo Constitucional de Financiamento do Norte,537002 - FUNDO CONSTITUCIONAL FINANCIAMENTO NORTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11140153 - IPI-OUTROS PRODUTOS-DIVIDA ATIVA,1486313.00,0.00,0.00%,0.00
2022,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações",24901 - Fundo Nacional de Desenvolvimento Científico e Tecnológico,240901 - FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO,"71 - Impostos, Taxas e Contribuições de Melhoria",7 - Receitas Correntes - intra-orçamentárias,712 - Taxas ,71210241 - TX.FISC.FUNC-TFF-POSICOES.ORBITAIS/PRC-INTRA,0.00,27119.45,0.00%,0.00
2022,26000 - Ministério da Educação,26000 - Ministério da Educação - Unidades com vínculo direto,150014 - SUBSECRETARIA DE PLANEJ. E ORCAMENTO SPO(MEC),13 - Receita Patrimonial ,1 - Receitas Correntes,134 - Exploração de recursos naturais,13410221 - ROY.PETRO.PLAT-COM.ANTES 3/12/12-P.SAL-PRINC.,612562534.00,0.00,0.00%,0.00
2022,39000 - Ministério da Infraestrutura,"29209 - VALEC Engenharia, Construções e Ferrovias S.A.",275075 - VALEC ENGENHARIA CONSTRUCOES E FERROVIAS S.A.,19 - Outras Receitas Correntes,1 - Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19239902 - OUTROS RESSARCIMENTOS-MULTAS E JUROS,0.00,473.46,0.00%,0.00
2022,20000 - Presidência da República,20101 - Presidência da República,110005 - SECRETARIA DE ADMINISTRACAO-SET.ORC.E FIN./PR,13 - Receita Patrimonial ,1 - Receitas Correntes,134 - Exploração de recursos naturais,13410321 - ROY.EXC.PETRO.PLAT-CM.ANT.3/12/12-P.SAL-PRINC,1223787109.00,0.00,0.00%,0.00
2022,30000 - Ministério da Justiça e Segurança Pública,30108 - Departamento de Polícia Federal,200336 - COORDENACAO DE ORCAMENTO FINANCAS CONTABILIDA,19 - Outras Receitas Correntes,1 - Receitas Correntes,"193 - Bens, Direitos e Valores Incorporados ao Patrimônio Público","19310702 - BENS,DIR.VAL.PERD.UNIAO-LAV.OCUL.BENS-MUL.JUR",0.00,36.09,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53901 - Fundo Constitucional de Financiamento do Norte,537002 - FUNDO CONSTITUCIONAL FINANCIAMENTO NORTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11130313 - IRRF-TRABALHO-DIVIDA ATIVA,868010.00,0.00,0.00%,0.00
2022,41000 - Ministério das Comunicações,41231 - Agêncial Nacional de Telecomunicações,413001 - AGENCIA NACIONAL DE TELECOMUNICACOES-SEDE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,112 - Taxas,11210242 - TX.FISC.FUNC-TFF-POSICOES.ORBITAIS/MLT+JRS,0.00,51.96,0.00%,0.00
