Local,Área em Km2
Abecásia,8432.00
Açores,2333.00
Acrotiri e Deceleia,254.00
Afeganistão,652090.00
África do Sul,1221037.00
Albânia,28748.00
Alemanha,356733.00
Andorra,453.00
Angola,1246700.00
Anguila,102.00
Antártida,14000000.00
Antígua e Barbuda,440.00
Arábia Saudita,2149690.00
Argélia,2381741.00
Argentina,2780400.00
Armênia,29800.00
Aruba,180.00
Austrália,7692024.00
Áustria,83853.00
Azerbaijão,86600.00
Bahamas,13878.00
Bangladesh,143998.00
Barbados,430.00
Barém,678.00
Bélgica,30519.00
Belize,22965.00
Benim,112622.00
Bermudas,53.00
Bielorrússia,207600.00
Bolívia,1098581.00
Bonaire,294.00
Bósnia e Herzegovina,51129.00
Botsuana,581730.00
Brasil,8515767.00
Brunei,5765.00
Bulgária,110912.00
Burquina Faso,274200.00
Burundi,27834.00
Butão,47000.00
Cabo Verde,4033.00
Camarões,475442.00
Camboja,181035.00
Canadá,9984670.00
Canárias,7447.00
Catar,11000.00
Cazaquistão,2724900.00
Chade,1284000.00
Chile,756945.00
China,9596961.00
Chipre,9251.00
Chipre do Norte,3355.00
Colômbia,1138914.00
Comores,2235.00
Coreia do Norte,120538.00
Coreia do Sul,99016.00
Costa do Marfim,322463.00
Costa Rica,51100.00
Croácia,56538.00
Cuba,110861.00
Curaçao,444.00
Dinamarca,43077.00
Djibuti,23200.00
Domínica,751.00
Egito,1001049.00
El Salvador,21041.00
Emirados Árabes Unidos,83600.00
Equador,283561.00
Eritreia,117600.00
Escócia,78772.00
Eslováquia,49035.00
Eslovênia,20251.00
Espanha,504782.00
Estados Unidos,9371174.00
Estônia,45100.00
Etiópia,1104300.00
Faroé,1399.00
Fiji,18274.00
Filipinas,300000.00
Finlândia,338145.00
França,551500.00
Gabão,267667.00
Gâmbia,11295.00
Gana,238533.00
Geórgia,69700.00
Geórgia do Sul e Sandwich do Sul,4092.00
Gibraltar,6.50
Granada,344.00
Grécia,131990.00
Groenlândia,2166086.00
Guadalupe,1628.00
Guam,549.00
Guatemala,108889.00
Guernsey,78.00
Guiana,214969.00
Guiana Francesa,90000.00
Guiné,245857.00
Guiné Bissau,36125.00
Guiné Equatorial,28051.00
Haiti,27750.00
Honduras,112088.00
Hong Kong,1099.00
Hungria,93032.00
Iêmen,527968.00
Ilha Bouvet,49.00
Ilha da Madeira,801.00
Ilha de Clipperton,7.00
Ilha de Man,572.00
Ilha de Navassa,5.00
Ilha do Natal,135.00
Ilha Jan Mayen,373.00
Ilha Norfolk,34.60
Ilha Wake,19.00
Ilhas Ashmore e Cartier,5.00
Ilhas Caimão,264.00
Ilhas Cocos,14.00
Ilhas Cook,236.00
Ilhas do mar de coral,3.00
Ilhas Falkland,12173.00
Ilhas Heard e McDonald,412.00
Ilhas Marshall,181.00
Ilhas Paracel,7.00
Ilhas Pitcairn,47.00
Ilhas Salomão,28896.00
Ilhas Spratly,4.00
Ilhas Turcas e Caicos,417.00
Ilhas Virgens Americanas,347.00
Ilhas Virgens Britânicas,151.00
Índia,3287590.00
