Casos,Casos por dia,Óbitos por dia,mes,dia,anos,date,ano_mes
1,1,0,02,26,2020,2020-2-26,2020-2-1
0,0,0,02,27,2020,2020-2-27,2020-2-1
0,0,0,02,28,2020,2020-2-28,2020-2-1
2,1,0,02,29,2020,2020-2-29,2020-2-1
0,0,0,03,1,2020,2020-3-1,2020-3-1
0,0,0,03,2,2020,2020-3-2,2020-3-1
0,0,0,03,3,2020,2020-3-3,2020-3-1
3,1,0,03,4,2020,2020-3-4,2020-3-1
6,3,0,03,5,2020,2020-3-5,2020-3-1
10,4,0,03,6,2020,2020-3-6,2020-3-1
13,3,0,03,7,2020,2020-3-7,2020-3-1
16,3,0,03,8,2020,2020-3-8,2020-3-1
16,0,0,03,9,2020,2020-3-9,2020-3-1
19,3,0,03,10,2020,2020-3-10,2020-3-1
30,11,0,03,11,2020,2020-3-11,2020-3-1
46,16,0,03,12,2020,2020-3-12,2020-3-1
56,10,0,03,13,2020,2020-3-13,2020-3-1
65,9,0,03,14,2020,2020-3-14,2020-3-1
136,71,0,03,15,2020,2020-3-15,2020-3-1
152,16,0,03,16,2020,2020-3-16,2020-3-1
164,12,1,03,17,2020,2020-3-17,2020-3-1
240,76,3,03,18,2020,2020-3-18,2020-3-1
286,46,1,03,19,2020,2020-3-19,2020-3-1
396,110,4,03,20,2020,2020-3-20,2020-3-1
459,63,6,03,21,2020,2020-3-21,2020-3-1
631,172,7,03,22,2020,2020-3-22,2020-3-1
745,114,8,03,23,2020,2020-3-23,2020-3-1
810,65,10,03,24,2020,2020-3-24,2020-3-1
862,52,8,03,25,2020,2020-3-25,2020-3-1
1052,190,10,03,26,2020,2020-3-26,2020-3-1
1223,171,10,03,27,2020,2020-3-27,2020-3-1
1406,183,16,03,28,2020,2020-3-28,2020-3-1
1451,45,14,03,29,2020,2020-3-29,2020-3-1
1517,66,15,03,30,2020,2020-3-30,2020-3-1
2339,822,23,03,31,2020,2020-3-31,2020-3-1
2981,642,28,04,1,2020,2020-4-1,2020-4-1
3506,525,44,04,2,2020,2020-4-2,2020-4-1
4048,542,11,04,3,2020,2020-4-3,2020-4-1
4466,418,41,04,4,2020,2020-4-4,2020-4-1
4620,154,15,04,5,2020,2020-4-5,2020-4-1
4861,241,29,04,6,2020,2020-4-6,2020-4-1
5682,821,67,04,7,2020,2020-4-7,2020-4-1
6708,1026,57,04,8,2020,2020-4-8,2020-4-1
7480,772,68,04,9,2020,2020-4-9,2020-4-1
8216,736,44,04,10,2020,2020-4-10,2020-4-1
8419,203,20,04,11,2020,2020-4-11,2020-4-1
