DATA,ESTADO,CIDADE,CASOS CONFIRMADOS,ÓBITOS,POPULAÇÃO ESTIMADA,LETALIDADE
9/22/2021,PR,Abatiá,1121,20,7408,1.78
9/22/2021,PR,Adrianópolis,1413,29,5857,2.05
9/22/2021,PR,Agudos do Sul,767,30,9470,3.91
9/22/2021,PR,Almirante Tamandaré,11043,426,120041,3.86
9/22/2021,PR,Altamira do Paraná,281,12,1682,4.27
9/22/2021,PR,Altônia,1580,41,22176,2.59
9/22/2021,PR,Alto Paraíso,372,9,2685,2.42
9/22/2021,PR,Alto Paraná,1291,26,14859,2.01
9/22/2021,PR,Alto Piquiri,1115,27,9778,2.42
9/22/2021,PR,Alvorada do Sul,864,31,11503,3.59
9/22/2021,PR,Amaporã,465,8,6332,1.72
9/22/2021,PR,Ampére,2539,58,19311,2.28
9/22/2021,PR,Anahy,408,10,2788,2.45
9/22/2021,PR,Andirá,2653,89,19926,3.35
9/22/2021,PR,Ângulo,381,7,2930,1.84
9/22/2021,PR,Antonina,2586,73,18949,2.82
9/22/2021,PR,Antônio Olinto,559,15,7427,2.68
9/22/2021,PR,Apucarana,10999,464,136234,4.22
9/22/2021,PR,Arapongas,14355,577,124810,4.02
9/22/2021,PR,Arapoti,3257,66,28300,2.03
9/22/2021,PR,Arapuã,318,7,3009,2.2
9/22/2021,PR,Araruna,2175,37,14000,1.7
9/22/2021,PR,Araucária,29053,521,146214,1.79
9/22/2021,PR,Ariranha do Ivaí,179,4,2066,2.23
9/22/2021,PR,Assaí,1554,54,14954,3.47
9/22/2021,PR,Assis Chateaubriand,5285,125,33340,2.37
9/22/2021,PR,Astorga,3618,91,26209,2.52
9/22/2021,PR,Atalaia,447,23,3881,5.15
9/22/2021,PR,Balsa Nova,1737,35,13092,2.01
9/22/2021,PR,Bandeirantes,5360,144,31211,2.69
9/22/2021,PR,Barbosa Ferraz,1336,41,11426,3.07
9/22/2021,PR,Barracão,1349,35,10312,2.59
9/22/2021,PR,Barra do Jacaré,270,7,2781,2.59
9/22/2021,PR,Bela Vista da Caroba,199,7,3457,3.52
9/22/2021,PR,Bela Vista do Paraíso,2167,75,15399,3.46
9/22/2021,PR,Bituruna,1434,21,16400,1.46
9/22/2021,PR,Boa Esperança,494,17,4047,3.44
9/22/2021,PR,Boa Esperança do Iguaçu,189,0,2470,0
9/22/2021,PR,Boa Ventura de São Roque,568,8,6365,1.41
9/22/2021,PR,Boa Vista da Aparecida,1114,34,7540,3.05
9/22/2021,PR,Bocaiúva do Sul,2204,28,13129,1.27
9/22/2021,PR,Bom Jesus do Sul,507,6,3506,1.18
9/22/2021,PR,Bom Sucesso,1312,20,7068,1.52
9/22/2021,PR,Bom Sucesso do Sul,530,9,3254,1.7
9/22/2021,PR,Borrazópolis,930,30,6439,3.23
9/22/2021,PR,Braganey,621,8,5382,1.29
9/22/2021,PR,Brasilândia do Sul,426,10,2585,2.35
9/22/2021,PR,Cafeara,439,11,2954,2.51
9/22/2021,PR,Cafelândia,2770,35,18456,1.26
9/22/2021,PR,Cafezal do Sul,458,7,4009,1.53
9/22/2021,PR,Califórnia,1315,39,8606,2.97
9/22/2021,PR,Cambará,3083,65,25466,2.11
9/22/2021,PR,Cambé,13402,328,107341,2.45
9/22/2021,PR,Cambira,1146,26,7917,2.27
9/22/2021,PR,Campina da Lagoa,1772,61,14043,3.44
9/22/2021,PR,Campina do Simão,411,16,3859,3.89
9/22/2021,PR,Campina Grande do Sul,5863,164,43685,2.8
9/22/2021,PR,Campo Bonito,438,12,3763,2.74
9/22/2021,PR,Campo do Tenente,363,19,8045,5.23
9/22/2021,PR,Campo Largo,20113,498,133865,2.48
9/22/2021,PR,Campo Magro,3535,87,29740,2.46
9/22/2021,PR,Campo Mourão,15333,329,95488,2.15
9/22/2021,PR,Cândido de Abreu,1335,18,14809,1.35
9/22/2021,PR,Candói,1564,33,16053,2.11
9/22/2021,PR,Cantagalo,1149,28,13329,2.44
9/22/2021,PR,Capanema,2672,28,19148,1.05
9/22/2021,PR,Capitão Leônidas Marques,1887,31,15834,1.64
9/22/2021,PR,Carambeí,3669,66,23825,1.8
9/22/2021,PR,Carlópolis,796,29,14356,3.64
9/22/2021,PR,Cascavel,46785,1022,332333,2.18
9/22/2021,PR,Castro,11787,250,71809,2.12
9/22/2021,PR,Catanduvas,1054,21,10167,1.99
9/22/2021,PR,Centenário do Sul,1225,34,10764,2.78
9/22/2021,PR,Cerro Azul,1478,50,17833,3.38
9/22/2021,PR,Céu Azul,1575,29,11819,1.84
9/22/2021,PR,Chopinzinho,2634,49,19167,1.86
9/22/2021,PR,Cianorte,9879,179,83816,1.81
9/22/2021,PR,Cidade Gaúcha,1912,33,12797,1.73
9/22/2021,PR,Clevelândia,2210,88,16450,3.98
9/22/2021,PR,Colombo,26026,859,246540,3.3
9/22/2021,PR,Colorado,2962,66,24145,2.23
9/22/2021,PR,Congonhinhas,1133,28,8857,2.47
9/22/2021,PR,Conselheiro Mairinck,744,17,3876,2.28
9/22/2021,PR,Contenda,2599,68,18837,2.62
9/22/2021,PR,Corbélia,2790,42,17117,1.51
9/22/2021,PR,Cornélio Procópio,7443,159,47842,2.14
9/22/2021,PR,Coronel Domingos Soares,1227,18,7518,1.47
9/22/2021,PR,Coronel Vivida,3324,84,20580,2.53
9/22/2021,PR,Corumbataí do Sul,397,8,3127,2.02
9/22/2021,PR,Cruzeiro do Iguaçu,502,14,4240,2.79
9/22/2021,PR,Cruzeiro do Oeste,3127,85,20947,2.72
9/22/2021,PR,Cruzeiro do Sul,515,12,4449,2.33
9/22/2021,PR,Cruz Machado,1211,22,18741,1.82
9/22/2021,PR,Cruzmaltina,356,7,2921,1.97
9/22/2021,PR,Curitiba,216518,7457,1948626,3.44
9/22/2021,PR,Curiúva,1344,29,15196,2.16
9/22/2021,PR,Diamante D'Oeste,656,19,5266,2.9
9/22/2021,PR,Diamante do Norte,378,15,5030,3.97
9/22/2021,PR,Diamante do Sul,510,14,3424,2.75
9/22/2021,PR,Dois Vizinhos,6886,98,41038,1.42
9/22/2021,PR,Douradina,974,11,8869,1.13
9/22/2021,PR,Doutor Camargo,677,17,5983,2.51
9/22/2021,PR,Doutor Ulysses,363,8,5552,2.2
9/22/2021,PR,Enéas Marques,750,17,5933,2.27
9/22/2021,PR,Engenheiro Beltrão,1592,29,13981,1.82
9/22/2021,PR,Entre Rios do Oeste,472,6,4596,1.27
9/22/2021,PR,Esperança Nova,310,8,1665,2.58
9/22/2021,PR,Espigão Alto do Iguaçu,443,6,4048,1.35
9/22/2021,PR,Farol,194,7,3041,3.61
9/22/2021,PR,Faxinal,2401,72,17316,3
9/22/2021,PR,Fazenda Rio Grande,16243,457,102004,2.81
9/22/2021,PR,Fênix,430,8,4748,1.86
9/22/2021,PR,Fernandes Pinheiro,581,13,5602,2.24
9/22/2021,PR,Figueira,914,27,7696,2.95
9/22/2021,PR,Floraí,656,12,4906,1.83
9/22/2021,PR,Flor da Serra do Sul,627,25,4603,3.99
9/22/2021,PR,Floresta,1146,22,6851,1.92
9/22/2021,PR,Florestópolis,1440,33,10453,2.29
9/22/2021,PR,Flórida,316,12,2699,3.8
9/22/2021,PR,Formosa do Oeste,708,22,6460,3.11
9/22/2021,PR,Foz do Iguaçu,44196,1168,258248,2.64
9/22/2021,PR,Foz do Jordão,572,16,4556,2.8
9/22/2021,PR,Francisco Alves,501,6,5993,1.2
9/22/2021,PR,Francisco Beltrão,16323,275,92216,1.68
9/22/2021,PR,General Carneiro,550,35,13685,6.36
9/22/2021,PR,Godoy Moreira,227,4,2898,1.76
9/22/2021,PR,Goioerê,2084,72,28808,3.45
9/22/2021,PR,Goioxim,420,5,7053,1.19
9/22/2021,PR,Grandes Rios,647,18,5497,2.78
9/22/2021,PR,Guaíra,3905,99,33310,2.54
9/22/2021,PR,Guairaçá,442,12,6609,2.71
9/22/2021,PR,Guamiranga,1227,20,8811,1.63
9/22/2021,PR,Guapirama,633,8,3784,1.26
9/22/2021,PR,Guaporema,252,4,2241,1.59
9/22/2021,PR,Guaraci,622,9,5530,1.45
9/22/2021,PR,Guaraniaçu,1611,28,12217,1.74
9/22/2021,PR,Guarapuava,22533,601,182644,2.67
9/22/2021,PR,Guaraqueçaba,749,19,7594,2.54
9/22/2021,PR,Guaratuba,5210,183,37527,3.51
9/22/2021,PR,Honório Serpa,611,11,5119,1.8
9/22/2021,PR,Ibaiti,4017,146,31644,3.63
9/22/2021,PR,Ibema,543,25,6370,4.6
