classe,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015
total_Brasil,0.728,0.726,0.732,0.728,0.706,0.720,0.705,0.680,0.660,0.654,0.637,0.618,0.596,0.590,0.564,0.581,0.556,0.535,0.529,0.746,0.734,0.744,0.745,0.715,0.734,0.732,0.695,0.671,0.666,0.652,0.629,0.606,0.601,0.568,0.595,0.564,0.540,0.536,0.710,0.719,0.720,0.712,0.697,0.708,0.680,0.666,0.649,0.642,0.623,0.608,0.586,0.579,0.559,0.568,0.549,0.529,0.521
total_Norte,0.715,0.682,0.732,0.702,0.642,0.678,0.668,0.599,0.612,0.579,0.555,0.599,0.518,0.553,0.594,0.528,0.523,0.505,0.490,0.742,0.686,0.760,0.752,0.657,0.681,0.677,0.598,0.626,0.585,0.568,0.607,0.520,0.561,0.597,0.544,0.532,0.516,0.500,0.687,0.678,0.704,0.651,0.626,0.673,0.659,0.600,0.596,0.573,0.542,0.589,0.516,0.544,0.590,0.511,0.513,0.493,0.480
total_Nordeste,0.805,0.844,0.825,0.812,0.799,0.786,0.780,0.732,0.739,0.702,0.723,0.679,0.664,0.661,0.625,0.612,0.613,0.543,0.534,0.830,0.859,0.834,0.821,0.817,0.802,0.798,0.748,0.758,0.707,0.714,0.681,0.685,0.681,0.644,0.635,0.616,0.549,0.544,0.782,0.829,0.817,0.803,0.782,0.771,0.763,0.715,0.721,0.698,0.731,0.677,0.645,0.641,0.609,0.591,0.611,0.537,0.525
total_Sudeste,0.637,0.621,0.636,0.637,0.613,0.641,0.638,0.613,0.581,0.587,0.569,0.537,0.525,0.519,0.501,0.543,0.507,0.509,0.501,0.656,0.624,0.646,0.648,0.621,0.651,0.673,0.624,0.581,0.597,0.587,0.544,0.531,0.527,0.498,0.557,0.513,0.516,0.506,0.619,0.617,0.626,0.626,0.606,0.632,0.605,0.602,0.580,0.578,0.553,0.529,0.519,0.512,0.503,0.528,0.500,0.501,0.495
total_Sul,0.639,0.628,0.608,0.616,0.622,0.600,0.546,0.557,0.544,0.517,0.503,0.506,0.475,0.472,0.429,0.443,0.424,0.391,0.403,0.645,0.636,0.608,0.637,0.626,0.618,0.549,0.584,0.575,0.531,0.521,0.528,0.480,0.480,0.432,0.443,0.441,0.389,0.411,0.634,0.620,0.607,0.595,0.617,0.582,0.543,0.531,0.514,0.503,0.486,0.484,0.471,0.465,0.427,0.443,0.407,0.394,0.395
total_Centro-Oeste,0.681,0.744,0.755,0.763,0.727,0.740,0.722,0.676,0.685,0.699,0.650,0.681,0.665,0.653,0.589,0.590,0.560,0.525,0.502,0.688,0.756,0.785,0.789,0.728,0.759,0.739,0.685,0.698,0.717,0.657,0.683,0.680,0.671,0.597,0.592,0.554,0.520,0.505,0.674,0.733,0.724,0.736,0.726,0.721,0.704,0.667,0.671,0.680,0.644,0.679,0.648,0.635,0.579,0.587,0.566,0.530,0.500
total_Urbano,0.672,0.670,0.675,0.674,0.656,0.684,0.673,0.650,0.630,0.624,0.608,0.590,0.570,0.569,0.541,0.557,0.532,0.518,0.512,0.689,0.676,0.686,0.690,0.664,0.696,0.699,0.663,0.641,0.637,0.621,0.600,0.580,0.580,0.544,0.567,0.538,0.523,0.519,0.656,0.665,0.665,0.660,0.649,0.673,0.647,0.638,0.619,0.613,0.596,0.581,0.561,0.559,0.538,0.548,0.527,0.513,0.506
total_Rural,0.627,0.652,0.665,0.652,0.650,0.615,0.535,0.599,0.564,0.513,0.506,0.529,0.489,0.456,0.487,0.521,0.523,0.423,0.419,0.637,0.663,0.675,0.658,0.653,0.619,0.532,0.627,0.571,0.514,0.529,0.536,0.502,0.462,0.489,0.575,0.537,0.428,0.428,0.614,0.639,0.652,0.646,0.646,0.610,0.539,0.565,0.556,0.511,0.480,0.522,0.474,0.449,0.484,0.458,0.505,0.416,0.409
branca_Brasil,0.667,0.665,0.666,0.670,0.645,0.658,0.661,0.629,0.613,0.616,0.601,0.582,0.567,0.563,0.539,0.580,0.543,0.525,0.516,0.685,0.671,0.677,0.689,0.655,0.673,0.697,0.648,0.626,0.632,0.618,0.598,0.584,0.579,0.546,0.602,0.557,0.534,0.530,0.650,0.658,0.655,0.653,0.636,0.644,0.628,0.611,0.602,0.601,0.585,0.567,0.551,0.547,0.533,0.559,0.530,0.516,0.503
