Restaurante;Cidade;Estado;N’vel;Produto;Codigo;Valor Atual; Ano; Tipo;dummie
Alphaville;Barueri;Sao Paulo;A;ABADEJO BRADESCO;1010;42.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;B;HAPPY HOUR ESPECIAL DECK;22641;56.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;ABADEJO SUGESTAO;1033;56.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC ALHO OLEO;952;28.69;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC ARROZ BRANCO;901;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC ARROZ PIEMONTES;902;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC BATATA NOISETTE;904;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC BOLONHESA;954;30.79;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC BRANCO;953;28.69;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC BROCOLIS;908;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC CREME DE MILHO;909;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC CREME ESPINAFRE;910;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC FRITAS;905;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC FUNGHI;955;30.79;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC LEGUMES;907;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC PURE BATATA;906;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC SALADA VERDE;903;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC SICILIANO;956;30.79;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AC SUGO;951;29.39;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AD ARROZ BRANCO;911;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AD ARROZ PIEMONTES;912;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AD BATATA NOISETTE;915;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AD BROCOLIS;918;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AD CREME ESPINAFRE;920;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AD CREME MILHO;919;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AD FRITAS;914;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AD LEGUMES;917;7.00;2018;Refeicao/Sobremessa;0
Alphaville;Barueri;Sao Paulo;A;AD OVO FRITO;950;3.50;2018;Refeicao/Sobremessa;0
