REGI√O,ESTADO,DESTINAT¡RIO,ORIGEM,FORNECEDOR,MEDICAMENTO,APRESENTA«√O,QUANTIDADE,PEDIDO SISMAT,STATUS,DATA DE ENTREGA
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXTROCETAMINA, CLORIDRATO 50 MG/ML ",AMPOLA 10 mL,350,320424,Entrega realizada ,6/29/2020
CENTRO-OESTE,MATO GROSSO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXTROCETAMINA, CLORIDRATO 50 MG/ML ",AMPOLA 10 mL,800,320423,Entrega realizada ,6/29/2020
NORTE,AMAP¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXTROCETAMINA, CLORIDRATO 50 MG/ML ",AMPOLA 10 mL,2200,320410,Entrega realizada ,6/29/2020
NORDESTE,CEAR¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXTROCETAMINA, CLORIDRATO 50 MG/ML ",AMPOLA 10 mL,16000,320412,Entrega realizada ,6/29/2020
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXTROCETAMINA, CLORIDRATO 50 MG/ML ",AMPOLA 10 mL,450,320420,Entrega realizada ,6/29/2020
NORDESTE,BAHIA,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXTROCETAMINA, CLORIDRATO 50 MG/ML ",AMPOLA 10 mL,4450,320411,Entrega realizada ,6/29/2020
NORDESTE,MARANH√O,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXTROCETAMINA, CLORIDRATO 50 MG/ML ",AMPOLA 10 mL,750,320414,Entrega realizada ,6/30/2020
NORDESTE,CEAR¡,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXTROCETAMINA, CLORIDRATO 50 MG/ML ",AMPOLA 2 mL,49300,320412,Entrega realizada ,6/29/2020
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXTROCETAMINA, CLORIDRATO 50 MG/ML ",AMPOLA 2 mL,700,320420,Entrega realizada ,6/29/2020
SUDESTE,S√O PAULO,SES,REQUISI«√O ADMINISTRATIVA,CRIST¡LIA PRODUTOS QUÕMICOS E FARMAC UTICOS LTDA,"DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ",AMPOLA 2 mL,2750,320424,Entrega realizada ,6/29/2020
