REGIÃO;ESTADO;DESTINATÁRIO;ORIGEM;FORNECEDOR;MEDICAMENTO;APRESENTAÇÃO;QUANTIDADE;PEDIDO SISMAT;Pauta;STATUS;DATA DE ENTREGA;OBSERVAÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;SÃO PAULO;SES;REQUISIÇÃO ADMINISTRATIVA;CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;350;320424;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;800;320423;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPÁ;SES;REQUISIÇÃO ADMINISTRATIVA;CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;2.200;320410;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;CEARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;16.000;320412;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;450;320420;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;BAHIA;SES;REQUISIÇÃO ADMINISTRATIVA;CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;4.450;320411;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;MARANHÃO;SES;REQUISIÇÃO ADMINISTRATIVA;CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;750;320414;1;Entrega realizada ;30/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;CEARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 2 mL;49.300;320412;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 2 mL;700;320420;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;SÃO PAULO;SES;REQUISIÇÃO ADMINISTRATIVA;CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;2.750;320424;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
