Ano,Nome do autor,Número da emenda,Localidade do gasto (Regionalização),Sigla UF ,Função,Subfunção,Valor empenhado,Valor liquidado,Valor pago
2021,CLAUDIO CAJADO,1,BAHIA,BA,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,JOSE GUIMARAES,15,CEARÁ,CE,Educação,Ensino superior,0.00,0.00,0.00
2021,AROLDO MARTINS,1,PARANÁ,PR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,CELSO RUSSOMANNO,6,SÃO PAULO,SP,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,BANCADA DO ACRE,14,ACRE,AC,Urbanismo,Assistência comunitária,0.00,0.00,0.00
2021,GUSTAVO FRUET,5,PARANÁ,PR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,MARCOS AURELIO SAMPAIO,4,PIAUÍ,PI,Educação,Ensino superior,0.00,0.00,0.00
2021,JOSE GUIMARAES,16,CEARÁ,CE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,CARMEN ZANOTTO,5,SANTA CATARINA,SC,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,ROSANGELA GOMES,15,RIO DE JANEIRO,RJ,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,BANCADA DO PIAUI,5,PIAUÍ,PI,Urbanismo,Assistência comunitária,0.00,0.00,0.00
2021,STEFANO AGUIAR,12,MINAS GERAIS,MG,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,NILDA GONDIM,5,PARAÍBA,PB,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,RODRIGO CUNHA,18,ALAGOAS,AL,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,MARCIO JERRY,4,RIO GRANDE DO SUL,RS,Educação,Ensino superior,0.00,0.00,0.00
2021,EROS BIONDINI,2,MINAS GERAIS,MG,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,LEANDRE,7,PARANÁ,PR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,LUCAS GONZALEZ,4,MINAS GERAIS,MG,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,ZE CARLOS,3,MARANHÃO,MA,Educação,Ensino superior,0.00,0.00,0.00
2021,FABIO REIS,5,Nacional,BR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,DR. LUIZ ANTONIO TEIXEIRA JR.,5,RIO DE JANEIRO,RJ,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,HIRAN GONCALVES,5,RORAIMA,RR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,JULIO CESAR RIBEIRO,5,DISTRITO FEDERAL,DF,Agricultura,Promoção da produção agropecuária,0.00,0.00,0.00
2021,DR. JAZIEL,6,CEARÁ,CE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,DAVID SOARES,12,SÃO PAULO,SP,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,TALIRIA PETRONE,1,RIO DE JANEIRO,RJ,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,VICENTINHO,23,SÃO PAULO,SP,Educação,Ensino superior,0.00,0.00,0.00
2021,LEO DE BRITO,14,ACRE,AC,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,MARCELO RAMOS,9,AMAZONAS,AM,Educação,Ensino superior,0.00,0.00,0.00
2021,ALCEU MOREIRA,5,RIO GRANDE DO SUL,RS,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,MARA ROCHA,1,ACRE,AC,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,HEITOR FREIRE,10,CEARÁ,CE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,BETO ROSADO,13,RIO GRANDE DO NORTE,RN,Educação,Ensino superior,0.00,0.00,0.00
2021,HEITOR FREIRE,2,CEARÁ,CE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,LUCIANO DUCCI,3,Sul,Sul,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,CARLOS ZARATTINI,8,SÃO PAULO,SP,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,CHARLES FERNANDES,2,BAHIA,BA,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,RICARDO GUIDI,8,SANTA CATARINA,SC,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,JUNINHO DO PNEU,7,RIO DE JANEIRO,RJ,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,EDUARDO GIRAO,6,CEARÁ,CE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,DR. FREDERICO,10,MINAS GERAIS,MG,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,LUIZAO GOULART,8,PARANÁ,PR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,ELMANO FERRER,7,PIAUÍ,PI,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,DAVID MIRANDA,17,RIO DE JANEIRO,RJ,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,RELATOR GERAL,1558,Nacional,BR,Urbanismo,Assistência comunitária,0.00,0.00,0.00
2021,SARGENTO FAHUR,8,PARANÁ,PR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,JOAO CAMPOS,14,GOIÁS,GO,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,FABIO MITIDIERI,11,SERGIPE,SE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,GASTAO VIEIRA,3,MARANHÃO,MA,Educação,Ensino superior,0.00,0.00,0.00
2021,TASSO JEREISSATI,3,PARANÁ,PR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,SANDERSON,16,RIO GRANDE DO SUL,RS,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,LEUR LOMANTO JUNIOR,5,BAHIA,BA,Educação,Ensino superior,0.00,0.00,0.00
2021,RODRIGO PACHECO,5,MINAS GERAIS,MG,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,VALDEVAN NOVENTA,3,SERGIPE,SE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,RELATOR GERAL,215,Nacional,BR,Saúde,Assistência hospitalar e ambulatorial,0.00,0.00,0.00
2021,LEONIDAS CRISTINO,3,CEARÁ,CE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,ZECA DIRCEU,2,PARANÁ,PR,Educação,Ensino superior,0.00,0.00,0.00
2021,EVANDRO ROMAN,4,PARANÁ,PR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,DARCI DE MATOS,1,SANTA CATARINA,SC,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,PROFESSORA ROSA NEIDE,19,MATO GROSSO,MT,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,RELATOR GERAL,1576,Nacional,BR,Urbanismo,Assistência comunitária,0.00,0.00,0.00
2021,LAERCIO OLIVEIRA,7,SERGIPE,SE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,LUIZA ERUNDINA,10,SÃO PAULO,SP,Educação,Ensino superior,0.00,0.00,0.00
2021,JEFFERSON CAMPOS,14,SÃO PAULO,SP,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,CHRIS TONIETTO,6,RIO DE JANEIRO,RJ,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,EDUARDO CURY,7,RIO DE JANEIRO,RJ,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,BENES LEOCADIO,13,RIO GRANDE DO NORTE,RN,Educação,Ensino superior,0.00,0.00,0.00
2021,ALEX SANTANA,3,BAHIA,BA,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,FRANCISCO JR.,7,GOIÁS,GO,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,GENERAL GIRAO,7,RIO GRANDE DO NORTE,RN,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2022,IVAN VALENTE,4,SÃO PAULO,SP,Educação,Ensino superior,0.00,0.00,0.00
2021,GIACOBO,4,PARANÁ,PR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,BETO ROSADO,3,RIO GRANDE DO NORTE,RN,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0.00,0.00,0.00
2021,WEVERTON,7,Nacional,BR,Previdência social,Formação de recursos humanos,0.00,0.00,0.00
