Ano,Nome do autor,Número da emenda,Localidade do gasto (Regionalização),Sigla UF ,Função,Subfunção,Valor empenhado,Valor liquidado,Valor pago
2021,CLAUDIO CAJADO,1,BAHIA,BA,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,JOSE GUIMARAES,15,CEARÁ,CE,Educação,Ensino superior,0,0,0
2021,AROLDO MARTINS,1,PARANÁ,PR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,CELSO RUSSOMANNO,6,SÃO PAULO,SP,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,BANCADA DO ACRE,14,ACRE,AC,Urbanismo,Assistência comunitária,0,0,0
2021,GUSTAVO FRUET,5,PARANÁ,PR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,MARCOS AURELIO SAMPAIO,4,PIAUÍ,PI,Educação,Ensino superior,0,0,0
2021,JOSE GUIMARAES,16,CEARÁ,CE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,CARMEN ZANOTTO,5,SANTA CATARINA,SC,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,ROSANGELA GOMES,15,RIO DE JANEIRO,RJ,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,BANCADA DO PIAUI,5,PIAUÍ,PI,Urbanismo,Assistência comunitária,0,0,0
2021,STEFANO AGUIAR,12,MINAS GERAIS,MG,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,NILDA GONDIM,5,PARAÍBA,PB,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,RODRIGO CUNHA,18,ALAGOAS,AL,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,MARCIO JERRY,4,RIO GRANDE DO SUL,RS,Educação,Ensino superior,0,0,0
2021,EROS BIONDINI,2,MINAS GERAIS,MG,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,LEANDRE,7,PARANÁ,PR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,LUCAS GONZALEZ,4,MINAS GERAIS,MG,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,ZE CARLOS,3,MARANHÃO,MA,Educação,Ensino superior,0,0,0
2021,FABIO REIS,5,Nacional,BR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,DR. LUIZ ANTONIO TEIXEIRA JR.,5,RIO DE JANEIRO,RJ,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,HIRAN GONCALVES,5,RORAIMA,RR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,JULIO CESAR RIBEIRO,5,DISTRITO FEDERAL,DF,Agricultura,Promoção da produção agropecuária,0,0,0
2021,DR. JAZIEL,6,CEARÁ,CE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,DAVID SOARES,12,SÃO PAULO,SP,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,TALIRIA PETRONE,1,RIO DE JANEIRO,RJ,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,VICENTINHO,23,SÃO PAULO,SP,Educação,Ensino superior,0,0,0
2021,LEO DE BRITO,14,ACRE,AC,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,MARCELO RAMOS,9,AMAZONAS,AM,Educação,Ensino superior,0,0,0
