mat_codigo,mfo_referencia,mat_descricao,mat_marca,Legenda,end_descricao,Est_Fisico,Est_Vendido,Est_Comprado,Disponivel
40037,20100201097609,AMERICANO JG COPO DE AGUA 190 ML,NADIR,Em linha,R04-B15-A00-P01,6846,456,0,6390
3010,102010021,AMERICANO COPO DE AGUA 190ML,NADIR,Em linha,R01-B13-A00-P01,61176,6000,41472,55176
40536,29100201243207    ,AMERICANO COPO C/ TAMPA E CANUDO 450 ML,NADIR,Em linha,R03-B10-A01-P03,493,0,0,493
3020,102310025,AMERICANO COPO DE APERITIVO 45 ML,NADIR,Em linha,R02-B22-A00-P01,11112,816,4104,10296
45233,51100201017411,AMERICANO XICARA CAFE C/ PIRES 90 ML,NADIR,Ponta de Estoque,R06-B24-A00-P01,1080,60,0,1020
31436,51100201015888,AMERICANO XICARA CAFE S/ PIRES 90 ML,NADIR,Em linha,R01-B04-A00-P03,1284,48,0,1236
28014,59100200981291,AMERICANO CANECA 270 ML,NADIR,Em linha,R02-B10-A00-P01,2232,360,0,1872
31437,42100201016223,AMERICANO TIGELA C/ TAMPA COLOR 150 ML ,NADIR,Promocao,R02-B13-A00-P01,5304,312,5712,4992
35580,41100201157923,AMERICANO TIGELA C/ TAMPA COLOR 350 ML,NADIR,Em linha,R04-B13-A00-P01,5904,732,6600,5172
55037,46100201476959,AMERICANO TIGELA C/ TAMPA COLOR 1 L,NADIR,Em linha,R03-B15-A00-P01,1932,564,4320,1368
35581,40100201146829,AMERICANO CJ TIGELA C/TPA COLOR 615 ML C/ 03 PCS,NADIR,Em linha,R04-B03-A00-P03,140,0,324,140
38056,15090201189546,AMERICANO JG TIGELAS C/ TAMPA 3PC,NADIR,Em linha,R04-B01-A01-P01,1164,12,0,1152
40535,54100201210018    ,"AMERICANO JARRA 1,2L",NADIR,Em linha,R01-B08-A00-P03,852,12,0,840
45226,20100201199154,COCA COLA JG C/6 AMERICANO COPO LINHA TEMPO 190 ML,NADIR,Em linha,R01-B06-A00-P02,208,0,0,208
38048,70500201184091,COPO COCA CONTOUR CRISTAL 470 ML,NADIR,Em linha,R03-B06-A01-P01,4908,84,0,4824
22234,78560200930312,BARONE TACA CHAMPANHE 190 ML,NADIR,Em linha,R03-B06-A01-P03,2244,60,0,2184
10461,78330200689688,IMPERATRIZ TACA P/ CHAMPAGNE 220 ML,NADIR,Em linha,R02-B10-A01-P01,2568,84,0,2484
9475,70330200635891,IMPERATRIZ TACA P/ AGUA 425 ML,NADIR,Em linha,R01-B03-A01-P01,2604,72,0,2532
