Data,São Paulo,Rio de Janeiro,Minas Gerais,Espírito Santo
26-Feb,1,0,0,0
27-Feb,1,0,0,0
28-Feb,1,0,0,0
29-Feb,1,0,0,0
1-Mar,1,0,0,0
2-Mar,1,0,0,0
3-Mar,1,0,0,0
4-Mar,1,0,0,0
5-Mar,3,0,0,0
6-Mar,4,0,0,0
7-Mar,3,0,0,0
8-Mar,3,1,0,0
9-Mar,3,0,0,0
10-Mar,3,5,0,0
11-Mar,11,5,0,0
12-Mar,16,3,1,0
13-Mar,10,0,0,0
14-Mar,9,6,2,0
15-Mar,71,2,0,0
16-Mar,16,7,2,0
17-Mar,12,2,8,0
18-Mar,77,30,5,8
19-Mar,45,3,10,4
20-Mar,110,43,9,3
21-Mar,63,10,17,10
22-Mar,172,67,28,0
23-Mar,114,47,45,7
24-Mar,65,72,2,7
25-Mar,52,65,3,0
26-Mar,191,51,20,8
27-Mar,170,72,36,6
28-Mar,183,65,16,7
29-Mar,45,42,26,11
30-Mar,66,57,30,13
31-Mar,822,51,14,12
1-Apr,642,124,39,23
2-Apr,525,160,56,19
3-Apr,542,82,27,14
4-Apr,418,172,33,13
5-Apr,154,148,68,28
6-Apr,246,67,27,15
7-Apr,816,227,34,18
8-Apr,1026,250,55,46
9-Apr,772,278,41,27
10-Apr,736,248,43,49
11-Apr,203,143,52,34
12-Apr,336,248,56,47
13-Apr,140,376,9,33
14-Apr,476,179,69,94
15-Apr,1672,333,19,177
16-Apr,525,201,55,201
17-Apr,1273,405,63,17
18-Apr,1053,194,56,147
19-Apr,373,222,77,96
20-Apr,313,134,35,17
21-Apr,805,407,41,101
22-Apr,529,246,53,38
23-Apr,826,620,25,102
24-Apr,1086,110,111,212
25-Apr,2178,546,62,46
26-Apr,711,283,67,108
27-Apr,981,833,38,125
28-Apr,2345,560,63,220
29-Apr,2117,365,109,374
30-Apr,2540,584,69,150
1-May,1676,713,108,225
2-May,800,380,88,191
3-May,598,593,95,104
4-May,415,582,229,143
5-May,1866,670,105,189
6-May,3800,904,153,174
7-May,2075,861,165,274
8-May,1902,1585,173,254
9-May,2581,1188,180,170
10-May,1033,133,114,187
11-May,687,877,83,220
12-May,1588,547,115,268
13-May,3378,242,298,314
14-May,3189,739,217,412
15-May,4092,520,246,385
16-May,2805,1614,278,397
17-May,1162,637,137,149
18-May,721,4427,84,413
19-May,2929,1140,282,536
20-May,3864,2567,309,802
21-May,3880,1717,310,383
22-May,3132,1500,399,642
23-May,3687,944,343,398
24-May,1603,3379,330,89
25-May,1464,1386,294,358
26-May,2392,726,554,524
27-May,3466,2374,495,595
28-May,6382,2488,675,719
29-May,5691,3067,546,700
30-May,5586,4467,398,534
31-May,2556,968,838,253
1-Jun,1598,1142,206,595
2-Jun,6999,2202,269,866
3-Jun,5188,2508,1071,970
4-Jun,5717,1692,1024,773
5-Jun,5365,2134,961,1215
6-Jun,5984,1476,944,841
7-Jun,2524,3223,764,669
8-Jun,1520,1743,108,1040
9-Jun,5545,3480,219,1305
10-Jun,6178,1394,1399,1427
11-Jun,6204,1402,947,1037
12-Jun,5380,2009,1658,1074
13-Jun,4975,1052,508,509
14-Jun,5327,736,767,458
15-Jun,3258,1374,347,1183
16-Jun,8825,2397,296,1378
17-Jun,1232,3620,1323,1477
