ID de produto único,peso dos produtos,especifica se o produto tem baixo teor de gordura ou não,porcentagem da área total de exibição de todos os produtos em uma loja alocada para o produto específico,a categoria à qual o produto pertence,Preço máximo de varejo (preço listado) dos produtos,ID de loja única,ano de criação dos pontos de venda,o tamanho da loja em termos de área coberta,o tipo de cidade em que a loja está localizada,(variável de destino) vendas do produto na loja específica
FDW58,20.75,Low Fat,0.007564836,Snack Foods,1.078.622,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDW14,8.3,reg,0.038427677,Dairy,873.198,OUT017,2007,Medium,Tier 2,Supermarket Type1
NCN55,14.6,Low Fat,0.099574908,Others,2.417.538,OUT010,1998,Medium,Tier 3,Grocery Store
FDQ58,7.315,Low Fat,0.015388393,Snack Foods,155.034,OUT017,2007,Medium,Tier 2,Supermarket Type1
FDY38,,Regular,0.118599314,Dairy,234.23,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDH56,9.8,Regular,0.063817206,Fruits and Vegetables,1.171.492,OUT046,1997,Small,Tier 1,Supermarket Type1
FDL48,19.35,Regular,0.082601537,Baking Goods,501.034,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDC48,,Low Fat,0.015782495,Baking Goods,810.592,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDN33,6.305,Regular,0.123365446,Snack Foods,957.436,OUT045,2002,,Tier 2,Supermarket Type1
FDA36,5.985,Low Fat,0.005698435,Baking Goods,1.868.924,OUT017,2007,,Tier 2,Supermarket Type1
FDT44,16.6,Low Fat,0.103569075,Fruits and Vegetables,1.183.466,OUT017,2007,,Tier 2,Supermarket Type1
FDQ56,6.59,Low Fat,0.10581147,Fruits and Vegetables,853.908,OUT045,2002,,Tier 2,Supermarket Type1
NCC54,,Low Fat,0.171079215,Health and Hygiene,2.404.196,OUT019,1985,Small,Tier 1,Grocery Store
FDU11,4.785,Low Fat,0.092737611,Breads,1.223.098,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRL59,16.75,LF,0.021206464,Hard Drinks,520.298,OUT013,1987,High,Tier 3,Supermarket Type1
FDM24,6.135,Regular,0.0794507,Baking Goods,1.516.366,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDI57,19.85,Low Fat,0.05413521,Seafood,1.987.768,OUT045,2002,,Tier 2,Supermarket Type1
DRC12,17.85,Low Fat,0.037980963,Soft Drinks,1.922.188,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCM42,,Low Fat,0.028184344,Household,1.096.912,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDA46,13.6,Low Fat,0.196897637,Snack Foods,1.937.136,OUT010,1998,,Tier 3,Grocery Store
FDA31,7.1,Low Fat,0.109920138,Fruits and Vegetables,175.008,OUT013,1987,High,Tier 3,Supermarket Type1
NCJ31,19.2,Low Fat,0.182619235,Others,2.399.196,OUT035,2004,Small,Tier 2,Supermarket Type1
FDG52,13.65,LF,0.065630844,Frozen Foods,477.402,OUT046,1997,Small,Tier 1,Supermarket Type1
NCL19,,Low Fat,0.027447057,Others,142.347,OUT019,1985,Small,Tier 1,Grocery Store
FDS10,19.2,Low Fat,0.035178935,Snack Foods,1.807.318,OUT035,2004,Small,Tier 2,Supermarket Type1
FDX22,6.785,Regular,0.038455125,Snack Foods,2.094.928,OUT010,1998,,Tier 3,Grocery Store
NCF19,13,Low Fat,0.035102094,Household,476.034,OUT035,2004,Small,Tier 2,Supermarket Type1
NCE06,5.825,Low Fat,0.091485232,Household,1.613.894,OUT046,1997,Small,Tier 1,Supermarket Type1
DRC27,13.8,Low Fat,0.058102469,Dairy,2.446.802,OUT046,1997,Small,Tier 1,Supermarket Type1
FDE21,12.8,LF,0.022940349,Fruits and Vegetables,1.165.492,OUT035,2004,Small,Tier 2,Supermarket Type1
NCR42,,Low Fat,0.06737681,Household,32.09,OUT019,1985,Small,Tier 1,Grocery Store
FDX51,9.5,Regular,0.022148582,Meat,1.949.452,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCR06,12.5,Low Fat,0.006792707,Household,424.112,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDU31,,Regular,0.024870035,Fruits and Vegetables,2.177.508,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDU59,5.78,Low Fat,0.096931426,Breads,1.642.552,OUT017,2007,,Tier 2,Supermarket Type1
FDR03,,Regular,0.008693632,Meat,205.098,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDS49,,Low Fat,0.078961284,Canned,803.644,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDD48,10.395,Low Fat,0.050479463,Baking Goods,1.140.176,OUT010,1998,,Tier 3,Grocery Store
NCF18,18.35,Low Fat,0.089485918,Household,1.921.504,OUT017,2007,,Tier 2,Supermarket Type1
NCD43,,Low Fat,0.01594238,Household,1.033.964,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCD54,21.1,Low Fat,0.029127115,Household,1.433.786,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDY19,19.75,LF,0.069236421,Fruits and Vegetables,1.166.466,OUT010,1998,,Tier 3,Grocery Store
NCY54,8.43,Low Fat,0.178699961,Household,1.739.422,OUT017,2007,,Tier 2,Supermarket Type1
NCL19,15.35,Low Fat,0.015740089,Others,144.847,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDP23,6.71,Low Fat,0.059565107,Breads,2.172.166,OUT010,1998,,Tier 3,Grocery Store
FDC26,10.195,Low Fat,0.126277921,Canned,1.121.886,OUT013,1987,High,Tier 3,Supermarket Type1
FDR14,11.65,Low Fat,0.291322397,Dairy,558.298,OUT010,1998,,Tier 3,Grocery Store
NCS41,12.85,Low Fat,0.053433908,Health and Hygiene,1.832.608,OUT035,2004,Small,Tier 2,Supermarket Type1
FDF41,12.15,Low Fat,0.131155007,Frozen Foods,248.146,OUT035,2004,Small,Tier 2,Supermarket Type1
FDU34,18.25,Low Fat,0.075194929,Snack Foods,1.249.046,OUT046,1997,Small,Tier 1,Supermarket Type1
DRH11,5.98,Low Fat,0.075557965,Hard Drinks,570.614,OUT046,1997,Small,Tier 1,Supermarket Type1
FDM03,12.65,Low Fat,0.122928415,Meat,1.066.938,OUT013,1987,High,Tier 3,Supermarket Type1
FDS31,13.1,Regular,0.044442342,Fruits and Vegetables,1.810.318,OUT017,2007,,Tier 2,Supermarket Type1
