cod,ano,cid1,cid2,num1,num2,num3,num4
1,2017,BRASÍLIA,SÃO PAULO,38689,1250620,256662,294
2,2017,BRASÍLIA,SÃO PAULO,29558,1130240,227853,261
3,2017,BRASÍLIA,SÃO PAULO,147,4262,873,1
4,2017,BRASÍLIA,SÃO PAULO,485,19876,4365,5
5,2017,BRASÍLIA,SÃO PAULO,0,6885,1746,2
6,2017,SÃO PAULO,BRASÍLIA,0,3875,873,1
7,2017,BRASÍLIA,SÃO PAULO,0,3226,873,1
8,2017,BRASÍLIA,SÃO PAULO,26783,924261,192060,220
9,2017,BRASÍLIA,SÃO PAULO,0,8255,1746,2
10,2017,BRASÍLIA,SÃO PAULO,25479,848515,174600,200
11,2017,BRASÍLIA,SÃO PAULO,27752,866774,175473,201
12,2017,BRASÍLIA,SÃO PAULO,28703,873571,176346,202
1,2017,GUARULHOS,BUENOS AIRES,13990,723178,157542,93
2,2017,GUARULHOS,BUENOS AIRES,13350,687032,149072,88
3,2017,GUARULHOS,BUENOS AIRES,14718,732179,155848,92
4,2017,GUARULHOS,BUENOS AIRES,12617,695220,149072,88
5,2017,GUARULHOS,BUENOS AIRES,12476,728993,155848,92
6,2017,GUARULHOS,BUENOS AIRES,12317,734212,152460,90
7,2017,GUARULHOS,BUENOS AIRES,13492,780649,157542,93
8,2017,GUARULHOS,BUENOS AIRES,13279,745839,157542,93
9,2017,GUARULHOS,BUENOS AIRES,13006,730745,150766,89
10,2017,GUARULHOS,BUENOS AIRES,13909,760153,157542,93
11,2017,GUARULHOS,BUENOS AIRES,12421,726158,152460,90
12,2017,GUARULHOS,BUENOS AIRES,11808,718472,157542,93
1,2017,RIO DE JANEIRO,SÃO PAULO,0,24128,3600,10
2,2017,RIO DE JANEIRO,SÃO PAULO,0,5273,720,2
3,2017,RIO DE JANEIRO,SÃO PAULO,0,5463,720,2
4,2017,RIO DE JANEIRO,SÃO PAULO,0,4223,720,2
5,2017,RIO DE JANEIRO,SÃO PAULO,16682,403067,52920,147
6,2017,RIO DE JANEIRO,SÃO PAULO,0,7974,1080,3
7,2017,RIO DE JANEIRO,SÃO PAULO,0,4900,720,2
8,2017,RIO DE JANEIRO,SÃO PAULO,11079,237109,29520,82
9,2017,RIO DE JANEIRO,SÃO PAULO,0,4728,720,2
10,2017,RIO DE JANEIRO,SÃO PAULO,19404,401785,51120,142
11,2017,RIO DE JANEIRO,SÃO PAULO,0,4689,720,2
12,2017,RIO DE JANEIRO,SÃO PAULO,17580,383926,50040,139
1,2018,BRASÍLIA,SÃO PAULO,27026,846243,172854,198
2,2018,BRASÍLIA,SÃO PAULO,22763,780693,158013,181
3,2018,BRASÍLIA,SÃO PAULO,25955,898980,181584,208
4,2018,BRASÍLIA,SÃO PAULO,25124,819338,168489,193
5,2018,BRASÍLIA,SÃO PAULO,27139,899005,185076,212
6,2018,BRASÍLIA,SÃO PAULO,26458,867365,173727,199
7,2018,BRASÍLIA,SÃO PAULO,28958,847466,180711,207
8,2018,BRASÍLIA,SÃO PAULO,27421,904618,188568,216
9,2018,BRASÍLIA,SÃO PAULO,25814,830101,177219,203
10,2018,BRASÍLIA,SÃO PAULO,28010,892496,182457,209
11,2018,BRASÍLIA,SÃO PAULO,0,3938,873,1
12,2018,BRASÍLIA,SÃO PAULO,25745,828029,177219,203
1,2018,GUARULHOS,BUENOS AIRES,11916,683941,155848,92
2,2018,GUARULHOS,BUENOS AIRES,13361,651883,142296,84
3,2018,GUARULHOS,BUENOS AIRES,6169,316804,66066,39
4,2018,GUARULHOS,BUENOS AIRES,12745,682253,143990,85
5,2018,GUARULHOS,BUENOS AIRES,12769,741109,155848,92
6,2018,GUARULHOS,BUENOS AIRES,11283,675793,142296,84
7,2018,GUARULHOS,BUENOS AIRES,13340,745595,157542,93
8,2018,GUARULHOS,BUENOS AIRES,13294,732249,154154,91
9,2018,GUARULHOS,BUENOS AIRES,12715,697495,150766,89
10,2018,GUARULHOS,BUENOS AIRES,12542,699171,147378,87
11,2018,GUARULHOS,BUENOS AIRES,12155,720086,149072,88
12,2018,GUARULHOS,BUENOS AIRES,126,7316,1694,1
1,2018,RIO DE JANEIRO,SÃO PAULO,0,6703,1080,3
2,2018,RIO DE JANEIRO,SÃO PAULO,172,7134,1080,3
3,2018,RIO DE JANEIRO,SÃO PAULO,0,7227,1080,3
4,2018,RIO DE JANEIRO,SÃO PAULO,0,10707,1440,4
5,2018,RIO DE JANEIRO,SÃO PAULO,0,10272,1440,4
6,2018,RIO DE JANEIRO,SÃO PAULO,0,10855,1800,5
7,2018,RIO DE JANEIRO,SÃO PAULO,0,2407,360,1
8,2018,RIO DE JANEIRO,SÃO PAULO,0,6811,1080,3
9,2018,RIO DE JANEIRO,SÃO PAULO,0,2043,360,1
10,2018,RIO DE JANEIRO,SÃO PAULO,0,4268,720,2
11,2018,RIO DE JANEIRO,SÃO PAULO,0,5179,720,2
12,2018,RIO DE JANEIRO,SÃO PAULO,17036,367700,48600,135
1,2019,BRASÍLIA,SÃO PAULO,22842,876627,183330,210
2,2019,BRASÍLIA,SÃO PAULO,0,4488,873,1
3,2019,BRASÍLIA,SÃO PAULO,25666,898749,188568,216
