cod,ano,cid1,cid2,num1,num2,num3,num4
1,2017,BRASÍLIA,SÃO PAULO,38689,1250620,256662,294
1,2017,SÃO PAULO,BRASÍLIA,36765,1231410,245313,281
2,2017,BRASÍLIA,SÃO PAULO,29558,1130240,227853,261
2,2017,SÃO PAULO,BRASÍLIA,27391,1030810,221742,254
3,2017,BRASÍLIA,SÃO PAULO,147,4262,873,1
3,2017,BRASÍLIA,SÃO PAULO,32164,1254560,261027,299
3,2017,SÃO PAULO,BRASÍLIA,30568,1200040,253170,290
4,2017,BRASÍLIA,SÃO PAULO,485,19876,4365,5
4,2017,BRASÍLIA,SÃO PAULO,33526,1169720,246186,282
4,2017,SÃO PAULO,BRASÍLIA,30988,1105960,239202,274
5,2017,BRASÍLIA,SÃO PAULO,0,6885,1746,2
5,2017,BRASÍLIA,SÃO PAULO,25263,891106,187695,215
5,2017,SÃO PAULO,BRASÍLIA,27949,894733,188568,216
6,2017,SÃO PAULO,BRASÍLIA,0,3875,873,1
6,2017,SÃO PAULO,BRASÍLIA,24291,841686,181584,208
7,2017,BRASÍLIA,SÃO PAULO,0,3226,873,1
7,2017,BRASÍLIA,SÃO PAULO,25409,804555,164124,188
7,2017,SÃO PAULO,BRASÍLIA,26984,772115,164124,188
8,2017,BRASÍLIA,SÃO PAULO,26783,924261,192060,220
8,2017,SÃO PAULO,BRASÍLIA,27989,908917,192060,220
9,2017,BRASÍLIA,SÃO PAULO,0,8255,1746,2
9,2017,BRASÍLIA,SÃO PAULO,25242,830124,173727,199
9,2017,SÃO PAULO,BRASÍLIA,25082,842571,174600,200
10,2017,BRASÍLIA,SÃO PAULO,25479,848515,174600,200
10,2017,SÃO PAULO,BRASÍLIA,0,7414,1746,2
10,2017,SÃO PAULO,BRASÍLIA,25377,871598,175473,201
11,2017,BRASÍLIA,SÃO PAULO,27752,866774,175473,201
11,2017,SÃO PAULO,BRASÍLIA,28520,907630,176346,202
12,2017,BRASÍLIA,SÃO PAULO,28703,873571,176346,202
12,2017,SÃO PAULO,BRASÍLIA,0,3255,873,1
12,2017,SÃO PAULO,BRASÍLIA,28077,882753,174600,200
1,2017,GUARULHOS,BUENOS AIRES,13990,723178,157542,93
1,2017,BUENOS AIRES,GUARULHOS,14770,693829,157542,93
2,2017,GUARULHOS,BUENOS AIRES,13350,687032,149072,88
2,2017,BUENOS AIRES,GUARULHOS,13168,646200,147378,87
3,2017,GUARULHOS,BUENOS AIRES,14718,732179,155848,92
3,2017,BUENOS AIRES,GUARULHOS,13213,678779,155848,92
4,2017,GUARULHOS,BUENOS AIRES,12617,695220,149072,88
4,2017,BUENOS AIRES,GUARULHOS,11569,649823,149072,88
5,2017,GUARULHOS,BUENOS AIRES,12476,728993,155848,92
5,2017,BUENOS AIRES,GUARULHOS,11893,672864,155848,92
6,2017,GUARULHOS,BUENOS AIRES,12317,734212,152460,90
6,2017,BUENOS AIRES,GUARULHOS,11075,629620,149072,88
7,2017,GUARULHOS,BUENOS AIRES,13492,780649,157542,93
7,2017,BUENOS AIRES,GUARULHOS,13378,668041,157542,93
8,2017,GUARULHOS,BUENOS AIRES,13279,745839,157542,93
8,2017,BUENOS AIRES,GUARULHOS,11893,682330,157542,93
9,2017,GUARULHOS,BUENOS AIRES,13006,730745,150766,89
9,2017,BUENOS AIRES,GUARULHOS,12014,642836,150766,89
10,2017,GUARULHOS,BUENOS AIRES,13909,760153,157542,93
10,2017,BUENOS AIRES,GUARULHOS,12052,676659,157542,93
11,2017,GUARULHOS,BUENOS AIRES,136,,,
11,2017,GUARULHOS,BUENOS AIRES,12421,726158,152460,90
11,2017,BUENOS AIRES,GUARULHOS,12275,656840,152460,90
12,2017,GUARULHOS,BUENOS AIRES,11808,718472,157542,93
12,2017,BUENOS AIRES,GUARULHOS,12601,685718,157542,93
1,2017,RIO DE JANEIRO,SÃO PAULO,0,24128,3600,10
1,2017,RIO DE JANEIRO,SÃO PAULO,407,10289,1440,4
1,2017,RIO DE JANEIRO,SÃO PAULO,23234,473648,63360,176
1,2017,SÃO PAULO,RIO DE JANEIRO,0,1718,366,1
1,2017,SÃO PAULO,RIO DE JANEIRO,140,2151,366,1
1,2017,SÃO PAULO,RIO DE JANEIRO,64400,1506270,264984,724
2,2017,RIO DE JANEIRO,SÃO PAULO,0,5273,720,2
2,2017,RIO DE JANEIRO,SÃO PAULO,15807,415923,59400,165
2,2017,SÃO PAULO,RIO DE JANEIRO,109,,,
2,2017,SÃO PAULO,RIO DE JANEIRO,16404,365445,62640,174
3,2017,RIO DE JANEIRO,SÃO PAULO,0,5463,720,2
3,2017,RIO DE JANEIRO,SÃO PAULO,19242,489874,66600,185
3,2017,SÃO PAULO,RIO DE JANEIRO,57145,1492430,265350,725
4,2017,RIO DE JANEIRO,SÃO PAULO,0,4223,720,2
4,2017,RIO DE JANEIRO,SÃO PAULO,20881,439451,61560,171
4,2017,SÃO PAULO,RIO DE JANEIRO,263,3875,720,2
4,2017,SÃO PAULO,RIO DE JANEIRO,21855,372632,65160,181
5,2017,RIO DE JANEIRO,SÃO PAULO,124,,,
5,2017,RIO DE JANEIRO,SÃO PAULO,16682,403067,52920,147
5,2017,SÃO PAULO,RIO DE JANEIRO,64931,1290840,231312,632
6,2017,RIO DE JANEIRO,SÃO PAULO,0,7974,1080,3
6,2017,RIO DE JANEIRO,SÃO PAULO,13583,379410,49680,138
6,2017,SÃO PAULO,RIO DE JANEIRO,0,3869,366,1
6,2017,SÃO PAULO,RIO DE JANEIRO,57725,1196500,219234,599
7,2017,RIO DE JANEIRO,SÃO PAULO,0,4900,720,2
7,2017,RIO DE JANEIRO,SÃO PAULO,2139,43023,5760,16
7,2017,RIO DE JANEIRO,SÃO PAULO,19624,398703,52200,145
7,2017,SÃO PAULO,RIO DE JANEIRO,69939,1334480,241926,661
8,2017,RIO DE JANEIRO,SÃO PAULO,0,7460,1080,3
8,2017,RIO DE JANEIRO,SÃO PAULO,11079,237109,29520,82
