epidemiological_week,date,state,city,city_ibge_code,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_deaths,last_available_death_rate,estimated_population,infected_confirmed
202119,5/14/2021,RJ,Angra dos Reis,3300100,12496,603543208,412,0.033,207044,1
202119,5/14/2021,RJ,AperibÃ©,3300159,493,414250903,19,0.0385,11901,1
202119,5/14/2021,RJ,Araruama,3300209,4933,367331134,304,0.0616,134293,1
202119,5/14/2021,RJ,Areal,3300225,886,699344858,37,0.0418,12669,1
202119,5/14/2021,RJ,ArmaÃ§Ã£o dos BÃºzios,3300233,4001,1160483801,43,0.0107,34477,1
202119,5/14/2021,RJ,Arraial do Cabo,3300258,614,200699506,26,0.0423,30593,1
202119,5/14/2021,RJ,Barra do PiraÃ­,3300308,5150,511095232,286,0.0555,100764,1
202119,5/14/2021,RJ,Barra Mansa,3300407,13549,733040096,472,0.0348,184833,1
202119,5/14/2021,RJ,Belford Roxo,3300456,19233,374826063,570,0.0296,513118,1
202119,5/14/2021,RJ,Bom Jardim,3300506,1303,471827926,31,0.0238,27616,1
202119,5/14/2021,RJ,Bom Jesus do Itabapoana,3300605,2711,728704674,73,0.0269,37203,1
202119,5/14/2021,RJ,Cabo Frio,3300704,10776,467752997,561,0.0521,230378,1
202119,5/14/2021,RJ,Cachoeiras de Macacu,3300803,2458,414481561,84,0.0342,59303,1
202119,5/14/2021,RJ,Cambuci,3300902,734,473121052,28,0.0381,15514,1
202119,5/14/2021,RJ,Campos dos Goytacazes,3301009,23014,450223801,1143,0.0497,511168,1
202119,5/14/2021,RJ,Cantagalo,3301108,2166,107397858,16,0.0074,20168,1
202119,5/14/2021,RJ,Carapebus,3300936,1336,805498613,10,0.0075,16586,1
202119,5/14/2021,RJ,Cardoso Moreira,3301157,1086,847047812,10,0.0092,12821,1
202119,5/14/2021,RJ,Carmo,3301207,1866,980557015,34,0.0182,19030,1
202119,5/14/2021,RJ,Casimiro de Abreu,3301306,3683,817699429,105,0.0285,45041,1
202119,5/14/2021,RJ,Comendador Levy Gasparian,3300951,618,720615672,22,0.0356,8576,1
202119,5/14/2021,RJ,ConceiÃ§Ã£o de Macabu,3301405,1875,801350543,70,0.0373,23398,1
202119,5/14/2021,RJ,Cordeiro,3301504,2121,962297536,8,0.0038,22041,1
202119,5/14/2021,RJ,Duas Barras,3301603,178,154406662,6,0.0337,11528,1
202119,5/14/2021,RJ,Duque de Caxias,3301702,19791,214043763,1297,0.0655,924624,1
202119,5/14/2021,RJ,Engenheiro Paulo de Frontin,3301801,1309,930282141,52,0.0397,14071,1
202119,5/14/2021,RJ,Guapimirim,3301850,4555,742001694,158,0.0347,61388,1
202119,5/14/2021,RJ,Iguaba Grande,3301876,3791,1314630509,93,0.0245,28837,1
202119,5/14/2021,RJ,Importados/Indefinidos,,0,,0,0,,0
202119,5/14/2021,RJ,ItaboraÃ­,3301900,8654,356802711,601,0.0694,242543,1
202119,5/14/2021,RJ,ItaguaÃ­,3302007,4760,353065963,287,0.0603,134819,1
202119,5/14/2021,RJ,Italva,3302056,460,300673247,20,0.0435,15299,1
202119,5/14/2021,RJ,Itaocara,3302106,1843,793643958,67,0.0364,23222,1
202119,5/14/2021,RJ,Itaperuna,3302205,6274,604431599,170,0.0271,103800,1
202119,5/14/2021,RJ,Itatiaia,3302254,1286,401072854,51,0.0397,32064,1
202119,5/14/2021,RJ,Japeri,3302270,972,92090802,68,0.07,105548,1
202119,5/14/2021,RJ,Laje do MuriaÃ©,3302304,493,672945673,6,0.0122,7326,1
202119,5/14/2021,RJ,MacaÃ©,3302403,23080,882597007,575,0.0249,261501,1
202119,5/14/2021,RJ,Macuco,3302452,827,1470745154,7,0.0085,5623,1
