E/S,CONTA,SUB-CONTA,CLIENTE/FORNECEDOR,DOCUMENTO,OBSERVAÇÃO,VALOR,VENCIMENTO,PAGAMENTO,STATUS,VALOR PAGO
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Iguaçu Máquinas,Pedido 07969210,Parcela 8/8,98461.64,5/27/2022,,EM ABERTO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Iguaçu Máquinas,Pedido 07969210,Parcela 7/8,99487.40,4/27/2022,,EM ABERTO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Iguaçu Máquinas,Pedido 07969210,Parcela 6/8,100192.60,3/27/2022,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Centroaço,-,Parcela 6/6,5650.00,3/10/2022,,EM ABERTO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Iguaçu Máquinas,Pedido 07969210,Parcela 5/8,101474.79,2/27/2022,,EM ABERTO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,John Deere,Pedido 08205975,Parcela 6/6,30939.00,2/25/2022,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Centroaço,-,Parcela 5/6,5650.00,2/10/2022,,EM ABERTO,
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2320 Controle Parasitário,Zoofertil,NF 35209,Parcela 5/5,720.74,2/3/2022,,EM ABERTO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Iguaçu Máquinas,Pedido 07969210,Parcela 4/8,102486.49,1/27/2022,,EM ABERTO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,John Deere,Pedido 08205975,Parcela 5/6,30939.00,1/25/2022,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Centroaço,-,Parcela 4/6,5650.00,1/10/2022,,EM ABERTO,
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2905 Peças de Reposição,Iguaçu Máquinas,NF 176417,Parcela 4/4,1275.94,1/5/2022,,EM ABERTO,
SAÍDA,2300 Manejo Sanitário e Reprodutivo,2320 Controle Parasitário,Zoofertil,NF 35209,Parcela 4/5,720.74,1/4/2022,,EM ABERTO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Iguaçu Máquinas,Pedido 07969210,Parcela 3/8,103269.86,12/27/2021,,EM ABERTO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,John Deere,Pedido 08205975,Parcela 4/6,30939.00,12/25/2021,,EM ABERTO,
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,LF Leilões (26/08/21),Lote 38,Parcela 4/4,21525.00,12/24/2021,,EM ABERTO,
SAÍDA,2100 Comerciais,2110 Comissões,LF Leilões (26/08/21),Lote 38,-,3013.50,12/24/2021,,EM ABERTO,
SAÍDA,"3000 Máquinas, Equipamentos e Veículos",3020 Contrato,Pro Campo Com De Maq e Equip Ltda,-,Parcela 4/4,27000.00,12/20/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,Centroaço,-,Parcela 3/6,5650.00,12/10/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,"NF's 100869, 870, 871 e 879",Parcela 4/4,3127.94,12/8/2021,,EM ABERTO,
SAÍDA,3500 Despesas Patrimoniais,3505 Obras Estruturais,JK Materiais de Construção,NF 100882,Parcela 3/3,1100.00,12/8/2021,,EM ABERTO,
SAÍDA,2700 Aquisição de Animais,2710 Compra de animais para recria,LF Leilões (09/08/21),Lote 36,Parcela 4/4,33005.00,12/7/2021,,EM ABERTO,
SAÍDA,2100 Comerciais,2110 Comissões,LF Leilões (09/08/21),Lote 36,-,4620.70,12/7/2021,,EM ABERTO,
SAÍDA,2900 Manutenção de Máquinas e Equipamentos,2905 Peças de Reposição,Iguaçu Máquinas,NF 176417,Parcela 3/4,1275.96,12/5/2021,,EM ABERTO,
