CODIGO_FILIAL,CNPJ_LOJA,LOJA,DATA_VENDA,ano,mês,dia,CV,QUANTIDADE,VALOR_UNITARIO,VALOR_VENDA_REAL,DESCONTO_PERCENTUAL,VALOR_DESCONTO,FORNECEDOR,GRIFE,TIPO_PRODUTO,CATEGORIA
0105,01329476000567,MITANI MORUMBI      ,20220706,2022,7,6,0051228-0105,1,147.25,147.25,0.00,0.00,ALCON BRASIL CUIDADOS COM A SAUDE LTDA  ,AIR OPTIX COLORS              ,LC,LENTES DE CONTATO
0105,01329476000567,MITANI MORUMBI      ,20220706,2022,7,6,0051228-0105,1,147.25,147.25,0.00,0.00,ALCON BRASIL CUIDADOS COM A SAUDE LTDA  ,AIR OPTIX COLORS              ,LC,LENTES DE CONTATO
0105,01329476000567,MITANI MORUMBI      ,20220706,2022,7,6,0051228-0105,1,147.25,147.25,0.00,0.00,ALCON BRASIL CUIDADOS COM A SAUDE LTDA  ,AIR OPTIX COLORS              ,LC,LENTES DE CONTATO
0105,01329476000567,MITANI MORUMBI      ,20220706,2022,7,6,0051228-0105,1,147.25,147.25,0.00,0.00,ALCON BRASIL CUIDADOS COM A SAUDE LTDA  ,AIR OPTIX COLORS              ,LC,LENTES DE CONTATO
0109,01329476000990,MITANI C NORTE      ,20220705,2022,7,5,0055875-0109,1,168.75,168.75,0.00,0.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY                     ,LC,LENTES DE CONTATO
0109,01329476000990,MITANI C NORTE      ,20220705,2022,7,5,0055875-0109,1,168.75,168.75,0.00,0.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY                     ,LC,LENTES DE CONTATO
0109,01329476000990,MITANI C NORTE      ,20220705,2022,7,5,0055875-0109,1,168.75,168.75,0.00,0.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY                     ,LC,LENTES DE CONTATO
0109,01329476000990,MITANI C NORTE      ,20220705,2022,7,5,0055875-0109,1,168.75,168.75,0.00,0.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY                     ,LC,LENTES DE CONTATO
0109,01329476000990,MITANI C NORTE      ,20220708,2022,7,8,0056474-0109,1,186.40,186.40,0.00,0.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE 1 DAY OASYS            ,LC,LENTES DE CONTATO
0109,01329476000990,MITANI C NORTE      ,20220708,2022,7,8,0056474-0109,1,203.60,203.60,0.00,0.00,SOLOTICA DISTR. DE PRODUTOS OPTICOS LTDA,FLUORCARBONADA DK 90 SOPER    ,LC,LENTES DE CONTATO
0109,01329476000990,MITANI C NORTE      ,20220706,2022,7,6,0056987-0109,1,213.00,213.00,0.00,0.00,SOLOTICA DISTR. DE PRODUTOS OPTICOS LTDA,FLUORCARBONADA DK 90 SOPER    ,LC,LENTES DE CONTATO
0109,01329476000990,MITANI C NORTE      ,20220706,2022,7,6,0056987-0109,1,213.00,213.00,0.00,0.00,SOLOTICA DISTR. DE PRODUTOS OPTICOS LTDA,FLUORCARBONADA DK 90 SOPER    ,LC,LENTES DE CONTATO
0102,01329476000214,MITANI IBIRAPUERA   ,20220708,2022,7,8,0057387-0102,1,320.00,320.00,0.00,0.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS ASTIGMATISMO     ,LC,LENTES DE CONTATO
0102,01329476000214,MITANI IBIRAPUERA   ,20220708,2022,7,8,0057387-0102,1,320.00,320.00,0.00,0.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS ASTIGMATISMO     ,LC,LENTES DE CONTATO
0110,01329476001024,MITANI AUGUSTA      ,20220709,2022,7,9,0057636-0110,1,234.00,234.00,25.00,78.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY TORIC               ,LC,LENTES DE CONTATO
0110,01329476001024,MITANI AUGUSTA      ,20220709,2022,7,9,0057636-0110,1,234.00,234.00,25.00,78.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY TORIC               ,LC,LENTES DE CONTATO
0110,01329476001024,MITANI AUGUSTA      ,20220709,2022,7,9,0057636-0110,1,234.00,234.00,25.00,78.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY TORIC               ,LC,LENTES DE CONTATO
0110,01329476001024,MITANI AUGUSTA      ,20220709,2022,7,9,0057636-0110,1,234.00,234.00,25.00,78.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY TORIC               ,LC,LENTES DE CONTATO
0104,01329476000486,MITANI ELDORADO     ,20220709,2022,7,9,0057728-0104,1,168.75,168.75,0.00,0.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY                     ,LC,LENTES DE CONTATO
0104,01329476000486,MITANI ELDORADO     ,20220709,2022,7,9,0057728-0104,1,168.75,168.75,0.00,0.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY                     ,LC,LENTES DE CONTATO
0104,01329476000486,MITANI ELDORADO     ,20220709,2022,7,9,0057728-0104,1,168.75,168.75,0.00,0.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY                     ,LC,LENTES DE CONTATO
0104,01329476000486,MITANI ELDORADO     ,20220709,2022,7,9,0057728-0104,1,168.75,168.75,0.00,0.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY                     ,LC,LENTES DE CONTATO
0110,01329476001024,MITANI AUGUSTA      ,20220708,2022,7,8,0057775-0110,1,146.25,146.25,25.00,48.75,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE 1 DAY OASYS            ,LC,LENTES DE CONTATO
0110,01329476001024,MITANI AUGUSTA      ,20220708,2022,7,8,0057775-0110,1,146.25,146.25,25.00,48.75,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE 1 DAY OASYS            ,LC,LENTES DE CONTATO
0110,01329476001024,MITANI AUGUSTA      ,20220708,2022,7,8,0057775-0110,1,146.25,146.25,25.00,48.75,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE 1 DAY OASYS            ,LC,LENTES DE CONTATO
0110,01329476001024,MITANI AUGUSTA      ,20220708,2022,7,8,0057775-0110,1,146.25,146.25,25.00,48.75,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE 1 DAY OASYS            ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220707,2022,7,7,0059029-0103,1,76.00,76.00,20.00,19.00,,CLEAR CARE                    ,ME,LENTES DE CONTATO
0102,01329476000214,MITANI IBIRAPUERA   ,20220704,2022,7,4,0057937-0102,1,295.00,295.00,0.00,0.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE 1 DAY MOIST MULTIFOCAL ,LC,LENTES DE CONTATO
0102,01329476000214,MITANI IBIRAPUERA   ,20220704,2022,7,4,0058009-0102,1,312.00,312.00,0.00,0.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY TORIC               ,LC,LENTES DE CONTATO
0102,01329476000214,MITANI IBIRAPUERA   ,20220704,2022,7,4,0058009-0102,1,312.00,312.00,0.00,0.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY TORIC               ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220704,2022,7,4,0058033-0103,1,7343.14,7343.14,25.07,2456.86,PHD APARELHOS AUDITIVOS LTDA            ,CIRCA                         ,AU,AUDIOLOGIA
0103,01329476000303,MITANI JD SUL       ,20220704,2022,7,4,0058033-0103,1,6.50,6.50,99.00,643.50,PHD APARELHOS AUDITIVOS LTDA            ,ACESSÓRIOS APARELHO AUDITVO   ,AU,AUDIOLOGIA
0103,01329476000303,MITANI JD SUL       ,20220707,2022,7,7,0058135-0103,1,220.00,220.00,8.33,20.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE 1 DAY MOIST ASTIGMATISM,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220707,2022,7,7,0058135-0103,1,300.00,300.00,6.25,20.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS ASTIGMATISMO     ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220707,2022,7,7,0058135-0103,1,220.00,220.00,8.33,20.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE 1 DAY MOIST ASTIGMATISM,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220707,2022,7,7,0058135-0103,1,300.00,300.00,6.25,20.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS ASTIGMATISMO     ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220705,2022,7,5,0058265-0103,1,215.50,215.50,4.22,9.50,COOPERVISION DO BRASIL LTDA             ,BIOFINITY                     ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220705,2022,7,5,0058265-0103,1,145.50,145.50,6.13,9.50,COOPERVISION DO BRASIL LTDA             ,CLARITI 1 DAY                 ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220705,2022,7,5,0058265-0103,1,302.50,302.50,3.04,9.50,COOPERVISION DO BRASIL LTDA             ,BIOFINITY TORIC               ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220705,2022,7,5,0058265-0103,1,196.50,196.50,4.61,9.50,COOPERVISION DO BRASIL LTDA             ,CLARITI 1 DAY TORIC           ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220704,2022,7,4,0058292-0103,1,165.00,165.00,25.00,55.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS                  ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220704,2022,7,4,0058292-0103,1,165.00,165.00,25.00,55.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS                  ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220704,2022,7,4,0058292-0103,1,165.00,165.00,25.00,55.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS                  ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220704,2022,7,4,0058292-0103,1,165.00,165.00,25.00,55.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS                  ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220704,2022,7,4,0058292-0103,1,165.00,165.00,25.00,55.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS                  ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220704,2022,7,4,0058292-0103,1,165.00,165.00,25.00,55.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS                  ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220704,2022,7,4,0058292-0103,1,165.00,165.00,25.00,55.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS                  ,LC,LENTES DE CONTATO
0103,01329476000303,MITANI JD SUL       ,20220704,2022,7,4,0058292-0103,1,165.00,165.00,25.00,55.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS                  ,LC,LENTES DE CONTATO
0105,01329476000567,MITANI MORUMBI      ,20220707,2022,7,7,0058488-0105,1,234.00,234.00,25.00,78.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY TORIC               ,LC,LENTES DE CONTATO
0105,01329476000567,MITANI MORUMBI      ,20220707,2022,7,7,0058488-0105,1,234.00,234.00,25.00,78.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY TORIC               ,LC,LENTES DE CONTATO
0105,01329476000567,MITANI MORUMBI      ,20220707,2022,7,7,0058488-0105,1,234.00,234.00,25.00,78.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY TORIC               ,LC,LENTES DE CONTATO
0105,01329476000567,MITANI MORUMBI      ,20220707,2022,7,7,0058488-0105,1,206.00,206.00,0.00,0.00,COOPERVISION DO BRASIL LTDA             ,CLARITI 1 DAY TORIC           ,LC,LENTES DE CONTATO
0105,01329476000567,MITANI MORUMBI      ,20220707,2022,7,7,0058488-0105,1,234.00,234.00,25.00,78.00,COOPERVISION DO BRASIL LTDA             ,BIOFINITY TORIC               ,LC,LENTES DE CONTATO
0107,01329476000729,MITANI A FRANCO     ,20220704,2022,7,4,0058629-0107,1,240.00,240.00,0.00,0.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS ASTIGMATISMO     ,LC,LENTES DE CONTATO
0107,01329476000729,MITANI A FRANCO     ,20220704,2022,7,4,0058629-0107,1,240.00,240.00,0.00,0.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS ASTIGMATISMO     ,LC,LENTES DE CONTATO
0107,01329476000729,MITANI A FRANCO     ,20220704,2022,7,4,0058629-0107,1,240.00,240.00,0.00,0.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS ASTIGMATISMO     ,LC,LENTES DE CONTATO
0107,01329476000729,MITANI A FRANCO     ,20220704,2022,7,4,0058629-0107,1,240.00,240.00,0.00,0.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS ASTIGMATISMO     ,LC,LENTES DE CONTATO
0105,01329476000567,MITANI MORUMBI      ,20220704,2022,7,4,0058632-0105,1,174.98,174.98,0.00,0.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS                  ,LC,LENTES DE CONTATO
0105,01329476000567,MITANI MORUMBI      ,20220704,2022,7,4,0058632-0105,1,155.09,155.09,0.00,0.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE 1 DAY OASYS            ,LC,LENTES DE CONTATO
0105,01329476000567,MITANI MORUMBI      ,20220704,2022,7,4,0058632-0105,1,174.98,174.98,0.00,0.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS                  ,LC,LENTES DE CONTATO
0105,01329476000567,MITANI MORUMBI      ,20220704,2022,7,4,0058632-0105,1,174.98,174.98,0.00,0.00,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E ,ACUVUE OASYS                  ,LC,LENTES DE CONTATO
