UF,Sigla Partido,Cargo,Nome candidato,Valor despesa,Tipo despesa,Fonte recurso,EspÈcie recurso,DescriÁao da despesa
SP,PMDB,Senador,ORESTES QUERCIA,93036.58,Baixa de Recursos Estim·veis em Dinheiro,Outros Recursos nao descritos,Estimado,"29.713,85 KG DE PAPEL PARA UTILIZA«√O EM MATERIAS GRAFICOS                                                                                                                                                                                                     "
SP,PMDB,Senador,ORESTES QUERCIA,90.00,Baixa de Recursos Estim·veis em Dinheiro,Outros Recursos nao descritos,Estimado,ESTAMPAGEM DE 20 CAMISETAS PARA EQUIPE DE COORDENA«√O DE CAMPANHA
SP,PMDB,Senador,ORESTES QUERCIA,2535.00,"Publicidade por placas, estandartes e faixas",Outros Recursos nao descritos,Cheque,BANDEIRA 1X1.40
SP,PMDB,Senador,ORESTES QUERCIA,1500.00,Despesas com pessoal,Outros Recursos nao descritos,Cheque,ASSISTENTE ADMINISTRATIVO
SP,PMDB,Senador,ORESTES QUERCIA,50000.00,"ProduÁ„o de programas de r·dio, televis„o ou vÌdeo",Outros Recursos nao descritos,Cheque,CRIA«√O E PROD DE PROGRAMA E COMERCIAL DE TELEVIS√O E R¡DIO
SP,PMDB,Senador,ORESTES QUERCIA,2.90,Encargos financeiros e taxas banc·rias,Outros Recursos nao descritos,DÈbito em conta,
SP,PMDB,Senador,ORESTES QUERCIA,33750.00,Publicidade por materiais impressos,Outros Recursos nao descritos,Cheque,MATERIAL DE CAMPANHA
SP,PMDB,Senador,ORESTES QUERCIA,24000.00,Publicidade por materiais impressos,Outros Recursos nao descritos,Cheque,MATERIAL DE CAMPANHA
SP,PMDB,Senador,ORESTES QUERCIA,22.00,Encargos financeiros e taxas banc·rias,Outros Recursos nao descritos,DÈbito em conta,
SP,PMDB,Senador,ORESTES QUERCIA,8.00,Encargos financeiros e taxas banc·rias,Outros Recursos nao descritos,DÈbito em conta,
SP,PMDB,Senador,ORESTES QUERCIA,9568.80,Publicidade por materiais impressos,Outros Recursos nao descritos,TransferÍncia eletrÙnica,IMPRESS√O
SP,PMDB,Senador,ORESTES QUERCIA,18220.80,Publicidade por materiais impressos,Outros Recursos nao descritos,TransferÍncia eletrÙnica,
SP,PMDB,Senador,ORESTES QUERCIA,9720.00,Publicidade por materiais impressos,Outros Recursos nao descritos,TransferÍncia eletrÙnica,IMPRESSO
SP,PMDB,Senador,ORESTES QUERCIA,13132.80,Publicidade por materiais impressos,Outros Recursos nao descritos,TransferÍncia eletrÙnica,IMPRESSO
SP,PMDB,Senador,ORESTES QUERCIA,50.00,CriaÁ„o e inclus„o de p·ginas na internet,Outros Recursos nao descritos,Cheque,DOMINIO
SP,PMDB,Senador,ORESTES QUERCIA,9967.20,Publicidade por materiais impressos,Outros Recursos nao descritos,TransferÍncia eletrÙnica,IMPRESSOS
SP,PMDB,Senador,ORESTES QUERCIA,63640.40,Publicidade por materiais impressos,Outros Recursos nao descritos,TransferÍncia eletrÙnica,COMPLEMENTO DE SERVI«OS
SP,PMDB,Senador,ORESTES QUERCIA,527.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,527.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,235.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,175.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,300.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,39.00,CriaÁ„o e inclus„o de p·ginas na internet,Outros Recursos nao descritos,Cheque,DOMINIO
SP,PMDB,Senador,ORESTES QUERCIA,175.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,175.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,175.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
SP,PMDB,Senador,ORESTES QUERCIA,175.00,ServiÁos prestados por terceiros,Outros Recursos nao descritos,Cheque,SAL¡RIO
