FID,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,Descrição,legenda,classe
vw_pib_percapita.fid--5b279956_17f92acfb81_f97,1653,MARANHÃO,João Lisboa,2010,898422734375,20395,440510986328,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_f69,2046,MINAS GERAIS,Sapucaí-Mirim,2010,378908515625,6046,626708984375,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_f3,4036,MATO GROSSO,Canarana,2010,32744553125,18014,1817727929688,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_f,2033,MARANHÃO,Açailândia,2010,1301121,101130,128658203125,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_e5,3092,PARANÁ,Quatiguá,2010,59380734375,7148,83073203125,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_dc,3786,SÃO PAULO,Iacri,2010,696596015625,6879,1012641015625,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_da,775,ALAGOAS,Murici,2010,109038859375,26918,40507800293,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_ce,1066,GOIÁS,Mossâmedes,2010,4660453515625,4901,950919042969,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_c8,5247,SANTA CATARINA,Caçador,2010,1308291,70720,1849958984375,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_c1,489,RIO GRANDE DO SUL,Santa Cruz do Sul,2010,4378957,122451,35760890625,Produto Interno Bruto per capita,22144.80 - 52702.10,3
vw_pib_percapita.fid--5b279956_17f92acfb81_70a1,672,RIO GRANDE DO SUL,Machadinho,2010,57150171875,5623,1016363964844,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_709,982,AMAZONAS,Barcelos,2010,77717203125,25410,30585300293,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_7080,617,RIO GRANDE DO SUL,Barra do Guarita,2010,2198063671875,3067,716681982422,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_7,5486,PIAUÍ,São Luis do Piauí,2010,844526953125,2687,314301000977,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_6edd,3779,SÃO PAULO,Guararapes,2010,532019125,29639,1794997070312,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_6e31,2749,PARANÁ,Planalto,2010,138553546875,13983,990870996094,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_6df4,5254,SANTA CATARINA,Campo Erê,2010,18762890625,9737,192696796875,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_6d84,4060,PARANÁ,Sabáudia,2010,7135915625,5642,1264784960938,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_6d65,251,RIO GRANDE DO SUL,Encantado,2010,411468,20530,200422890625,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_6cf4,2066,RIO GRANDE DO NORTE,Nísia Floresta,2010,1209326484375,24109,501608007812,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_6b13,2260,PARÁ,Faro,2010,402365703125,19585,205445996094,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_6afa,4524,SÃO PAULO,Icém,2010,902583984375,6524,1383483007812,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_6ac6,1925,RIO DE JANEIRO,São João da Barra,2010,2039369875,30595,666569609375,Produto Interno Bruto per capita,52702.10 - 133669.00,4
vw_pib_percapita.fid--5b279956_17f92acfb81_6abe,3046,MINAS GERAIS,São Francisco do Glória,2010,3237613085938,5685,569500976562,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_6a9b,2102,PARÁ,Santa Maria do Pará,2010,998881484375,23202,430514990234,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_686a,759,AMAZONAS,Lábrea,2010,39456234375,39393,1001604980469,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_6794,391,RIO GRANDE DO SUL,Saldanha Marinho,2010,7268340625,3019,240753203125,Produto Interno Bruto per capita,22144.80 - 52702.10,3
vw_pib_percapita.fid--5b279956_17f92acfb81_6722,3764,SÃO PAULO,Garça,2010,613207,43380,1413570996094,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_670b,5509,SANTA CATARINA,Rio do Oeste,2010,128651765625,7033,1829258984375,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92acfb81_66f0,1904,CEARÁ,Quixeré,2010,13548928125,19772,685258007812,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_6619,4973,SANTA CATARINA,Tangará,2010,193337234375,8611,22452359375,Produto Interno Bruto per capita,22144.80 - 52702.10,3
vw_pib_percapita.fid--5b279956_17f92acfb81_65e3,5292,PIAUÍ,Bertolínia,2010,2867276757812,5484,522843994141,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_65e,1854,CEARÁ,Meruoca,2010,3979394921875,12780,311377001953,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_6565,2003,RIO DE JANEIRO,Magé,2010,1843263,244334,754402978516,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92acfb81_6328,1532,RORAIMA,Uiramutã,2010,534291328125,7934,673420019531,Produto Interno Bruto per capita, - 9639.65,1
