The Handmaid's Tale,Margaret Atwood,4.3,29442,7,2017,Fiction
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,13,2012,Fiction
The Hate U Give,Angie Thomas,4.8,9947,11,2018,Fiction
The Help,Kathryn Stockett,4.8,13871,6,2009,Fiction
The Help,Kathryn Stockett,4.8,13871,6,2010,Fiction
The Help,Kathryn Stockett,4.8,13871,8,2011,Fiction
The Help,Kathryn Stockett,4.8,13871,7,2011,Fiction
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,14,2013,Fiction
The Hunger Games,Suzanne Collins,4.7,32122,14,2010,Fiction
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2011,Fiction
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2012,Fiction
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2011,Fiction
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2012,Fiction
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,13,2010,Non Fiction
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2011,Non Fiction
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2012,Non Fiction
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2017,Non Fiction
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2018,Non Fiction
The Last Lecture,Randy Pausch,4.7,4028,9,2009,Non Fiction
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,2009,Fiction
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,2010,Fiction
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,20,2013,Fiction
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2011,Non Fiction
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2012,Non Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2015,Non Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2016,Non Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2017,Non Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2019,Non Fiction
The Litigators,John Grisham,4.4,6222,18,2011,Fiction
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,14,2010,Fiction
The Lost Symbol,Dan Brown,4.2,8747,19,2009,Fiction
The Love Dare,Stephen Kendrick,4.8,1655,13,2009,Non Fiction
The Magnolia Story,Chip Gaines,4.9,7861,5,2016,Non Fiction
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,10,2012,Fiction
The Martian,Andy Weir,4.7,39459,9,2015,Fiction
The Maze Runner (Book 1),James Dashner,4.5,10101,8,2014,Fiction
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,5898,8,2018,Fiction
The Mueller Report,The Washington Post,4.6,2744,12,2019,Non Fiction
