Index, Preço ,Marca,Modelo,Ano,Status do veículo,Milhas,Cor,Estado,País
0," $ 6,300.00 ",toyota,cruiser,2008,clean vehicle,274117,black,new jersey, usa
1," $ 2,899.00 ",ford,se,2011,clean vehicle,190552,silver,tennessee, usa
2," $ 5,350.00 ",dodge,mpv,2018,clean vehicle,39590,silver,georgia, usa
3," $ 25,000.00 ",ford,door,2014,clean vehicle,64146,blue,virginia, usa
4," $ 27,700.00 ",chevrolet,1500,2018,clean vehicle,6654,red,florida, usa
5," $ 5,700.00 ",dodge,mpv,2018,clean vehicle,45561,white,texas, usa
6," $ 7,300.00 ",chevrolet,pk,2010,clean vehicle,149050,black,georgia, usa
7," $ 13,350.00 ",gmc,door,2017,clean vehicle,23525,gray,california, usa
8," $ 14,600.00 ",chevrolet,malibu,2018,clean vehicle,9371,silver,florida, usa
9," $ 5,250.00 ",ford,mpv,2017,clean vehicle,63418,black,texas, usa
10," $ 10,400.00 ",dodge,coupe,2009,clean vehicle,107856,orange,georgia, usa
11," $ 12,920.00 ",gmc,mpv,2017,clean vehicle,39650,white,california, usa
12," $ 31,900.00 ",chevrolet,1500,2018,clean vehicle,22909,black,tennessee, usa
13," $ 5,430.00 ",chrysler,wagon,2017,clean vehicle,138650,gray,texas, usa
14," $ 20,700.00 ",ford,door,2013,clean vehicle,100757,black,virginia, usa
15," $ 12,710.00 ",gmc,door,2017,clean vehicle,25747,white,california, usa
16," $ 5,200.00 ",kia,forte,2018,clean vehicle,46194,blue,north carolina, usa
17," $ 16,500.00 ",buick,encore,2018,clean vehicle,20002,red,tennessee, usa
18," $ 5,210.00 ",ford,mpv,2017,clean vehicle,35714,white,texas, usa
19," $ 38,100.00 ",ford,door,2013,clean vehicle,54380,gray,virginia, usa
20," $ 12,520.00 ",gmc,door,2017,clean vehicle,30114,white,california, usa
21," $ 7,300.00 ",kia,forte,2018,clean vehicle,38823,black,north carolina, usa
22," $ 15,000.00 ",chevrolet,door,2015,clean vehicle,61578,black,ohio, usa
23," $ 6,180.00 ",ford,mpv,2017,clean vehicle,46010,blue,texas, usa
24," $ 20,800.00 ",ford,door,2013,clean vehicle,105510,silver,virginia, usa
