nome_carro,marca,modelo,idade_carro,km_percorrido,tipo_vendedor,tipo_combustivel,tipo_transmissao,quilometragem,motor,potencia,assentos,preco_venda,ipva,familia
Maruti Alto,Maruti,Alto,9,120000,particular,Petrol,Manual,19.7,796,46.3,5,120000,4800.0,media
Hyundai Grand,Hyundai,Grand,5,20000,particular,Petrol,Manual,18.9,1197,82.0,5,550000,22000.0,media
Hyundai i20,Hyundai,i20,11,60000,particular,Petrol,Manual,17.0,1197,80.0,5,215000,8600.0,media
Maruti Alto,Maruti,Alto,9,37000,particular,Petrol,Manual,20.92,998,67.1,5,226000,9040.0,media
Ford Ecosport,Ford,Ecosport,6,30000,distribuidor,Diesel,Manual,22.77,1498,98.59,5,570000,22800.0,media
Maruti Wagon R,Maruti,Wagon R,8,35000,particular,Petrol,Manual,18.9,998,67.1,5,350000,14000.0,media
Hyundai i10,Hyundai,i10,8,40000,distribuidor,Petrol,Manual,20.36,1197,78.9,5,315000,12600.0,media
Maruti Wagon R,Maruti,Wagon R,3,17512,distribuidor,Petrol,Manual,20.51,998,67.04,5,410000,16400.0,media
Hyundai Venue,Hyundai,Venue,2,20000,particular,Petrol,Automatic,18.15,998,118.35,5,1050000,42000.0,media
Mahindra TUV,Mahindra,TUV,4,70000,distribuidor,Diesel,Manual,18.49,1493,100.0,7,575000,23000.0,grande
Renault Captur,Renault,Captur,2,18000,particular,Diesel,Manual,20.37,1461,108.49,5,1150000,46000.0,media
Maruti Swift,Maruti,Swift,4,28321,distribuidor,Petrol,Manual,16.6,1197,85.0,5,511000,20440.0,media
Nissan Micra,Nissan,Micra,5,27000,distribuidor,Petrol,Automatic,19.34,1198,76.0,5,410000,16400.0,media
Hyundai Verna,Hyundai,Verna,8,65278,distribuidor,Diesel,Manual,22.32,1582,126.32,5,425000,17000.0,media
Renault Duster,Renault,Duster,5,50000,particular,Diesel,Manual,19.64,1461,108.45,5,750000,30000.0,media
Mini Cooper,Mini,Cooper,4,6000,distribuidor,Petrol,Automatic,14.41,1998,189.08,5,3250000,130000.0,media
Maruti Ciaz,Maruti,Ciaz,5,76000,distribuidor,Diesel,Manual,28.09,1248,88.5,5,650000,26000.0,media
Maruti Swift,Maruti,Swift,5,20000,particular,Diesel,Manual,25.2,1248,74.0,5,627000,25080.0,media
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,65000,distribuidor,Diesel,Automatic,19.27,2143,170.0,5,1425000,57000.0,media
Maruti Swift,Maruti,Swift,7,62200,distribuidor,Diesel,Manual,28.4,1248,74.0,5,425000,17000.0,media
Toyota Innova,Toyota,Innova,8,110000,particular,Diesel,Manual,12.99,2494,100.6,8,605000,24200.0,grande
Maruti Baleno,Maruti,Baleno,6,20000,particular,Petrol,Manual,21.4,1197,83.1,5,600000,24000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,5,40000,particular,Petrol,Manual,20.85,1197,83.14,5,575000,23000.0,media
Fiat Grande,Fiat,Grande,9,97000,particular,Diesel,Manual,17.8,1248,76.0,5,260000,10400.0,media
Volkswagen Vento,Volkswagen,Vento,8,47000,distribuidor,Petrol,Manual,16.09,1598,103.2,5,425000,17000.0,media
Maruti Alto,Maruti,Alto,8,25000,distribuidor,Petrol,Manual,20.92,998,67.1,5,230000,9200.0,media
Hyundai Creta,Hyundai,Creta,2,15000,particular,Diesel,Manual,19.67,1582,126.2,5,1225000,49000.0,media
Mahindra Xylo,Mahindra,Xylo,11,56823,distribuidor,Diesel,Manual,14.02,2179,118.3,8,375000,15000.0,grande
Honda City,Honda,City,6,50000,particular,Petrol,Manual,17.4,1497,117.3,5,750000,30000.0,media
Mahindra Bolero,Mahindra,Bolero,10,25000,particular,Diesel,Manual,13.6,2523,63.0,7,350000,14000.0,grande
Maruti Swift Dzire,Maruti,Swift Dzire,6,90000,particular,Diesel,Manual,26.59,1248,74.0,5,600000,24000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,8,45000,distribuidor,Diesel,Manual,26.59,1248,74.0,5,390000,15600.0,media
Honda City,Honda,City,14,77253,distribuidor,Petrol,Manual,17.7,1497,78.0,5,145000,5800.0,media
Hyundai i20,Hyundai,i20,3,25000,particular,Petrol,Manual,17.19,1197,81.86,5,700000,28000.0,media
Toyota Fortuner,Toyota,Fortuner,8,110000,particular,Diesel,Manual,13.0,2982,168.5,7,1150000,46000.0,grande
Renault KWID,Renault,KWID,4,30000,particular,Petrol,Manual,23.01,999,67.0,5,340000,13600.0,media
Honda Amaze,Honda,Amaze,5,39993,distribuidor,Petrol,Manual,18.6,1199,88.76,5,465000,18600.0,media
Hyundai Santro,Hyundai,Santro,12,80000,particular,Petrol,Manual,17.92,1086,62.1,5,125000,5000.0,media
Mahindra XUV500,Mahindra,XUV500,9,185000,particular,Diesel,Manual,15.1,2179,140.0,7,600000,24000.0,grande
Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,particular,Diesel,Manual,23.4,1248,74.0,5,380000,15200.0,media
Mahindra Xylo,Mahindra,Xylo,12,60000,particular,Diesel,Manual,14.0,2498,112.0,8,400000,16000.0,grande
Chevrolet Sail,Chevrolet,Sail,7,90000,particular,Diesel,Manual,22.1,1248,74.0,5,300000,12000.0,media
Hyundai Xcent,Hyundai,Xcent,6,20000,particular,Petrol,Manual,19.1,1197,82.0,5,500000,20000.0,media
Hyundai i20,Hyundai,i20,3,15000,particular,Diesel,Manual,22.54,1396,88.73,5,850000,34000.0,media
Hyundai i20,Hyundai,i20,3,40000,particular,Petrol,Manual,18.6,1197,81.83,5,598000,23920.0,media
Honda City,Honda,City,6,31180,distribuidor,Petrol,Automatic,18.0,1497,117.3,5,700000,28000.0,media
Mahindra TUV,Mahindra,TUV,3,40000,particular,Diesel,Automatic,18.49,1493,100.0,7,900000,36000.0,grande
Maruti 800,Maruti,800,17,50000,particular,Petrol,Manual,16.1,796,37.0,4,75000,3000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,7,56000,distribuidor,Diesel,Manual,23.4,1248,74.0,5,410000,16400.0,media
Fiat Grande,Fiat,Grande,10,93000,particular,Diesel,Manual,20.5,1248,91.7,5,300000,12000.0,media
Ambassador Avigo,Ambassador,Avigo,11,86000,distribuidor,Petrol,Manual,12.2,1817,75.0,5,225000,9000.0,media
Maruti Baleno,Maruti,Baleno,5,52427,distribuidor,Petrol,Automatic,21.4,1197,83.1,5,590000,23600.0,media
Mahindra Bolero,Mahindra,Bolero,1,40000,particular,Diesel,Manual,21.0,1498,74.96,7,850000,34000.0,grande
Mahindra KUV100,Mahindra,KUV100,3,17000,particular,Petrol,Manual,18.15,1198,82.0,5,550000,22000.0,media
Toyota Etios,Toyota,Etios,9,54325,distribuidor,Petrol,Manual,17.6,1496,88.73,5,325000,13000.0,media
Maruti Baleno,Maruti,Baleno,5,22000,distribuidor,Petrol,Manual,15.4,1590,94.0,5,625000,25000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,5,54000,particular,Petrol,Manual,20.85,1197,83.14,5,600000,24000.0,media
Maruti Wagon R,Maruti,Wagon R,2,10000,particular,Petrol,Manual,20.51,998,67.04,5,445000,17800.0,media
Maruti Ignis,Maruti,Ignis,2,20000,particular,Petrol,Manual,20.89,1197,81.8,5,530000,21200.0,media
Toyota Corolla,Toyota,Corolla,10,61000,distribuidor,Petrol,Manual,14.53,1798,138.1,5,385000,15400.0,media
Maruti Wagon R,Maruti,Wagon R,3,53237,distribuidor confiável,CNG,Manual,26.6,998,58.16,5,410000,16400.0,media
Datsun RediGO,Datsun,RediGO,3,27263,particular,Petrol,Manual,22.5,999,68.0,5,350000,14000.0,media
Hyundai Verna,Hyundai,Verna,7,110000,particular,Diesel,Manual,22.32,1582,126.3,5,520000,20800.0,media
Hyundai i20,Hyundai,i20,5,70000,particular,Diesel,Manual,22.54,1396,88.73,5,750000,30000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,particular,Diesel,Manual,26.59,1248,74.0,5,560000,22400.0,media
Hyundai Xcent,Hyundai,Xcent,4,40000,particular,Diesel,Manual,25.4,1186,73.97,5,600000,24000.0,media
Hyundai i20,Hyundai,i20,2,39000,distribuidor,Petrol,Manual,18.6,1197,81.83,5,655000,26200.0,media
Hyundai Santro,Hyundai,Santro,14,56000,distribuidor,Petrol,Manual,17.8,1086,63.0,5,125000,5000.0,media
Toyota Corolla,Toyota,Corolla,12,58000,distribuidor,Petrol,Automatic,14.53,1794,138.1,5,425000,17000.0,media
Maruti Omni,Maruti,Omni,4,40000,particular,Petrol,Manual,16.8,796,34.2,8,220000,8800.0,grande
Hyundai i20,Hyundai,i20,3,34000,particular,Petrol,Manual,18.6,1197,81.83,5,550000,22000.0,media
Mahindra Scorpio,Mahindra,Scorpio,4,50000,particular,Diesel,Manual,15.4,1997,120.0,7,1150000,46000.0,grande
Volkswagen Vento,Volkswagen,Vento,9,77400,particular,Diesel,Manual,20.54,1598,103.6,5,500000,20000.0,media
Mahindra Marazzo,Mahindra,Marazzo,2,36000,particular,Diesel,Manual,17.3,1497,121.0,7,990000,39600.0,grande
Hyundai Verna,Hyundai,Verna,8,47876,distribuidor,Diesel,Manual,25.0,1493,113.42,5,551000,22040.0,media
Mahindra XUV500,Mahindra,XUV500,3,21500,particular,Diesel,Automatic,15.1,2179,152.87,7,1650000,66000.0,grande
Hyundai Grand,Hyundai,Grand,6,75000,distribuidor,Diesel,Manual,24.0,1120,70.0,5,350000,14000.0,media
Ford Aspire,Ford,Aspire,4,58000,distribuidor,Petrol,Manual,18.16,1196,86.8,5,500000,20000.0,media
Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,particular,Petrol,Manual,21.21,1197,81.8,5,575000,23000.0,media
Hyundai Grand,Hyundai,Grand,3,50000,particular,Diesel,Manual,24.0,1186,73.97,5,545000,21800.0,media
Ford Figo,Ford,Figo,4,19093,distribuidor confiável,Petrol,Manual,18.16,1196,86.8,5,525000,21000.0,media
Honda Amaze,Honda,Amaze,7,50000,particular,Petrol,Manual,18.0,1198,86.7,5,400000,16000.0,media
Maruti Wagon R,Maruti,Wagon R,15,37000,distribuidor,Petrol,Manual,14.0,1061,64.0,5,155000,6200.0,media
Mahindra Supro,Mahindra,Supro,2,3888,particular,Diesel,Manual,23.5,909,45.0,8,540000,21600.0,grande
