Inadimplencia,Valor,Motivo,Trabalho,Negados,Idade,Genero
0,9400,2,2,0,19,0
0,9400,2,2,2,11,1
0,9400,1,1,1,17,0
0,9400,2,2,0,22,0
0,9400,2,2,0,75,0
0,9400,1,1,0,24,0
0,9400,1,2,0,32,0
0,9400,1,3,0,,0
0,9400,2,1,,15,0
0,9400,2,3,0,65,0
0,9400,2,2,,12,1
0,9400,1,2,0,20,1
0,9400,1,2,0,12,1
0,9400,1,1,0,27,0
0,9400,1,2,0,24,1
0,9400,2,1,0,12,1
0,9400,1,2,2,1,0
1,9500,1,2,0,91,0
1,9500,1,3,0,83,1
0,9500,2,2,0,17,0
0,9500,1,2,0,69,0
0,9500,1,2,0,1,0
0,9500,1,1,0,7,0
0,9500,1,2,0,2,0
0,9500,1,2,4,22,0
0,9500,2,1,1,17,0
0,9500,1,1,0,24,0
0,9500,2,2,0,59,1
0,9500,1,2,0,9,0
0,9500,1,2,0,1,0
0,9500,1,2,,10,0
0,9500,2,2,4,1,0
1,9500,2,2,0,89,0
0,9500,1,1,0,18,0
1,9500,2,3,0,36.5,1
0,9600,1,1,2,86,0
0,9600,2,2,0,8,0
0,9600,1,2,0,12,0
0,9600,2,2,0,18,0
0,9600,1,2,0,13,0
0,9600,1,3,1,1,0
1,9600,2,2,4,35,0
0,9600,1,1,0,35,0
0,9600,2,2,1,93,0
0,9600,2,1,4,22,1
0,9600,2,3,3,2,1
0,9600,2,2,0,17,0
0,9600,2,0,,,1
1,9600,1,1,3,11,0
0,9600,1,2,0,93,1
0,9600,1,1,1,83,0
0,9600,,3,0,18,0
0,9600,1,2,1,22,0
0,9700,1,2,0,94,0
0,9700,1,2,0,24,0
0,9700,2,1,0,81,0
0,9700,2,3,0,75,0
0,9700,1,2,2,19,1
0,9700,,3,0,36,1
0,9700,1,1,0,30,1
0,9700,1,2,0,14,0
1,9700,1,2,1,20,0
0,9700,2,3,0,12,0
0,9700,2,2,1,35,0
0,9700,1,2,0,24,1
1,9700,1,2,0,75,0
1,9700,2,2,3,173.5,1
0,9700,2,2,0,8,0
0,9700,2,2,0,10,0
0,9700,1,2,0,23,1
0,9700,1,2,0,10,1
0,9700,1,1,1,3,0
1,9700,1,3,0,1,0
0,9700,2,1,0,31,1
0,9700,1,3,1,81,0
1,9700,2,3,2,96,0
0,9800,1,2,0,12,0
0,9800,2,2,0,27,0
0,9800,1,1,0,70,0
0,9800,2,2,0,24,0
0,9800,1,2,0,15,1
0,9800,1,2,1,76,0
1,9800,1,1,1,10,1
0,9800,1,1,0,28,1
0,9800,1,1,0,18,0
0,9800,2,3,0,13,1
0,9800,2,2,1,24,1
0,9800,2,2,,1,0
0,9800,1,3,0,22,0
0,9800,2,2,1,10,0
0,9800,2,2,1,23,0
0,9800,1,2,0,0.5071145295,0
0,9800,1,1,0,83,1
0,9800,1,2,,3,0
0,9800,1,2,0,10,0
0,9800,2,2,1,12,0
0,9800,1,2,0,25,1
0,9800,2,2,0,17,0
0,9800,2,2,0,,0
0,9800,2,3,0,3,0
0,9800,2,1,1,91,0
0,9800,2,2,0,85,0
1,9900,1,2,0,17,1
0,9900,1,2,0,23,0
0,9900,1,2,0,2,0
0,9900,1,3,0,20,0
0,9900,1,3,1,90,0
1,9900,2,2,0,51,0
0,9900,1,2,0,10,1
0,9900,2,2,0,11,0
0,9900,1,2,3,18,0
0,9900,1,2,1,18,1
1,9900,1,1,0,154.2,0
0,9900,2,2,0,25,1
0,9900,2,2,0,13,0
1,9900,1,2,0,94,0
0,9900,1,3,0,85,1
0,9900,1,2,0,21,1
0,9900,2,2,0,12,1
0,9900,1,3,0,24,0
0,9900,1,2,0,13,1
0,9900,1,3,0,20,1
0,9900,2,1,0,30,0
0,9900,1,2,4,1,0
0,9900,1,2,0,24,1
1,9900,2,2,0,14,0
0,9900,2,1,0,60,0
0,9900,1,2,3,11,0
1,9900,2,3,2,28,0
0,9900,1,2,0,31,1
0,10000,2,2,3,18,1
1,10000,1,2,1,179.1,0
1,10000,2,1,0,14,0
0,10000,2,2,0,17,0
0,10000,1,2,0,2,1
0,10000,,2,0,30,1
0,10000,1,2,0,34,0
0,10000,1,1,,,0
0,10000,2,2,0,15,0
1,10000,2,1,0,97,1
1,10000,2,0,1,91,0
1,10000,,3,0,16,1
1,10000,1,3,3,32,0
1,10000,2,2,0,16,0
1,10000,1,2,,,1
1,10000,2,2,0,75,0
1,10000,2,2,0,28,1
1,10000,2,2,0,10,1
1,10000,2,2,0,17,0
