Número do Processo/PVL,Interessado,UF,Tipo de interessado,Tipo de operação,Finalidade,Tipo de credor,Credor,Moeda,Valor,Número do Processo/PVL,Código IBGE,Status,Data,Analisado por
17944.100142/2021-51,Sergipe,SE,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,18170000,17944.100142/2021-51,28,Em retificação pelo credor,2/26/2021,STN
17944.100448/2021-16,Barreiras,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,30000000,17944.100448/2021-16,2903201,Em retificação pelo interessado,2/18/2021,STN
17944.103598/2020-92,Eusébio,CE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,22000000,17944.103598/2020-92,2304285,Em retificação pelo interessado,1/4/2021,STN
17944.104733/2020-17,Paraíba,PB,Estado,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,188886894,17944.104733/2020-17,25,Arquivado a pedido,12/30/2020,STN
17944.103416/2020-83,Caxias,MA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,12000000,17944.103416/2020-83,2103000,Deferido,12/29/2020,STN
17944.101092/2020-49,Juazeiro do Norte,CE,Município,Operação Contratual Externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Corporação Andina de Fomento,Dólar dos EUA,80000000,17944.101092/2020-49,2307304,Encaminhado à PGFN com manifestação técnica favorável,12/28/2020,STN
17944.100385/2020-17,Catu,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,8000000,17944.100385/2020-17,2907509,Assinado pelo interessado (retificação),12/11/2020,STN
17944.101437/2020-64,Iguatu,CE,Município,Operação Contratual Externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Corporação Andina de Fomento,Dólar dos EUA,38000000,17944.101437/2020-64,2305506,Encaminhado à PGFN com manifestação técnica favorável,12/2/2020,STN
17944.102548/2020-98,Riacho de Santana,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2000000,17944.102548/2020-98,2926400,Em retificação pelo interessado,11/17/2020,STN
17944.000355/2014-55,Fortaleza,CE,Município,Operação Contratual Externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Corporação Andina de Fomento,Dólar dos EUA,83250000,17944.000355/2014-55,2304400,Encaminhado à PGFN com manifestação técnica favorável,11/11/2020,STN
17944.102072/2020-95,Barbalha,CE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5000000,17944.102072/2020-95,2301901,Em retificação pelo interessado,10/28/2020,STN
17944.101197/2019-64,Macaíba,RN,Município,Operação Contratual Interna (com garantia da União),PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,18652895,17944.101197/2019-64,2407104,Em retificação pelo interessado,10/6/2020,STN
17944.104906/2019-63,São José de Ribamar,MA,Município,Operação Contratual Interna (com garantia da União),Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,18614745,17944.104906/2019-63,2111201,Arquivado por decurso de prazo,10/2/2020,STN
17944.104792/2019-51,Lajedão,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4950000,17944.104792/2019-51,2918902,Arquivado por decurso de prazo,10/1/2020,STN
PVL02.001433/2019-81,Landri Sales,PI,Município,Operação Contratual Interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2849000,PVL02.001433/2019-81,2205607,Deferido (PVL-IF),9/29/2020,Instituição Financeira
17944.103049/2020-18,Iguatu,CE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,17000000,17944.103049/2020-18,2305506,Arquivado a pedido,9/24/2020,STN
17944.109769/2018-72,Paraíba,PB,Estado,Operação Contratual Externa (com garantia da União),Saneamento básico,Instituição Financeira Internacional,Banco Internacional para Reconstrução e Desenvolvimento,Dólar dos EUA,126886000,17944.109769/2018-72,25,Encaminhado à PGFN (decisão judicial),9/22/2020,STN
