Tipo de violencia,Data,Região,Quantidade
homicidio doloso (exclui feminicidio),1/1/2020,Capital,6.00
feminicidio,1/1/2020,Capital,4.00
tentativa de homicidio,1/1/2020,Capital,8.00
lesão corporal dolosa,1/1/2020,Capital,977.00
maus tratos,1/1/2020,Capital,2.00
ameaça,1/1/2020,Capital,1017.00
invasão de domicilio,1/1/2020,Capital,5.00
estupro consumado,1/1/2020,Capital,64.00
estupro tentado,1/1/2020,Capital,13.00
homicidio doloso (exclui feminicidio),1/1/2020,Demacro,6.00
feminicidio,1/1/2020,Demacro,1.00
tentativa de homicidio,1/1/2020,Demacro,8.00
lesão corporal dolosa,1/1/2020,Demacro,903.00
maus tratos,1/1/2020,Demacro,0.00
ameaça,1/1/2020,Demacro,1050.00
invasão de domicilio,1/1/2020,Demacro,2.00
estupro consumado,1/1/2020,Demacro,47.00
estupro tentado,1/1/2020,Demacro,16.00
homicidio doloso (exclui feminicidio),1/1/2020,Interior,9.00
feminicidio,1/1/2020,Interior,7.00
tentativa de homicidio,1/1/2020,Interior,24.00
lesão corporal dolosa,1/1/2020,Interior,3062.00
maus tratos,1/1/2020,Interior,24.00
ameaça,1/1/2020,Interior,3917.00
invasão de domicilio,1/1/2020,Interior,12.00
estupro consumado,1/1/2020,Interior,152.00
estupro tentado,1/1/2020,Interior,40.00
homicidio doloso (exclui feminicidio),2/1/2020,Capital,3.00
feminicidio,2/1/2020,Capital,5.00
tentativa de homicidio,2/1/2020,Capital,10.00
lesão corporal dolosa,2/1/2020,Capital,1034.00
maus tratos,2/1/2020,Capital,5.00
ameaça,2/1/2020,Capital,957.00
invasão de domicilio,2/1/2020,Capital,0.00
estupro consumado,2/1/2020,Capital,50.00
estupro tentado,2/1/2020,Capital,8.00
homicidio doloso (exclui feminicidio),2/1/2020,Demacro,3.00
feminicidio,2/1/2020,Demacro,3.00
tentativa de homicidio,2/1/2020,Demacro,4.00
lesão corporal dolosa,2/1/2020,Demacro,872.00
maus tratos,2/1/2020,Demacro,3.00
ameaça,2/1/2020,Demacro,762.00
invasão de domicilio,2/1/2020,Demacro,2.00
estupro consumado,2/1/2020,Demacro,48.00
estupro tentado,2/1/2020,Demacro,5.00
homicidio doloso (exclui feminicidio),2/1/2020,Interior,10.00
feminicidio,2/1/2020,Interior,10.00
tentativa de homicidio,2/1/2020,Interior,18.00
lesão corporal dolosa,2/1/2020,Interior,2707.00
maus tratos,2/1/2020,Interior,15.00
ameaça,2/1/2020,Interior,3343.00
invasão de domicilio,2/1/2020,Interior,22.00
estupro consumado,2/1/2020,Interior,146.00
estupro tentado,2/1/2020,Interior,39.00
homicidio doloso (exclui feminicidio),3/1/2020,Capital,4.00
feminicidio,3/1/2020,Capital,2.00
tentativa de homicidio,3/1/2020,Capital,12.00
lesão corporal dolosa,3/1/2020,Capital,926.00
maus tratos,3/1/2020,Capital,2.00
ameaça,3/1/2020,Capital,783.00
