MêsAno,me,Mês,Ano,Órgão Superior,Órgão/Entidade Vinculada,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
Jan/21,1,Jan,21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,223944426.60,30141019.39,9267268.28,30098363.62
mai/21,5,mai,21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,15368056.34,32364135.58,33376613.93,320163.64
abr/21,4,abr,21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,9681494.06,32665109.63,31458407.49,409417.10
Mar/21,3,Mar,21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,898709.89,30464032.51,30133339.04,164357.94
fev/21,2,fev,21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,992183.60,30561483.14,30333181.29,987395.43
Jun/21,6,Jun,21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,90101833.87,42764236.67,34550578.56,1130186.13
ago/21,8,ago,21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,8573890.01,31358681.14,30957944.42,324604.57
Jul/21,7,Jul,21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,7554848.41,31040240.38,40275511.77,46474.86
Jun/21,6,Jun,21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,14744494.27,43457572.91,35031607.37,3509565.04
mai/21,5,mai,21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,138196605.98,35148071.59,34782870.21,2546139.52
abr/21,4,abr,21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,2330882.97,34699252.35,34741296.63,6574599.01
Jul/21,7,Jul,21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,2806839.45,36542895.19,43536190.83,1706591.30
Jan/21,1,Jan,21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,233251345.43,33436520.11,10697545.95,34597104.17
Mar/21,3,Mar,21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,1717728.36,34512492.20,33797546.12,1423876.60
fev/21,2,fev,21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,884844.56,33651163.12,33707738.04,3228402.32
