Mês Ano,Órgão Superior,Órgão/Entidade Vinculada,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
Jan/21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"223.944.426,60","30.141.019,39","9.267.268,28","30.098.363,62"
mai/21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"15.368.056,34","32.364.135,58","33.376.613,93","320.163,64"
abr/21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"9.681.494,06","32.665.109,63","31.458.407,49","409.417,10"
Mar/21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"898.709,89","30.464.032,51","30.133.339,04","164.357,94"
fev/21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"992.183,60","30.561.483,14","30.333.181,29","987.395,43"
Jun/21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"90.101.833,87","42.764.236,67","34.550.578,56","1.130.186,13"
ago/21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"8.573.890,01","31.358.681,14","30.957.944,42","324.604,57"
Jul/21,26000 - Ministério da Educação,26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,"7.554.848,41","31.040.240,38","40.275.511,77","46.474,86"
Jun/21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,"14.744.494,27","43.457.572,91","35.031.607,37","3.509.565,04"
mai/21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,"138.196.605,98","35.148.071,59","34.782.870,21","2.546.139,52"
abr/21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,"2.330.882,97","34.699.252,35","34.741.296,63","6.574.599,01"
Jul/21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,"2.806.839,45","36.542.895,19","43.536.190,83","1.706.591,30"
Jan/21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,"233.251.345,43","33.436.520,11","10.697.545,95","34.597.104,17"
Mar/21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,"1.717.728,36","34.512.492,20","33.797.546,12","1.423.876,60"
fev/21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,"884.844,56","33.651.163,12","33.707.738,04","3.228.402,32"
ago/21,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,"9.241.028,99","38.147.508,87","37.848.838,97","703.791,01"
Jan/21,26000 - Ministério da Educação,26201 - Colégio Pedro II,"199.989.435,08","50.090.112,97","13.918.426,62","49.938.346,41"
abr/21,26000 - Ministério da Educação,26201 - Colégio Pedro II,"10.495.591,93","50.705.736,65","50.569.986,33","4.677.236,69"
Jul/21,26000 - Ministério da Educação,26201 - Colégio Pedro II,"84.206.684,02","51.756.424,97","68.625.213,00","2.070.834,33"
fev/21,26000 - Ministério da Educação,26201 - Colégio Pedro II,"605.260,59","49.411.375,93","49.759.941,34","3.468.960,33"
ago/21,26000 - Ministério da Educação,26201 - Colégio Pedro II,"48.413.247,56","52.070.654,43","51.718.611,91","1.459.243,01"
mai/21,26000 - Ministério da Educação,26201 - Colégio Pedro II,"133.380.343,63","51.249.255,05","50.955.098,09","2.002.496,43"
Jun/21,26000 - Ministério da Educação,26201 - Colégio Pedro II,"87.508.265,09","69.472.908,17","51.858.071,98","3.302.700,74"
