REGIÃO,ESTADO,DESTINATÁRIO,ORIGEM,FORNECEDOR,MEDICAMENTO,APRESENTAÇÃO,QUANTIDADE,PEDIDO SISMAT,STATUS,DATA DE ENTREGA
SUDESTE,SÃO PAULO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
CENTRO-OESTE,MATO GROSSO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
NORTE,AMAPÁ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
NORDESTE,CEARÁ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
NORDESTE,BAHIA,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
NORDESTE,MARANHÃO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
NORDESTE,CEARÁ,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
NORDESTE,RIO GRANDE DO NORTE,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXTROCETAMINA,,,,,
SUDESTE,SÃO PAULO,SES,REQUISIÇÃO ADMINISTRATIVA,CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA,DEXMEDETOMIDINA,,,,,
