Tribunal,Magistrado,MÍs/Ano Ref.,Subsidio ,Direitos Pessoais ,IndenizaÁıes ,Direitos Eventuais ,Total de Rendimentos ,PrevidÍncia P˙blica ,Imposto de Renda ,Descontos Diversos ,RetenÁ„o por Teto Constitucional ,Total de Descontos ,Rendimento LÌquido 
TRF2,?FRANCISCO GUERRERA NETO,dez/20,32004.65,0.00,910.08,0.00,32914.73,713.10,7130.31,0.00,0.00,7843.41,25071.32
TRF2,?KARINA DUSSE,dez/20,32004.65,0.00,2564.82,0.00,34569.47,713.10,7272.79,0.00,0.00,7985.89,26583.58
TRF2,?KATHERINE RAMOS CORDEIRO,dez/20,32004.65,0.00,910.08,0.00,32914.73,5177.97,6507.97,0.00,0.00,11685.94,21228.79
TRF2,?KLEITON ALVES FERREIRA?,dez/20,32004.65,0.00,2564.82,0.00,34569.47,713.10,7130.31,0.00,0.00,7843.41,26726.06
TRF2,?MARCELA ASCER ROSSI,dez/20,32004.65,0.00,2994.82,0.00,34999.47,5177.97,6507.97,0.00,0.00,11685.94,23313.53
TRF2,?MARIA ISADORA TIVERON FRIZ√O,dez/20,32004.65,0.00,910.08,0.00,32914.73,713.10,7130.31,0.00,0.00,7843.41,25071.32
TRF2,?THIAGO LINS MONTEIRO,dez/20,32004.65,0.00,1340.08,0.00,33344.73,5177.97,6507.97,0.00,0.00,11685.94,21658.79
TRF2,ABBY ILHARCO MAGALH√ES,dez/20,32004.65,0.00,910.08,11710.87,44625.60,713.10,9277.17,0.00,4422.20,14412.47,30213.13
TRF2,ABEL FERNANDES GOMES,dez/20,35462.22,7439.51,910.08,208139.14,251950.95,10445.97,49277.76,0.00,7004.58,66728.31,185222.64
TRF2,ADRIANA ALVES DOS SANTOS CRUZ,dez/20,33689.11,0.00,1125.08,17140.08,51954.27,5641.91,7515.41,0.00,11535.87,24693.19,27261.08
TRF2,ADRIANA BARRETTO DE CARVALHO RIZZOTTO,dez/20,33689.11,0.00,910.08,6550.65,41149.84,5498.01,8424.35,12479.96,946.44,27348.76,13801.08
TRF2,ADRIANA MENEZES DE REZENDE,dez/20,33689.11,0.00,910.08,12165.50,46764.69,5498.01,8372.21,0.00,6561.29,20431.51,26333.18
TRF2,ADRIANE LEAL RESTUM CURADO,dez/20,32004.65,0.00,1555.08,7765.50,41325.23,713.10,9213.70,11886.86,0.00,21813.66,19511.57
TRF2,ADRIANO DE OLIVEIRA FRANCA,dez/20,32004.65,0.00,1552.77,8271.93,41829.35,5359.33,6883.54,9726.94,1091.78,23061.59,18767.76
TRF2,ADRIANO SALDANHA GOMES DE OLIVEIRA,dez/20,33689.11,0.00,1555.08,13015.60,48259.79,5631.27,6862.19,0.00,6347.53,18840.99,29418.80
TRF2,AGUSTINHO FERNANDES DIAS DA SILVA,dez/20,35462.22,0.00,0.00,262247.03,297709.25,5121.81,66302.49,0.00,0.00,71424.30,226284.95
TRF2,ALBERTO NOGUEIRA,dez/20,35462.22,0.00,0.00,196091.20,231553.42,5840.81,49162.63,0.00,0.00,55003.44,176549.98
TRF2,ALBERTO NOGUEIRA JUNIOR,dez/20,33689.11,0.00,910.08,239809.89,274409.08,10109.05,52301.08,0.00,6561.30,68971.43,205437.65
TRF2,ALCEU MAURÕCIO JUNIOR,dez/20,33689.11,0.00,1555.08,0.00,35244.19,5498.01,6883.19,0.00,0.00,12381.20,22862.99
TRF2,ALCIDES MARTINS RIBEIRO FILHO,dez/20,35462.22,0.00,1629.70,246013.79,283105.71,10445.95,46899.03,0.00,8974.71,66319.69,216786.02
TRF2,ALCIR LUIZ LOPES COELHO,dez/20,33689.11,0.00,1555.08,74483.68,109727.87,7483.83,19956.12,0.00,6561.29,34001.24,75726.63
TRF2,ALESSANDRA BELFORT BUENO FERNANDES DE CASTRO,dez/20,33689.11,0.00,1555.08,12165.50,47409.69,5498.01,8424.35,0.00,6561.29,20483.65,26926.04
TRF2,ALEXANDRE DA SILVA ARRUDA,dez/20,33689.11,0.00,910.08,12165.51,46764.70,5498.01,8398.35,0.00,6561.30,20457.66,26307.04
TRF2,ALEXANDRE LIBONATI DE ABREU,dez/20,33689.11,0.00,1340.08,175210.60,210239.79,10081.76,38002.14,0.00,0.00,48083.90,162155.89
TRF2,ALEXANDRE MIGUEL,dez/20,33689.11,0.00,1340.08,145685.67,180714.86,11068.05,33300.05,0.00,6561.30,50929.40,129785.46
TRF2,ALFREDO DE ALMEIDA LOPES,dez/20,33689.11,0.00,0.00,0.00,33689.11,4784.92,6555.69,0.00,0.00,11340.61,22348.50
TRF2,ALFREDO JARA MOURA,dez/20,33689.11,0.00,910.08,14025.64,48624.83,5578.08,7337.92,0.00,9130.68,22046.68,26578.15
TRF2,ALINE ALVES DE MELO MIRANDA ARAUJO,dez/20,33689.11,0.00,1125.08,34596.12,69410.31,2189.73,8774.58,0.00,9083.84,20048.15,49362.16
TRF2,ALUISIO GON«ALVES DE CASTRO MENDES,dez/20,35462.22,12562.38,1770.08,350300.25,400094.93,7400.45,57912.91,0.00,8580.68,73894.04,326200.89
TRF2,AM…RICO BED  FREIRE JUNIOR,dez/20,33689.11,0.00,1729.60,0.00,35418.71,713.10,7449.89,0.00,0.00,8162.99,27255.72
TRF2,ANA AMELIA SILVEIRA MOREIRA ANTOUN NETTO,dez/20,33689.11,0.00,910.08,200586.63,235185.82,10033.15,42950.18,0.00,1507.93,54491.26,180694.56
TRF2,ANA CAROLINA OLIVEIRA SOARES,dez/20,32004.65,0.00,1125.08,13170.75,46300.48,5380.66,8456.62,0.00,5882.08,19719.36,26581.12
TRF2,ANA CAROLINA VIEIRA DE CARVALHO,dez/20,33689.11,0.00,1555.08,5240.53,40484.72,5498.01,8324.33,0.00,0.00,13822.34,26662.38
TRF2,ANA CRISTINA FERREIRA DE MIRANDA,dez/20,33689.11,0.00,1340.08,6550.66,41579.85,5498.01,8424.35,0.00,946.45,14868.81,26711.04
TRF2,ANA PAULA VIEIRA DE CARVALHO,dez/20,33689.11,0.00,1555.08,154249.77,189493.96,10013.33,35910.42,0.00,6561.30,52485.05,137008.91
TRF2,ANAMARIA REYS RESENDE,dez/20,33689.11,0.00,0.00,0.00,33689.11,4784.92,7079.29,0.00,0.00,11864.21,21824.90
TRF2,ANDRE DE MAGALHAES LENART ZILBERKREIN,dez/20,33689.11,0.00,910.08,12165.51,46764.70,5498.01,8424.35,0.00,6561.30,20483.66,26281.04
TRF2,ANDRE JOSE KOZLOWSKI,dez/20,33689.11,0.00,430.00,269902.57,304021.68,4820.56,0.00,0.00,0.00,4820.56,299201.12
TRF2,ANDR… LUIZ MARTINS DA SILVA,dez/20,33689.11,0.00,910.08,10293.89,44893.08,5498.01,8424.35,0.00,4689.68,18612.04,26281.04
TRF2,ANDRE RICARDO CRUZ FONTES,dez/20,35462.22,7439.51,910.08,12805.80,56617.61,5834.91,9072.57,0.00,8974.70,23882.18,32735.43
TRF2,ANDREA CUNHA ESMERALDO,dez/20,33689.11,0.00,910.08,161336.31,195935.50,10020.87,36320.51,0.00,9680.65,56022.03,139913.47
TRF2,ANDREA DAQUER BARSOTTI,dez/20,33689.11,0.00,910.08,71149.81,105749.00,7387.39,17383.62,0.00,8970.60,33741.61,72007.39
TRF2,ANDREA DE ARAUJO PEIXOTO,dez/20,32004.65,0.00,2489.70,12278.75,46773.10,713.10,8950.85,0.00,5383.12,15047.07,31726.03
TRF2,ANDREA DE LUCA VITAGLIANO,dez/20,33689.11,0.00,910.08,148135.23,182734.42,9943.83,35774.24,0.00,0.00,45718.07,137016.35
TRF2,ANELISA POZZER LIBONATI DE ABREU,dez/20,33689.11,0.00,1340.08,12165.51,47194.70,5498.01,8424.35,0.00,6561.30,20483.66,26711.04
TRF2,ANGELINA DE SIQUEIRA COSTA,dez/20,33689.11,10941.00,910.08,12165.51,57705.70,6099.26,9936.30,0.00,9725.74,25761.30,31944.40
TRF2,ANTONIO CLAUDIO MACEDO DA SILVA,dez/20,0.00,0.00,0.00,39006.83,39006.83,1281.30,6984.02,0.00,0.00,8265.32,30741.51
TRF2,ANTONIO CRUZ NETTO,dez/20,35462.22,0.00,0.00,214152.96,249615.18,10205.69,0.00,0.00,0.00,10205.69,239409.49
TRF2,ANTONIO HENRIQUE CORREA DA SILVA,dez/20,33689.11,0.00,1340.08,164672.46,199701.65,10037.09,33253.28,0.00,9134.77,52425.14,147276.51
TRF2,ANTONIO IVAN ATHIE,dez/20,35462.22,5834.91,910.08,188853.90,231061.11,10968.42,43619.05,0.00,8580.68,63168.15,167892.96
TRF2,ARNALDO ESTEVES LIMA,dez/20,0.00,0.00,0.00,232079.04,232079.04,5711.00,0.00,0.00,0.00,5711.00,226368.04
TRF2,ARTUR EMILIO DE CARVALHO PINTO,dez/20,32004.65,0.00,910.08,11710.87,44625.60,5199.30,8506.49,0.00,4422.20,18127.99,26497.61
TRF2,AUGUSTO GUILHERME DIEFENTHAELER,dez/20,35462.22,7439.51,910.08,280401.50,324213.31,9109.26,61412.79,0.00,8974.70,79496.75,244716.56
TRF2,AYLTON BONOMO JUNIOR,dez/20,32004.65,0.00,1629.70,0.00,33634.35,713.10,7056.41,0.00,0.00,7769.51,25864.84
TRF2,BENEDITO GONCALVES,dez/20,0.00,0.00,0.00,184860.19,184860.19,5592.63,31565.91,0.00,0.00,37158.54,147701.65
TRF2,BENTO GABRIEL DA COSTA FONTOURA,dez/20,33689.11,0.00,0.00,259068.50,292757.61,4784.92,65193.81,0.00,0.00,69978.73,222778.88
TRF2,BIANCA STAMATO FERNANDES,dez/20,33689.11,0.00,1125.08,12165.51,46979.70,5498.01,8424.35,0.00,6561.30,20483.66,26496.04
TRF2,BOAVENTURA JOAO ANDRADE,dez/20,33689.11,7009.97,910.08,12165.51,53774.67,5498.01,9832.02,0.00,6561.30,21891.33,31883.34
TRF2,BRUNO DUTRA,dez/20,33689.11,0.00,1770.08,12165.51,47624.70,713.10,9095.33,0.00,6561.30,16369.73,31254.97
TRF2,BRUNO FABIANI MONTEIRO,dez/20,33689.11,0.00,2489.70,10668.21,46847.02,5498.01,8267.93,0.00,5064.00,18829.94,28017.08
TRF2,BRUNO OTERO NERY,dez/20,33689.11,0.00,1340.08,12165.51,47194.70,5498.01,8424.35,0.00,6561.30,20483.66,26711.04
TRF2,BRUNO ZANATTA,dez/20,32004.65,0.00,1340.08,8713.65,42058.38,5337.99,8570.62,0.00,863.49,14772.10,27286.28
TRF2,CAIO MARCIO GUTTERRES TARANTO,dez/20,33689.11,0.00,2274.70,6924.98,42888.79,5498.01,8424.35,0.00,1320.77,15243.13,27645.66
TRF2,CAIO SOUTO ARA⁄JO,dez/20,32004.65,0.00,2349.32,9225.51,43579.48,713.10,9069.69,0.00,1936.84,11719.63,31859.85
TRF2,CAIO WATKINS,dez/20,32004.65,0.00,910.08,10787.52,43702.25,5327.32,8471.29,0.00,3498.85,17297.46,26404.79
