codigo,CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
1,2020,4,12019000,21,160,GO,917800,23466,23465603,7930236
2,2020,3,12019000,21,160,ND,320151,11000,11000000,4290000
3,2020,3,12019000,21,160,SP,917800,26261,26261154,8895264
4,2020,2,12019000,21,245,MT,227600,143151,143150016,51062002
5,2020,3,12019000,21,160,MS,817800,118685,118685234,40635466
6,2020,1,12019000,21,628,RO,210200,4420,4420000,1591200
7,2020,4,12019000,21,767,ND,917800,12000,12000000,4440000
8,2020,2,12019000,21,372,MT,217800,126245,126244485,44527579
9,2020,4,12019000,21,53,MT,217800,54993,54992688,19115073
10,2020,2,12019000,21,160,SP,927700,89,89396,30321
11,2020,4,12019000,21,858,SC,917800,3350,3350063,1193540
12,2020,3,12019000,21,245,MA,320151,33680,33680012,11138148
13,2020,4,12019000,21,160,ND,927700,279000,279000000,63604551
14,2020,3,12019000,21,160,GO,917800,37876,37875144,12962072
15,2020,2,12019000,21,776,MT,210200,48147,48147296,17333027
16,2020,4,12019000,21,160,TO,320151,7997,7997170,2699129
17,2020,4,12019000,21,776,GO,727600,33571,33570105,11395280
18,2020,4,12019000,21,820,MT,210200,32200,32199817,10916382
19,2020,3,12019000,21,161,MS,817800,3099,3099179,1105508
20,2020,4,12019000,21,160,ND,927700,140000,140000000,31800000
21,2020,4,12019000,21,858,PI,320151,1797,1796711,611312
22,2020,4,12019000,21,161,SP,817800,35353,35352905,11654844
23,2020,4,12019000,21,372,MT,817800,26900,26900000,9096728
24,2020,2,12019000,21,576,SP,210200,5000,5000000,1726063
25,2020,2,12019000,21,670,PA,210200,55,54530,19424
26,2020,3,12019000,21,386,MT,217800,32170,32170050,10874083
27,2020,4,12019000,21,160,MG,817800,11065,11064947,3646305
28,2020,3,12019000,21,245,MT,320151,8750,8749568,3052131
29,2020,4,12019000,21,275,MT,217800,25601,25600712,8532205
30,2020,4,12019000,21,160,GO,927700,28,27651,9374
31,2020,4,12019000,21,160,PI,517800,5442,5441640,1857954
32,2020,2,12019000,21,160,MT,1017700,232,231682,83969
33,2020,3,12019000,21,245,GO,817800,8736,8736402,2909309
34,2020,4,12019000,21,741,SP,817800,0,3,12
35,2020,4,12019000,21,275,ND,917800,10000,10000000,2920000
36,2020,1,12019000,21,245,RO,210200,1453,1452820,506062
37,2020,4,12019000,21,59,MT,240152,34245,34244690,11678735
38,2020,2,12019000,21,858,DF,817800,31,30633,10783
39,2020,2,12019000,21,245,PB,210200,1661,1660553,562748
40,2020,2,12019000,21,863,MT,817800,1727,1727320,585959
41,2020,2,12019000,21,576,MT,927502,57137,57137336,19844368
42,2020,4,12019000,21,399,PA,217800,3254,3253921,1076462
43,2020,3,12019000,21,160,GO,927700,39,38748,13640
44,2020,3,12019000,21,160,SC,927502,12152,12151584,4215141
45,2020,4,12019000,21,160,MS,927700,133877,133879926,45211717
46,2020,4,12019000,21,160,MT,320151,187051,187050459,63692004
47,2020,2,12019000,21,820,MT,210200,31506,31506250,11031598
48,2020,3,12019000,21,573,RO,227600,109325,109324996,37038971
49,2020,1,12019000,21,160,MG,727600,53099,53098951,19703397
50,2020,2,12019000,21,160,SP,917800,21461,21463346,7555116
51,2020,4,12019000,21,576,MT,817800,35834,35831742,12041355
52,2020,4,12019000,21,399,MT,217800,49242,49242935,16514897
53,2020,4,12019000,21,858,PR,917800,49160,49159571,16983403
54,2020,2,12019000,21,160,MS,927700,19710,19710261,6765748
55,2020,3,12019000,21,670,RO,227600,32077,32076970,11277621
56,2020,4,12019000,21,386,MT,217800,66020,66019448,21991923
57,2020,4,12019000,21,573,MT,217800,156438,156438453,55164030
58,2020,4,12019000,21,160,PR,210200,10834,10834359,3545002
59,2020,4,12019000,21,160,RS,1017700,88103,88104150,29495941
60,2020,4,12019000,21,827,PA,217800,2000,2000000,655200
61,2020,2,12019000,21,160,RS,1017700,90588,90587520,31930180
62,2020,3,12019000,21,573,MT,217800,123960,123959445,43644321
63,2020,4,12019000,21,607,MT,227600,80760,80760000,27435646
64,2020,3,12019000,21,399,SP,817600,0,69,5
65,2020,4,12019000,21,81,MS,1017700,2271,2270751,738448
66,2020,4,12019000,21,301,MT,210200,14402,14401604,4685418
67,2020,1,12019000,21,776,MT,320151,84,84428,30199
68,2020,2,12019000,21,160,PA,217800,4808,4807904,1697004
69,2020,4,12019000,21,573,RO,227600,82013,82012389,27292177
70,2020,3,12019000,21,161,DF,817800,30,29667,10582
71,2020,2,12019000,21,160,BA,517800,3745,3745146,1276383
72,2020,4,12019000,21,372,TO,320151,42900,42900000,14939259
73,2020,3,12019000,21,161,SP,817800,10225,10224652,3645328
74,2020,4,12019000,21,160,ND,1017700,267640,267640000,81226907
75,2020,3,12019000,21,161,GO,817800,8238,8238183,2937271
76,2020,4,12019000,21,160,SC,927700,16669,16668911,5642434
77,2020,1,12019000,21,573,RR,227600,2205,2204526,778065
78,2020,2,12019000,21,160,MG,727600,10225,10225311,3917332
79,2020,3,12019000,21,607,MT,227600,30500,30499515,10641891
80,2020,3,12019000,21,160,MG,917800,380,380000,126578
81,2020,1,12019000,21,160,DF,727600,39,39393,14135
82,2020,1,12019000,21,160,GO,727600,1000,1000000,358540
83,2020,1,12019000,21,573,AM,227600,32,32190,11361
84,2020,3,12019000,21,81,SC,917800,85,85106,29315
85,2020,4,12019000,21,858,SP,817800,2300,2300000,736759
86,2020,3,12019000,21,858,MS,727600,30,30000,10346
87,2020,4,12019000,21,160,PR,320151,2000,2000000,685230
88,2020,3,12019000,21,160,ND,217800,3570,3570000,1203090
89,2020,3,12019000,21,160,RS,927502,576,575539,199643
90,2020,4,12019000,21,399,MT,817800,11500,11500000,3926630
91,2020,3,12019000,21,493,MT,210200,135692,135692165,46010020
92,2020,4,12019000,21,190,MT,817800,12631,12631284,4170161
93,2020,1,12019000,21,776,SC,917800,1232,1231380,456801
94,2020,4,12019000,21,160,PR,1017700,55820,55820956,18861641
95,2020,1,12019000,21,160,SP,817800,10733,10732532,3789835
96,2020,4,12019000,21,676,MT,210200,33000,32999900,11303786
97,2020,3,12019000,21,858,MT,727600,6661,6660389,2308172
98,2020,4,12019000,21,87,PR,210200,39083,39082949,13154626
99,2020,4,12019000,21,858,MS,917800,2892,2892999,1022180
100,2020,2,12019000,21,160,PI,320151,2372,2372539,847964
101,2020,4,12019000,21,160,BA,1017700,72641,72641476,25068253
102,2020,3,12019000,21,670,MT,227600,24210,24209525,8511585
103,2020,3,12019000,21,160,PA,320151,25930,25930000,9090227
104,2020,4,12019000,21,81,SP,1017700,83,82993,26989
105,2020,3,12019000,21,160,MG,727600,85414,85414631,29337388
106,2020,3,12019000,21,160,TO,517800,34167,34165850,11580699
107,2020,3,12019000,21,81,MT,917800,1080,1080424,365095
108,2020,4,12019000,21,160,MT,217800,277168,277167751,93779554
109,2020,4,12019000,21,160,GO,727600,285599,285599204,97124130
110,2020,2,12019000,21,160,SC,917800,29616,29614499,9821604
111,2020,1,12019000,21,160,MS,917800,3231,3231450,1157855
112,2020,4,12019000,21,386,MT,227600,72200,72200225,24130778
113,2020,4,12019000,21,776,MT,727600,1500,1500000,485865
114,2020,3,12019000,21,160,SP,1017700,4836,4836049,1689087
115,2020,3,12019000,21,190,MT,817800,27800,27800000,9975014
116,2020,2,12019000,21,858,GO,817800,4437,4437707,1561998
117,2020,4,12019000,21,161,MS,817800,15956,15956044,5373244
118,2020,3,12019000,21,365,ND,817800,20000,20000000,6977600
119,2020,3,12019000,21,59,PA,217800,8074,8074408,2814283
120,2020,3,12019000,21,858,GO,727600,12723,12722742,4501576
121,2020,4,12019000,21,576,GO,927502,322,322385,106290
122,2020,2,12019000,21,372,PA,217800,12000,12000000,4248360
123,2020,4,12019000,21,383,RO,227600,14850,14850446,4807238
124,2020,4,12019000,21,827,PA,320151,1500,1500000,523005
125,2020,3,12019000,21,628,RO,210200,9700,9700000,3324578
126,2020,3,12019000,21,301,RO,227600,4099,4099215,1370040
127,2020,1,12019000,21,399,MA,320151,1549,1549121,552494
128,2020,1,12019000,21,160,SC,1017700,35800,35800393,13749788
129,2020,4,12019000,21,245,PR,210200,1761,1760836,585795
