Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1.00,Wii Sports,Wii,2006.00,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2.00,Super Mario Bros.,NES,1985.00,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3.00,Mario Kart Wii,Wii,2008.00,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
4.00,Wii Sports Resort,Wii,2009.00,Sports,Nintendo,15.75,11.01,3.28,2.96,33
5.00,Pokemon Red/Pokemon Blue,GB,1996.00,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37
6.00,Tetris,GB,1989.00,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
7.00,New Super Mario Bros.,DS,2006.00,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
8.00,Wii Play,Wii,2006.00,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
9.00,New Super Mario Bros. Wii,Wii,2009.00,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
10.00,Duck Hunt,NES,1984.00,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
11.00,Nintendogs,DS,2005.00,Simulation,Nintendo,9.07,11.00,1.93,2.75,24.76
12.00,Mario Kart DS,DS,2005.00,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
13.00,Pokemon Gold/Pokemon Silver,GB,1999.00,Role-Playing,Nintendo,9.00,6.18,7.2,0.71,23.1
14.00,Wii Fit,Wii,2007.00,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
15.00,Wii Fit Plus,Wii,2009.00,Sports,Nintendo,9.09,8.59,2.53,1.79,22
16.00,Kinect Adventures!,X360,2010.00,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
17.00,Grand Theft Auto V,PS3,2013.00,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
18.00,Grand Theft Auto: San Andreas,PS2,2004.00,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
19.00,Super Mario World,SNES,1990.00,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
20.00,Brain Age: Train Your Brain in Minutes a Day,DS,2005.00,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
21.00,Pokemon Diamond/Pokemon Pearl,DS,2006.00,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
22.00,Super Mario Land,GB,1989.00,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
23.00,Super Mario Bros. 3,NES,1988.00,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
24.00,Grand Theft Auto V,X360,2013.00,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
25.00,Grand Theft Auto: Vice City,PS2,2002.00,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
26.00,Pokemon Ruby/Pokemon Sapphire,GBA,2002.00,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
27.00,Pokemon Black/Pokemon White,DS,2010.00,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
28.00,Brain Age 2: More Training in Minutes a Day,DS,2005.00,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
29.00,Gran Turismo 3: A-Spec,PS2,2001.00,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
30.00,Call of Duty: Modern Warfare 3,X360,2011.00,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
31.00,Pokémon Yellow: Special Pikachu Edition,GB,1998.00,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
32.00,Call of Duty: Black Ops,X360,2010.00,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
33.00,Pokemon X/Pokemon Y,3DS,2013.00,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
34.00,Call of Duty: Black Ops 3,PS4,2015.00,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
35.00,Call of Duty: Black Ops II,PS3,2012.00,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
36.00,Call of Duty: Black Ops II,X360,2012.00,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
37.00,Call of Duty: Modern Warfare 2,X360,2009.00,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
38.00,Call of Duty: Modern Warfare 3,PS3,2011.00,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
39.00,Grand Theft Auto III,PS2,2001.00,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
40.00,Super Smash Bros. Brawl,Wii,2008.00,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
41.00,Call of Duty: Black Ops,PS3,2010.00,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
42.00,Animal Crossing: Wild World,DS,2005.00,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
43.00,Mario Kart 7,3DS,2011.00,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
44.00,Halo 3,X360,2007.00,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
45.00,Grand Theft Auto V,PS4,2014.00,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
46.00,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.00,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
47.00,Super Mario 64,N64,1996.00,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
48.00,Gran Turismo 4,PS2,2004.00,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
49.00,Super Mario Galaxy,Wii,2007.00,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
50.00,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.00,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
51.00,Super Mario Land 2: 6 Golden Coins,GB,1992.00,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
52.00,Grand Theft Auto IV,X360,2008.00,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
53.00,Gran Turismo,PS,1997.00,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
54.00,Super Mario 3D Land,3DS,2011.00,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
55.00,Gran Turismo 5,PS3,2010.00,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
56.00,Call of Duty: Modern Warfare 2,PS3,2009.00,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
