YEAR,STATE,DEATHS,RATES
2019,AL,1076,22.20
2019,AK,179,24.40
2019,AZ,1136,15.10
2019,AR,580,19.30
2019,CA,2945,7.20
2019,CO,846,14.20
2019,CT,190,5.30
2019,DE,93,9.90
2019,FL,2872,12.70
2019,GA,1695,15.80
2019,HI,62,4.40
2019,ID,255,14.20
2019,IL,1367,10.80
2019,IN,958,14.10
2019,IA,294,9.10
2019,KS,403,13.70
2019,KY,682,14.90
2019,LA,1013,22.10
2019,ME,163,11.50
2019,MD,757,12.60
2019,MA,247,3.40
2019,MI,1220,12.10
2019,MN,465,8.10
2019,MS,710,24.20
2019,MO,1252,20.60
2019,MT,209,19.00
2019,NE,205,10.40
2019,NV,490,15.30
2019,NH,156,10.70
2019,NJ,368,4.10
2019,NM,471,22.30
2019,NY,804,3.90
2019,NC,1397,13.10
2019,ND,93,12.40
2019,OH,1578,13.30
2019,OK,737,18.60
2019,OR,566,12.60
2019,PA,1541,11.70
2019,RI,48,4.60
2019,SC,1012,19.90
2019,SD,113,13.10
2019,TN,1270,18.40
2019,TX,3683,12.70
2019,UT,394,12.80
2019,VT,67,9.30
2019,VA,1025,11.70
2019,WA,842,10.70
2019,WV,300,16.60
2019,WI,604,10.00
2019,WY,133,22.30
2018,AL,1064,21.80
2018,AK,155,21.00
2018,AZ,1147,15.30
2018,AR,573,18.90
2018,CA,3040,7.50
2018,CO,889,15.20
2018,CT,186,4.90
2018,DE,107,11.60
2018,FL,2902,12.90
2018,GA,1680,15.70
2018,HI,59,4.00
2018,ID,294,16.60
2018,IL,1382,10.90
2018,IN,977,14.70
2018,IA,282,8.70
2018,KS,424,14.80
2018,KY,762,16.90
2018,LA,991,21.40
2018,ME,159,10.30
2018,MD,707,11.70
2018,MA,258,3.50
2018,MI,1310,12.90
2018,MN,437,7.80
2018,MS,681,22.90
2018,MO,1311,21.50
2018,MT,186,17.30
2018,NE,183,9.00
2018,NV,550,17.90
2018,NH,155,10.80
2018,NJ,420,4.80
2018,NM,438,20.70
2018,NY,821,4.10
2018,NC,1416,13.30
2018,ND,89,11.50
2018,OH,1555,13.10
2018,OK,665,16.80
2018,OR,519,11.70
2018,PA,1654,12.50
2018,RI,37,3.30
2018,SC,895,17.60
2018,SD,117,13.60
2018,TN,1228,17.80
2018,TX,3522,12.20
2018,UT,397,13.20
2018,VT,82,12.80
2018,VA,1035,11.80
2018,WA,809,10.40
2018,WV,343,18.20
